,owner_name
174,FREMONT DOCK CO ATTN: SUZANNE M BURKE
175,LAKE UNION CENTER PHASE ONE LT
176,LIMPOPO PROPERTIES LLC
177,FREMONT LAKE UNION CENTER LLC
178,KR LAKEVIEW LLC
179,PARK VIEW WATERSIDE LLC
180,CKS 2155 LLC
181,UPG STONE 34 PROPERTY OWNER LLC
182,4000A LLC
183,FREMONT SPACE L L C
184,AD 936 N 34TH ST LLC
185,PECK BUILDING LLC THE
186,TRUE FOUNDRY LLC
187,SEVENTEEN METERS LLC
188,RPT WALLINGFORD PLAZA LLC
189,NORTHLAKE OWNER LLC
190,FREMONT PUBLIC ASSOCIATION
191,9 TO 5 LLC
192,4010 ASSOCIATES
193,9620 STONE AVENUE NORTH LLC
194,TROLL AVENUE LLC
195,SCHOOL BISHOP BLANCHET HIGH
196,DUBLINER BUILDING LLC
197,FREMONT BUILDING LLC
198,GREENWOOD 85TH STREET LLC
199,SWL LLC
200,SEATTLE INVESTMENT PRTNRS 1998 LLC
201,BLUEPRINT 3414 LLC
202,SATURN BUILDING LLC
203,M&G INVESTMENT & FINANCING CO
204,MARINER SQUARE L L C
205,4135 AC LLC +ADLER DONALD H
206,PHINNEY NEIGHBORHOOD ASSOCIATION
207,TRIAD INVESTMENTS CO INC
208,TRIMARK I LLC
209,NORTHBRIDGE APARTMENTS LLC
210,M & S INVESTMENTS LLC
211,WATERMARK APARTMENTS LLC
212,SALVATION ARMY SEATTLE RESIDEN
213,STONE WAY APARTMENTS L L C
214,GREEN LAKE TYEE LLC
215,MAUI GROUP LLC
216,HAYES APARTMENTS LLC
217,ESSEX VELO RAY LP
218,LIMANTZAKIS PROPERTIES NO 1 L L C
219,SUNRAY APTS LLC
220,TRINITY STONEHEDGE LLC
221,WEST LEE L L C
222,SEDGES LLC
223,GRANVIEW HOLDINGS LLC
224,GREENLAKE MANOR LLC
225,WOODLAND COURT LLC
226,WOODLAND PARK VIEW APTS LLC
227,CRE QUEEN CITY LLC
228,J B BERGEN LLC
229,OSWELL BAKERSFIELD RETAIL ASSOCIATES LLC +MERIDIAN GROUP ASSCIATES LLC +ET AL
230,IBARRIENTOS-DRUMMOND EDEN
231,KEYSTONE PLACE APARTMENTS LLC
232,FOSMIRE DAVID+WATSON SHELLY
233,JAMES B ROSE FAMILY LLC
234,FREMONT COURT INVESTMENTS LLC
235,WALLINGFORD MIRABELLA L L C
236,MILAN APARTMENTS LLC
237,GUINEVERE LLC
238,LICTON SPRINGS LLC
239,NORTHPOINT COLLAGE LLC
240,HTS WALLY LLC
241,AURORA HOUSING DEVELOPMENT LLC
242,36 FREMONT GREEN LLC
243,PHINNEY FLATS LLC
244,MIRA VALLEY ASSOCIATES LLC
245,GREENWOOD AVENUE INVESTORS LLC
246,REEP-MF WALLINGFORD WA LLC
247,KG PORTOFINO LLC
248,ST JAMES TOWER ASSOCIATES
249,FREMONT DOCK CO
250,PICKERING PLACE L L C
251,UNIVERSITY HOUSE AT WALLINGFORD L L C
252,NORTH 46TH PROPERTIES L.L.C
253,HOWARD PARK LLC
254,ROSCOMMON L.L.C
255,WH GREENWOOD II LLC
256,TAYLOR GREENLAKE LLC
257,DESC N96 SUPPORTIVE HOUSING LLP
258,PUBLIC STORAGE
259,SOUND
260,DAMBROSIO ENTERPRISES LLC
261,IRON MOUNTAIN RECORDS MGMT INC
262,GREENLAKE SELF STORAGE LLC
263,THE SORRENTO HOTEL PARTNERSHIP
264,1005 SPRING STREET LLC
265,HR FIRST HILL MEDICAL BUILDING SPE LLC
266,WASHINGTON ST PUBLIC STADIUM ATHRTY
267,PUGET SOUND BLOOD CENTER & PROGRAM
268,HCP 1101 MADISON MOB LLC
269,BTI SEVENTH AND MADISON LP
270,KING COUNTY
271,SWEDISH HOSPITAL MEDICAL CENTE
272,HART FIRST HILL LLC
273,CYPRESS-OT8 LLC+DAVIS-OTB LLC+CROSS CREEK-OTB LLC
274,SAHNEY VIKRAM N
275,1200 MADISON ASSOCIATES L L C
276,FH LLC
277,HILLTOP HOUSE
278,OPUS NORTHWEST LLC
279,COPPINS WELL OWNER LLC
280,VBGO DANFORTH LLC
281,IRP PERRY APARTMENTS LLC
282,SAN MARCO LLC
283,PAUL REVERE APARTMENTS LLC
284,JOHN ALDEN ASSOCIATES LLC
285,ERP OPERATING LIMITED PARTNERSHIP
286,BREIER SCHEETZ PROPERTIES LLC
287,QUINTET INVESTMENTS INC
288,CLARWOOD ASSOCIATES
289,TERRA VARIES INVESTMENT LLC +ENVOY FIRST HILL LLC
290,VBC MADISON LP
291,WESTMINSTER ASSOCIATES LLC
292,STARLIGHT APARTMENTS LLC
293,423 TERRY PARTNERS LLC
294,MONTICELLO APARTMENTS II LLC
295,PACIFIC SUN NORTHWEST INC
296,LANDES 84 LLC
297,ZINDORF 7 TH AVENUE LLC
298,WESTLAKE II HOUSING LLC
299,HARBORVIEW INVESTMENT LTD
300,PL FIRTH LLC
301,1000 MADISON LLC
302,YESLER TERRACE OWNERS ASSOCIATION
303,GT LEXINGTON II LLC +GT LEXINGTON LLC
304,EQR-SAXTON LLC
305,DREAM LEGACY PRU SPE LLC
306,UNIVERSITY SILVER CLOUD INN
307,GRADUATE SEATTLE OWNER LLC
308,SPIRE UDB LP
309,4300 ROOSEVELT COMMONS OWNER WA LLC
310,BLUME 45TH LLC
311,JLW UNIVERSITY INVESTMENTS LLC
312,SPRINGTREE PROFESSIONAL LLC
313,EXCHANGE FACILITATOR CORP
314,THOMAS NORTHLAKE LLC
315,UNIVERSITY VILLAGE LIMITED PS
316,MRM UNION BAY LLC
317,VILLA ACADEMY
318,CAIRNS INVESTMENTS LLC ET AL
319,UNIVERSITY CENTER LLC
320,US ALLIANCE BROADSTONE NE SEATTLE LLC
321,SADE ELEANOR
322,RAINIER NORTHWEST-UNIVERSITY LLC
323,GARFIELD FAMILY LLC
324,RIVENDELL PROPCO LLC
325,LOTHLORIEN PROPCO LLC
326,LAKEVIEW MEDICAL BUILDING LLC
327,SPRINGBROOK BUILDING LLC
328,SEATTLE CHILDREN'S HOSPITAL
329,SEATTLE COMMUNITY CHURCH
330,CROSS & CROWN CHURCH
331,NORTHCUT HOLDINGS LLC
332,RUSSELL PARTNERS
333,LAKEVIEW UNION BAY PARTNERS LLC
334,YOUTHCARE
335,SPBS LLC
336,B'NAI B'RITH HILLEL FNTDTN AT THE UW
337,TYLEE II LLC
338,ABSAROKA HOLDINGS LLC
339,LOS ROBLES LLC+BAYVIEW MANAGER LLC
340,LEWISON APARTMENTS LLC
341,BENNETT RICHARD ARTHUR+ROBERTA LEE
342,DLK LIMITED LIABILITY COMPANY
343,FORTY TWO THIRTY ONE LLC
344,ROSE FAMILY LLC JAMES B
345,SAT 2400 L L C
346,MEADOWVIEW HOLDINGS 1 LLC +MEADOWVIEW HOLDINGS 2 LLC +ET AL
347,ORLOSKY VALERIE+FRANK
348,KENNEDY DON D
349,BROOKLYN MAVERICK LLC
350,SEATTLE UNIVERSITY DISTRICT LP
351,LEE FANG AN+YU LING
352,VILLAGE MANOR LLC
353,GRE UNIVERSITY L L C
354,COH CARE
355,FENPRO PONDERAY LLC +PONDERAY LLC
356,DOLPHIN APARTMENTS L L C
357,UNIVERISTY PARK INVESTMENTS L
358,KELLY ANNE APARTMENTS LLC
359,CAMPUS VIEW APARTMENTS II L L C
360,TRIMARK-UNVERSITY HOUSING III LLC
361,LOCKE CALVIN W+STEPHEN I+MELVIN F
362,SHANNON BUILDING LLC
363,DD CULP LLC
364,DONATELLE LERRYN SCHAEFER
365,HIATT KEMP E
366,IRO APARTMENT INVESTORS 2022 LLC
367,COHANIM L L C
368,ADELAIDE LLC
369,LEE FAMILY TRUST
370,TAMARAC APARTMENTS LLC
371,PACIFIC PROPERTIES SOUTH LLC
372,BARCLAY APARTMENTS LLC
373,UNIVERSITY PROPERTY X LLC
374,GT VILLAGE VISTA LLC
375,MG AT UNIVERSITY LLC
376,LE CASITA L L C
377,UW 20TH AVE LLC
378,MALLOY APTS LLC
379,LMB MANAGER LLC+ESCOLIER MNG LLC
380,UNIVERSITY HOLDINGS 1 LLC +UNIVERSITY HOLDINGS 2 LLC +ET AL
381,WEBER VENTURES LLC
382,TRINITY 43RD AVE LLC
383,UNITED DOMINION REALTY LP C/O UNITED DOMINION REALTY TRUST INC
384,ALLEGRO APARTMENTS LLC
385,EVARTS JOHN
386,CAMPUS VIEW APARTMENTS LLC
387,LEE JOE+PENELOPE FAMILY LTD PRTNRSHP
388,5200 UNIVERSITY WAY LLC
389,ADRIA NORTHSTAR PROPERTIES LLC
390,COHANIM PLAZA LLC
391,WILSONIAN PROPCO LLC
392,HELIX ELLIPSE APARTMENTS LLC
393,COLLEGIAN COURT L L C
394,LEE PLAZA ASSOCIATES LLC
395,11TH AVENUE & 47TH STREET LLC
396,SUNRISE CASCADE L L C
397,47TH STREET DEVELOPMENT LLLP
398,FSC REALTY LLC
399,ACC OP 12TH AVENUE LLC
400,SITCHENSIS HOUSE LLC
401,C150-II 4106 12TH AVE NE LLC
402,LIGHTBOX LLC
403,ACC OP 11TH AVE LLC
404,C150-II 4717 BROOKLYN AVE NE LLC
405,ACC OP (CORE) LLC
406,PARSONAGE APARTMENTS LLC
407,ARION INVESTMENT L L C
408,QUALITY FOOD CENTERS INC
409,BOWMAN FAMILY I LLC
410,ASIAN PACIFIC PROPERTIES LLC
411,SAFEWAY INC
412,PAJIS WA L L C
413,KAPPA ALPHA THETA FRATERNITY HOUSING CORPORATION
414,NEPTUNE BUILDING LLC
415,FREEWAY PROPERTIES LLC
416,3601 W MARGINAL WAY SW LIMITED PS
417,JENKINS DANIEL J+KELLY ANNE
418,DEVELOPMENT SERVICES OF AMERICA INC
419,GEORGETOWN CREATIVE DESIGN LLC
420,CREF3 DETROIT OWNER LLC
421,FM 2414 SW ANDOVER LLC
422,FIRST BERKSHIRE PROPERTIES L L C
423,CENTERPOINT PROPERTIES TRUST
424,WESTWIND CHRISTIAN COMMUNITY
425,ERC SANTOS LLC
426,S & S PARTNERS LLC
427,LIPSETT CO LLC
428,HULLIN HELEN V -TESTAMENTARY TRUST FOR JUDITH SIMPSON
429,WESTWOOD COURT APARTMENTS LLC
430,JM WESTWOOD PARK VILLA
431,HOLDEN HOLDINGS LLC
432,HOLDEN COURT APARTMENTS LLC
433,CROFT PLACE LLC
434,POPE & YOUNG PROPERTIES LLC
435,7901 DELRIDGE WAY OWNER WA LP
436,US REIF WESTHAVEN APARTMENTS WA LLC
437,HOLDEN STREET FAMILY HOUSING LLC
438,STEVENS STANLEY LOUIS
439,LOUIE FAMILY L L C #2
440,DESC DELRIDGE SUPPORTIVE HOUSING LP
441,20TH BLUE STONE LLC
442,PACNORTH PROPERTIES LLC+RIVERCROFT REAL ESTATE ASSETS LLC
443,SEAFREEZE ACQUISITION LLC
444,JONES WASHINGTON STEVEDORING C
445,VISKO ENTERPRISES INC
446,RIGGLE JAMES C+JEWELL HARRISON J
447,NORDIC HERITAGE MUSEUM FOUNDATION
448,CKM ASSOCIATES LLC
449,HANOVER INVESTMENTS LLC
450,TRINITY PROPERTIES INC
451,WORKSHOPS SEATTLE BALLARD LLC
452,BALLARD SPACE LLC
453,HF 5111 PROPERTY LLC
454,CAR WASH ENTERPRISES INC
455,MARKET HOLDINGS COMPANY LLC
456,BLOCK IN BALLARD LLC
457,MJWKING LLC
458,BALLARD ASSOC LLC
459,QUEST CORPORATION
460,R D MERRILL AT BALLARD I LLC
461,KEELSON PARTNERS LLC
462,LMV 1702 BALLARD HOLDINGS LP
463,BALLARD HEALTHCARE INVESTORS LLC
464,KANEBUILT LLC
465,QUEST MINISTRIES
466,DEAL ACQUISITIONS LLC
467,BUILDINGS B & C AT 1141 NW 50TH ST L L C
468,MURPHY BALLARD LLC
469,MERLINO ASSOCIATES
470,LOCK VISTA APARTMENTS LLC
471,EASTGATE CORPORATE CENTER LLC
472,SIXTYFIVE LLC
473,GCC PROPERTIES LLC
474,5814 WESTWOOD APTS LLC
475,STRAND FAMILY HOLDINGS LLC
476,WC SEATTLE V SPE LLC
477,RUSSELL PARK L L C
478,WIN FOREVER LLC
479,LM-HMG L L C
480,BWC III LLC
481,6301 15TH AVE NW LLC
482,BALLARD 80 F1 LLC
483,SP/BIT BALLARD ON THE PARK L L C
484,GALEN WILSON PROPERTIES L.L.C
485,LANDMARK BUILDING & HOLDING CO LLC
486,BALLARD APARTMENTS LLC
487,GALLAGHER 1521 LLC
488,BALLARD LANDMARK INN LLC
489,HLI KOI LLC
490,EQR-MARKET STREET LANDING L L C
491,PPF AMLI 2428 NW MARKET STREET LLC
492,EQR -TALLMAN LLC
493,SOREN APARTMENTS LLC
494,FHF I BALLARD LOFTS LLC
495,BALLARD MILTIFAMILY ACQUISITION LLC
496,VIVE APARTMENTS LLC
497,SS MARKET STREET LLC
498,FIORITO DAN N JR+TIMOTHY T
499,4722 BALLARD AVENUE NW LLC
500,1515 LEARY WAY ASSOCIATES LLC
501,RRDS LLC
502,ALISUE LLC
503,SHILSHOLE CFA LLC
504,LACHAPELLE NATALIE
505,NW INDUSTRIAL MARINE
506,BUILDINGS A & A EAST AT 1118 NW LEARY WAY L L C
507,FREYBERG JAMES W+ANNA K ET AL
508,HATCH FAMILY PROPERTIES LLC
509,GEORGETOWN INC LLC
510,SEA-MAR COMMUNITY HEALTH CENTER
511,BROWN JODI LEE
512,SDC CREATIV LLC
513,HISTORICAL SOCIETY OF SEATTLE & KING COUNTY
514,TRUPANION-APIC LLC
515,GEORGETOWN REAL ESTATE LLC
516,SEATTLE HATHAWAY 75 LLC
517,ORCAS BUSINESS PARK L.L.C
518,5950 BUILDING LLC
519,TERRENO DENVER AVE LLC
520,TWO CHAIRS LLC
521,7747 AVIATION LLC
522,SPIRE GEORGETOWN CENTER LP
523,SDC ANNEX LLC
524,W J CARLSON FAMILY LLC
525,STATE OF WASHINGTON
526,FIRST SOUTH PROPERTIES L L C
527,MILITARY ROAD SOUTH ASSOCIATES L L C
528,BOYS & GIRLS CLUBS OF KING COUNTY `
529,MICHIGAN LLC
530,FM 660 SOUTH OTHELLO LLC
531,PARAGON INDUSTRIES II INC
532,CLPF-SEATTLE DISTRIBUTION CENTER L P
533,LBA RV-COMPANY XXXIII LP
534,TALON 303 RIVER LLC
535,EMERSON ENTERPRISES L L C
536,DEKERIVER LLC
537,LMNG LLC
538,YSD LLC
539,SPEAR INVESTMENTS LLC
540,IV1 7700 2ND AVE S LLC
541,PARK MANOR APARTMENTS LLC C/O STANLEY KOKI
542,JULIUS HORTON BUILDING L L C
543,SEATTLE DEPT OF TRANSPORTATION
544,EAGLE RIDGE PLAZA LLC
545,RAINIER VISTA BLOCK 43 OWNER LP
546,BDR SONATA EAST LLC
547,PROLOGIS-EXCHANGE 4201 6TH AVENUE SOUTH LLC
548,SUN FO LLC
549,ELEVATE PROPCO IX LLC
550,LEVINSON MAYO LLC
551,ORIGINAL RAINIER OWNER LLC
552,BRIDGE POINT SEATTLE 130 LLC
553,SOUTH ALASKA STREET REAL ESTATE INVESTMENTS LLC
554,CSHV NWCP SEATTLE LLC
555,NW CORPORATE PARK LLC
556,HARSCH INVESTMENT PROPERTIES II LLC
557,SEATAC MARINE PROPERTIES LLC
558,TERRENO LUCILE LLC
559,C/E JENSEN FAMILY LIMITED PARTNERSHIP
560,615 SOUTH ALASKA LLC
561,BASE PROPERTIES II LLC
562,SOUTHPARK LAND LLC
563,ROBERT & SHIRLEY WILSON FAMILY L L C THE
564,PNP PROPERTIES LLC
565,JAC 9243 10TH AVENUE S LLC
566,SCHARHON FAMILY LLC
567,REAM FAMILY LIMITED PARTNERSHIP
568,GEORGETOWN PROFESSIONAL CENTER LLC
569,650 SIW QOZB LLC
570,HARSCH INVESTMENT PROPERTIES LLC
571,ESTATE OF REX C OTT +REX C
572,HIRAO OTANI ENTERPRISES LLC
573,FISHER FAMILY HOLDINGS LLC
574,CEDAR HEIGHTS PTNSHP LLP
575,CUSHMAN DEBRA
576,BOYER TOWING INC
577,DAE II L L C
578,LAN FAMILY LLC
579,MVI 7TH AVENUE LLC
580,6600 URSULA SO L L C C/O LOREN MAJERES
581,5901 FOURTH LLC
582,BURKHEIMER FAMILY L L C
583,RAINIER HOSPITALITY LLC
584,SEQUIM LODGING CORPORATION
585,PFHC-601 ROY LLC
586,APPLE NINE SEATTLE FEE OWNER INC
587,425 QUEEN ANNE LLC
588,PFHC-700 5TH AVE LLC
589,LAKE UNION SILVER CLOUD INN L
590,WH CY SEATTLE HOTEL LLC
591,BRE BMR 6TH LLC
592,THE MAXWELL PINEAPPLE LLC
593,JAYGEES HOLDINGS LTD
594,KOLL LAKE UNION ASSOC L P
595,TILDEN INVESTMENTS LLC
596,MOHAI LEASING LLC
597,BILL & MELINDA GATES FOUNDATION
598,CP IPERS SEATTLE LLC
599,COLUMBIA WASHINGTON EASTLAKE OFFICE LLC
600,1144 EASTLAKE LLC
601,ARE-SEATTLE NO 33 LLC
602,1000-1100 DEXTER AVENUE INC
603,SFIII FOS PONTIUS HOLDING LLC +SFIII PONTIUS LLC
604,H5 CAPITAL - SEATTLE REAL ESTATE II LLC
605,FRED HUTCHISON CANCER RESEARCH CENTER
606,KR WESTLAKE TERRY LLC
607,WA HAZEL AND JOHNS LLC
608,EAST WEST INVESTMENT CO INC
609,GATES ARCHIVE LLC
610,GI TC LAKE UNION LLC
611,MCP ALLEY24 EAST LLC
612,BLUME ROY BUILDING LLC
613,PEMCO MUTUAL INSURANCE COMPANY
614,BLUME YALE LIMITED PARTNERSHIP
615,ASSOCIATED GENERAL CONTRACTORS
616,SIC LAKE UNION BUILDING LLC +SIC LAKE UNION BUILDING II LLC
617,UB PROPERTY L L C
618,SELIG HOLDINGS COMPANY LLC
619,DWF V WEST LAKE LLC
620,246 NICKERSON LLC
621,MAGOON ENTERPRISES LLC
622,LMS SHIP CANAL TRAIL LLC +SHIP CANAL TRAIL SPE LLC
623,THE SALVATION ARMY
624,ACORN DEVELOPMENT LLC
625,MAGNOLIA PROPERTIES L L C
626,WESTLAKE PROPERTY HOLDINGS LLC
627,202 WESTLAKE OFFICE LLC
628,224 WAN LLC
629,UNION BAY INVESTORS
630,TEMPERATE PARADISE PROPERTIES LLC
631,1725 WESTLAKE INVESTMENTS LLC
632,STACK HOUSE HOLDCO LLC
633,UNION INVESTMENT REAL ESTATE GMBH
634,CR DEXTER STATION LLC
635,USQ PHASE EIGHT LLC
636,RF SIDNEYSEA TIC LLC +BRAZIL 7STAR LLC
637,BRE BMR 1101 WESTLAKE LLC
638,400 FAIRVIEW AVE LLC
639,RF URBANSEA TIC LLC +URBAN UNION STAR LLC
640,ARE SEATTLE NO 45 OWNER LLC
641,PONTE GADEA SEATTLE LLC
642,DEKA IMMOBILIEN INVESTMENT GMBH +DEKA-IMMOBILIENGLOBAL
643,RECREATIONAL EQUIPMENT INC
644,URG 960 REUBLICAN LLC
645,KR 401 TERRY L L C
646,UNIVERSITY OF HAWAII FOUNDATION
647,CITY INVESTORS XII L L C
648,1001 FAIRVIEW LLC
649,CHINA SUN INC
650,1515 DEXTER LLC
651,CCP QUEEN ANNE 0462 LLC
652,ALPHA Z SEATTLE OFFICE 1 LLC
653,MIRABELLA
654,1255 WESTLAKE LLC
655,CHIN FAMILY LIMITED PARTNERSHI
656,SEATTLE CANCER CARE ALLIANCE
657,US WEST COMMUNICATIONS INC
658,BMR WESTLAKE LLC
659,NBINV AP2 LLC
660,PPF AMLI 1260 REPUBLICAN STREET LLC
661,DOUBLEUP LLC
662,CITY INVESTORS XXII LLC
663,4 & 9 TWENTY-FIVE LLC
664,HP HOTEL LLC
665,WASHINGTON BUILDERS LLC
666,GI TC SEATTLE LLC
667,SI XIX LLC
668,PONTE GADEA KIARA LLC
669,1145 REPUBLICAN ST WA OWNER LLC
670,CAROCOURT L L C
671,CSH QUEEN ANNE LLC
672,RAR2 QUEEN ANNE-SWEETBRIER QRS L L C C/O RREEF AMERICA L L C
673,RAR2 QUEEN ANNE-EDEN HILL QRS L L C C/O RREEF AMERICA L L C
674,PARK CSH LLC
675,GREENWICH APTS LLC
676,GALER CREST APARTMENTS LLC
677,SEDRA LLC +TDES 34791 LLC
678,BALACLAVA HOLDINGS INC
679,419 QUEEN ANNE AVENUE LLC
680,ROLLINS MATTHEW
681,KUMA INVESTMENTS LLC
682,MGRE 105 MERCER LLC
683,2145 DEXTER AVE N LLC
684,UBER BRIAN D JR
685,CASA MILANO LLC
686,HENDRIX 419 LLC
687,CARLTON-ALLENTOWN LLC+QUEEN G LLC
688,DOWNTOWN EMERGENCY SERVICE CENTER
689,CITY PLACE IV L L C
690,JENSEN BLOCK APARTMENTS LLC
691,BLUEPRINT VAL ANNE LLC
692,900 QUEEN ANNE LLC
693,MONTANITA ASSOCIATES L L C
694,TIKI APARTMENT INVESTMENTS L L
695,EDGECLIFF PARTNERS L L C
696,BUNGALOWS AT QUEEN ANNE LLC
697,JERICO DENTAL INVESTMENTS LTD
698,NORTHROP GLENN A
699,KAMI LP +MILKIE STUDIO INC +ET AL
