,OSEBuildingID,DataYear,BuildingName,BuildingType,TaxParcelIdentificationNumber,Address,City,State,ZipCode,Latitude,Longitude,Neighborhood,CouncilDistrictCode,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUIWN(kBtu/sf),SourceEUI(kBtu/sf),EPAPropertyType,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Electricity(kWh),SteamUse(kBtu),NaturalGas(therms),ComplianceStatus,ComplianceIssue,Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,geometry,Owner,TaxParcelOwner,UBINumber,Principals,CompanyAddress,BusinessName,Agent
10,15,2020,HOTEL MONACO,NonResidential,0942000145,1101 4TH AVE,SEATTLE,WA,98101.0,47.60695,-122.33414,DOWNTOWN,7.0,1969,11,1,153163,133884,19279,51.0,86.6,85.4,13396252.0,13215270.0,165.8,164.6,Hotel,Hotel,154723.0,,,,,1872789,2686114,41392,Compliant,No Issue,6389956.0,4139200.0,476.8,3.6,POINT (-122.33414 47.60695),Pebblebrook Hotel Trust,RUNNING REBELS OWNER LLC,603 099 961,"['PEBBLEBROOK HOTEL, L.P.']","4747 BETHESDA AVENUE, SUITE 1100, BETHESDA, MD, 20814, UNITED STATES",RUNNING REBELS OWNER LLC,C T CORPORATION SYSTEM
11,16,2020,W SEATTLE HOTEL,NonResidential,0942000165,1112 4TH AVE,SEATTLE,WA,98101.0,47.60738,-122.33362,DOWNTOWN,7.0,1998,25,1,333176,272015,61161,88.0,48.6,48.4,15289689.0,15218298.0,118.8,118.6,Hotel,Hotel,314559.0,Parking,45093.0,,,3521264,1903845,12999,Compliant,No Issue,12014553.0,1299900.0,291.0,1.1,POINT (-122.33362 47.60738),,SUPERNOVA SEATTLE REALTY LLC,,,,,
12,17,2020,EXECUTIVE HOTEL PACIFIC,NonResidential,0942000210,400 SPRING ST,SEATTLE,WA,98104.0,47.60699,-122.33346,DOWNTOWN,7.0,1928,9,1,65009,65009,0,78.0,62.2,62.1,4042917.0,4033868.0,99.5,99.1,Hotel,Hotel,65009.0,,,,,335747,1315934,15724,Compliant,No Issue,1145568.0,1572366.0,198.8,3.1,POINT (-122.33346 47.60699),Executive Group Development,EXECUTIVE HOTEL SEATTLE L L C,602 499 594,[' EXCUTIVE MANAGEMENT INC' 'SALAHUDDIN CHAGANI'],"4420 132ND ST SE, SUITE 201, MILL CREEK, WA, 98012, UNITED STATES",EXECUTIVE HOTEL SEATTLE LLC,JEFFREY E PTATT
13,18,2020,CROWNE PLAZA,NonResidential,0942000235,1113 6TH AVE,SEATTLE,WA,98101.0,47.60809,-122.33212,DOWNTOWN,7.0,1980,33,1,353111,295511,57600,98.0,40.2,40.2,11866220.0,11866220.0,96.1,96.1,Hotel,Hotel,295511.0,Parking,57600.0,,,2668199,0,27623,Compliant,No Issue,9103895.0,2762324.0,195.1,0.7,POINT (-122.33212 47.60809),,TODAYS HOTEL SEATTLE CORPORATION,601 877 875,['CARMEL FU' 'ROBERT C. NICHOLAS' 'VIVIAN LEE'],"1113 6TH AVE, SEATTLE, WA, 98101-3002, UNITED STATES",TODAY'S HOTEL SEATTLE CORPORATION,"OMW R.A. SERVICES, LLC"
14,19,2020,HOTEL VINTAGE PARK,NonResidential,0942000265,1100 5TH AVE,SEATTLE,WA,98101.0,47.60755,-122.33244,DOWNTOWN,7.0,1922,11,1,92190,66990,25200,69.0,79.9,78.3,5387344.0,5279502.0,145.4,143.4,Hotel,Hotel,67390.0,,,,,626524,2495602,6462,Compliant,No Issue,2137700.0,646200.0,252.8,3.8,POINT (-122.33244 47.60755),,WIRELESS PROPCO LLC,604 921 988,['MELODY COMMUNICATIONS INFRASTRUCTURE II LLC'],"44 S BROADWAY STE 601, WHITE PLAINS, NY, 10601-4422, UNITED STATES","WIRELESS PROPCO, LLC",CORPORATION SERVICE COMPANY
15,21,2020,SEATTLE CENTRAL LIBRARY,Nonresidential COS,0942000275,1000 4TH AVE,SEATTLE,WA,98104.0,47.60649,-122.33297,DOWNTOWN,7.0,2004,11,1,412000,355000,57000,,40.2,40.4,14699644.0,14789810.0,110.8,111.6,Library,Library,364913.0,Parking,49000.0,Data Center,1074.0,4231899,350572,0,Compliant,No Issue,14439239.0,0.0,105.9,0.3,POINT (-122.33297 47.60649),,UNDEFINED,,,,,
16,22,2020,DOWNTOWN SEATTLE YMCA,NonResidential,0942000350,909 4TH AVE,SEATTLE,WA,98104.0,47.60546,-122.33279,DOWNTOWN,7.0,1930,6,1,103911,103911,0,,80.3,78.8,8344982.0,8190442.0,161.9,160.1,Fitness Center/Health Club/Gym,Fitness Center/Health Club/Gym,61528.0,Office,32195.0,Other - Lodging/Residential,10188.0,1250366,3699885,2243,Compliant,No Issue,4266249.0,224310.0,341.7,3.3,POINT (-122.33279 47.60546),,MILLENIUM TOWER LLC,,,,,
17,23,2020,RENAISSANCE MADISON HOTEL,NonResidential,0942000430,515 MADISON ST,SEATTLE,WA,98104.0,47.60681,-122.33078,DOWNTOWN,7.0,1983,28,1,416281,331281,85000,91.0,52.6,52.6,18317354.0,18317354.0,119.0,119.0,Hotel,Hotel,348329.0,Parking,85000.0,,,3718626,0,56294,Compliant,No Issue,12687952.0,5629402.0,366.4,1.1,POINT (-122.33078 47.60681),R.C. Heeden Co,MADISON HOTEL LLC,601 816 426,['R.C. HEDREEN CO.'],"1700 7TH AVE STE 2300, SEATTLE, WA, 98101-1387, UNITED STATES",MADISON HOTEL LLC,"TRUSTEE AND CORPORATE SERVICES, INC."
18,24,2020,RAINIER CLUB (HISTORICAL LANDMARK),NonResidential,0942000510,810 4TH AVE,SEATTLE,WA,98104.0,47.60515,-122.33159,DOWNTOWN,7.0,1907,5,1,57452,57452,0,,98.2,95.7,5641592.0,5495576.0,188.2,185.2,Mixed Use Property,Social/Meeting Hall,16442.0,Restaurant,15505.0,Office,9741.0,778329,1466702,13732,Compliant,No Issue,2655660.0,1373214.0,208.8,3.6,POINT (-122.33159 47.60515),,UNDEFINED,,,,,
19,25,2020,DOUBLE TREE ARCTIC CLUB HOTEL - SEATTLE,NonResidential,0942000610,700 3RD AVE,SEATTLE,WA,98104.0,47.60376,-122.33194,DOWNTOWN,7.0,1916,10,1,104352,104352,0,96.0,46.8,46.8,4885903.0,4885903.0,109.6,109.6,Hotel,Hotel,104352.0,,,,,1022424,1290818,1066,Compliant,No Issue,3488511.0,106573.0,131.4,1.3,POINT (-122.33194 47.60376),Oxford Collection,ARCTIC CLUB HOTEL LLC,602 440 867,['CHRISTOPHER ASHENBRENER' 'STEPHEN DAY' 'WILLIAM LAWSON'],"108 N WASHINGTON ST STE 603, SPOKANE, WA, 99201-5001, UNITED STATES",ARCTIC CLUB HOTEL LLC,
20,26,2020,KING COUNTY COURTHOUSE,NonResidential,0942000860,516 3RD AVE,SEATTLE,WA,98104.0,47.60265,-122.33051,DOWNTOWN,7.0,1916,10,1,540360,540360,0,56.0,93.7,92.1,50314100.0,49447092.0,180.7,179.0,Courthouse,Courthouse,501287.0,Barracks,35863.0,,,7406109,0,241774,Compliant,No Issue,25269644.0,24177450.0,1418.4,2.6,POINT (-122.33051 47.60265),,UNDEFINED,,,,,
21,27,2020,KING COUNTY CORRECTIONAL FACILITY,NonResidential,0942001010,500 5TH AVE,SEATTLE,WA,98104.0,47.60378,-122.32842,DOWNTOWN,3.0,1985,19,1,385274,385274,0,,143.4,141.5,48664052.0,48006552.0,244.5,243.4,Prison/Incarceration,Prison/Incarceration,339315.0,Parking,45959.0,,,5387560,0,296242,Compliant,No Issue,18382355.0,29624197.0,1671.1,4.3,POINT (-122.32842 47.60378),,KING COUNTY,,,,,
24,30,2020,CORNISH (Main Campus Center),NonResidential,0660001420,1000 LENORA ST,SEATTLE,WA,98121.0,47.61816,-122.33629,DOWNTOWN,7.0,1928,7,1,126593,126593,0,,74.5,71.7,9309587.0,8967604.0,140.6,137.8,College/University,College/University,125000.0,,,,,1307164,0,45076,Compliant,No Issue,4460044.0,4507560.0,263.1,2.1,POINT (-122.33629 47.61816),Cornish College of the Arts,CORNISH COLLEGE OF THE ARTS,600 178 881,['EMILY PARKHURST' 'JOHN JORDAN' 'MICHAEL FORTIN' 'SHARON CORNISH-MARTIN'],"1000 LENORA ST, SEATTLE, WA, 98121-2951, UNITED STATES",CORNISH COLLEGE OF THE ARTS,
26,33,2020,SPRINGHILL SUITES SEATTLE DOWNTOWN,NonResidential,0660002680,1800 YALE AVE,SEATTLE,WA,98101.0,47.61784,-122.32966,DOWNTOWN,7.0,2001,10,1,171866,133585,38281,89.0,59.0,59.4,7605834.0,7650890.0,124.1,125.1,Hotel,Hotel,128909.0,Parking,38301.0,,,1355953,0,30244,Compliant,No Issue,4626512.0,3024378.0,185.2,1.4,POINT (-122.32966 47.61784),,MOODY NATIONAL YALE-SEATTLE HOLDINGS LLC,603 579 184,['MOODY NATIONAL OPERATING PARTNERSHIP I LP'],"9655 KATY FWY STE 600, HOUSTON, TX, 77024-1385, UNITED STATES","MOODY NATIONAL YALE-SEATTLE HOLDING, LLC",CORPORATION SERVICE COMPANY
28,35,2020,HOTEL FIVE,NonResidential,0697000170,2200 5TH AVE,SEATTLE,WA,98121.0,47.61558,-122.34186,DOWNTOWN,7.0,1978,5,1,68410,52210,16200,94.0,47.4,47.4,2476286.0,2476286.0,109.8,109.8,Hotel,Hotel,52210.0,Parking,15400.0,,,524425,0,6869,Compliant,No Issue,1789339.0,686947.0,46.0,0.9,POINT (-122.34186 47.61558),PIneapple Hospitality Co,DREAM LEGACY PRU SPE LLC,603 538 073,['CWP PRU LLC'],"155 108TH AVE NE STE 500, BELLEVUE, WA, 98004-5901, UNITED STATES",DREAM LEGACY PRU SPE LLC,"COLUMBIA WEST PROPERTIES, INC."
40,55,2020,VINE ST MINI STORAGE,NonResidential,0653000225,11 VINE ST,SEATTLE,WA,98121.0,47.61351,-122.35129,DOWNTOWN,7.0,1911,3,1,70586,70586,0,,26.3,25.7,1856567.0,1808823.0,55.8,55.1,Self-Storage Facility,Self-Storage Facility,42298.0,Vocational School,28197.0,Office,3859.0,332815,0,6733,Compliant,No Issue,1135566.0,673257.0,41.8,0.6,POINT (-122.35129 47.61351),Robert Rosen,RAR 2501 LLC,604 413 118,['MARK W ROBERTS' 'ROBERT W. ROSEN'],"3757 S RIDGEWAY PL, SEATTLE, WA, 98144-6211, UNITED STATES",RAR 2501 LLC,RAR 2501 LLC
41,56,2020,HILTON SEATTLE,NonResidential,7802920020,1301 6TH AVE,SEATTLE,WA,98101.0,47.60946,-122.33337,DOWNTOWN,7.0,1969,24,1,332210,126240,205970,62.0,79.9,78.6,10086603.0,9917025.0,185.9,182.1,Parking,Parking,205970.0,Hotel,126240.0,,,2106940,0,27281,Not Compliant,Default Data,7188879.0,2728144.0,183.1,1.5,POINT (-122.33337 47.60946),CIM Group,1301 6TH AVENUE (WA) OWNER LLC,604 552 088,"['1301 6TH AVENUE VENTURE, LLC']","4700 WILSHIRE BLVD, LOS ANGELES, CA, 90010-3853, UNITED STATES","1301 6TH AVENUE (WA) OWNER, LLC",PARACORP INCORPORATED
42,57,2020,5TH & PINE,NonResidential,1975700200,1513 5TH AVE,SEATTLE,WA,98101.0,47.6113,-122.33659,DOWNTOWN,7.0,1973,5,1,88717,88717,0,77.0,40.1,40.1,6804418.0,6804418.0,112.4,112.4,Office,Office,103362.0,Retail Store,65676.0,Data Center,493.0,1994261,0,0,Compliant,No Issue,6804419.0,0.0,36.2,0.4,POINT (-122.33659 47.6113),Invesco,FIFTH & PINE LLC,602 452 775,"['INVESCO IF IV U.S. 5, LLC']","2001 ROSS AVENUE, SUITE 3400, DALLAS, TX, 75201, UNITED STATES",FIFTH & PINE LLC,C T CORPORATION SYSTEM
43,58,2020,CENTURY SQUARE RETAIL,NonResidential,1975700365,1525 4TH AVE,SEATTLE,WA,98101.0,47.61076,-122.33765,DOWNTOWN,7.0,1920,2,1,57428,57428,0,,16.3,16.3,938320.0,938320.0,38.4,38.4,Other - Mall,Other - Mall,51747.0,"Personal Services (Health/Beauty, Dry Cleaning, etc)",5681.0,,,204455,0,2407,Compliant,No Issue,697601.0,240718.0,16.5,0.3,POINT (-122.33765 47.61076),,ARRENDELL AMY+ARRENDELL REVOCABLE LIVING TRUST AMY +ET AL,,,,,
44,59,2020,GIBRALTAR TOWER,NonResidential,1975700380,1518 3RD AVE,SEATTLE,WA,98101.0,47.61048,-122.33794,DOWNTOWN,7.0,1910,8,1,59400,59400,0,,34.6,34.6,1904342.0,1904342.0,97.0,97.0,Office,Office,48366.0,Retail Store,6619.0,,,558131,0,0,Compliant,No Issue,1904342.0,0.0,10.1,0.2,POINT (-122.33794 47.61048),,GIBRALTAR TOWER LLC,602 511 823,['GERRY PIGOTTI' 'JOHN SLONECKER' 'THOMAS W READ ESQ'],"720 SENECA ST, SUITE B, SEATTLE, WA, 98101-3265, UNITED STATES",GIBRALTAR TOWER LLC.,GIBRALTAR LLC
45,60,2020,MANN BUILDING/WILD GINGER/TRIPLE DOOR,NonResidential,1975700525,1401 3RD AVE,SEATTLE,WA,98101.0,47.60886,-122.33744,DOWNTOWN,7.0,1926,2,1,52549,52549,0,,370.3,370.3,19424808.0,19424808.0,474.3,474.3,Mixed Use Property,Other - Entertainment/Public Assembly,23500.0,Restaurant,23500.0,Office,5459.0,751358,0,168612,Compliant,No Issue,2563632.0,16861175.0,909.1,17.3,POINT (-122.33744 47.60886),,MILLENIUM TOWER LLC,,,,,
46,61,2020,PALIHOTEL,NonResidential,1975700600,107 PINE ST,SEATTLE,WA,98101.0,47.60973,-122.34038,DOWNTOWN,7.0,1900,4,1,50510,50510,0,,,,,,,,Hotel,Hotel,46409.0,,,,,0,0,0,Not Compliant,Missing 2020 EUI or Electricity Data,0.0,0.0,0.0,0.0,POINT (-122.34038 47.60973),Palisociety,101 PINE STREET LLC,604 101 710,['PALIHOTEL SEATTLE LLC'],,101 PINE STREET LLC,CORPORATION SERVICE COMPANY
47,62,2020,ROOSEVELT HOTEL (HOTEL THEODORE),NonResidential,1976700010,1531 7TH AVE,SEATTLE,WA,98101.0,47.61233,-122.33432,DOWNTOWN,7.0,1930,20,1,98634,88591,10043,96.0,47.6,46.7,4317498.0,4236608.0,105.6,103.1,Hotel,Hotel,83591.0,Parking,10043.0,Restaurant,7057.0,791652,1138537,3970,Compliant,No Issue,2701116.0,396956.0,130.0,1.5,POINT (-122.33432 47.61233),,ROOSEVELT HOTEL OWNER LLC,603 440 553,[' ROOSEVELT HOTEL INVESTORS LLC'],"1531 SEVENTH AVE, SEATTLE, WA, 98101, UNITED STATES",ROOSEVELT HOTEL OWNER LLC,GORDON D SONDLAND
48,63,2020,SHERATON GRAND SEATTLE - (Parent Building),Campus,1976700095,1400 6TH AVE,SEATTLE,WA,98101.0,47.61087,-122.33339,DOWNTOWN,7.0,1982,34,2,1083197,926614,156583,95.0,51.0,50.4,50691876.0,50137040.0,110.1,109.5,Hotel,Hotel,994212.0,Parking,117668.0,Swimming Pool,0.0,9309213,4327530,140465,Compliant,No Issue,31763035.0,14046472.0,1274.1,1.4,POINT (-122.33339 47.61087),,UNDEFINED,,,,,
49,65,2020,INN AT THE MARKET,NonResidential,1977200050,86 PINE ST,SEATTLE,WA,98101.0,47.60997,-122.34138,DOWNTOWN,7.0,1985,7,1,71150,57420,13730,100.0,48.9,48.9,2806938.0,2806938.0,114.0,114.0,Hotel,Hotel,57420.0,Parking,13730.0,Retail Store,9604.0,602967,0,7496,Compliant,No Issue,2057324.0,749614.0,50.8,0.9,POINT (-122.34138 47.60997),,MARKET PLACE CENTER LTD,600 583 233,['ALI HOTEL LLC' 'FIRSTDOWN LLC' 'TALITOR LLC'],"86 PINE ST, SEATTLE, WA, 98101-1531, UNITED STATES","MARKET PLACE CENTER, LTD.","BS&G, INC."
50,66,2020,MOORE HOTEL & THEATRE,NonResidential,1977201035,1926 2ND AVE,SEATTLE,WA,98101.0,47.61155,-122.34114,DOWNTOWN,7.0,1908,7,1,122810,122810,0,,30.0,28.6,3681103.0,3509984.0,42.3,40.8,Hotel,Hotel,90874.0,Other - Entertainment/Public Assembly,26450.0,Restaurant,5486.0,222410,0,27511,Compliant,No Issue,758861.0,2751122.0,150.1,1.2,POINT (-122.34114 47.61155),TruAmerica Multifamily,1915 SECOND AVENUE LLC,603 176 132,['PAUL KELLER'],"2801 ALASKAN WAY, SEATTLE, WA, 98121-1134, UNITED STATES",1915 SECOND AVENUE LLC,"NATIONAL REGISTERED AGENTS, INC."
93,144,2020,ALEXIS HOTEL,NonResidential,1974600035,1007 1ST AVE,SEATTLE,WA,98104.0,47.6048,-122.3368,DOWNTOWN,7.0,1904,5,2,182237,169037,13200,100.0,16.8,16.6,3205018.0,3177040.0,39.7,39.3,Hotel,Hotel,169037.0,Enclosed Mall,21943.0,,,697000,0,7989,Compliant,No Issue,2378165.0,798875.0,55.1,0.3,POINT (-122.3368 47.6048),Service Properties Trust,HPT IHG-2 PROPERTIES TRUST,603 181 390,"['ADAM D. PORTNOY' 'BRIAN E. DONLEY' 'JENNIFER B. CLARK' 'JOHN G. MURRAY'
 'TODD W. HARGREAVES']","255 WASHINGTON ST, TWO NEWTON PLACE, SUITE 300, NEWTON, MA, 02458-1634, UNITED STATES",HPT IHG-2 PROPERTIES TRUST,CORPORATION SERVICE COMPANY
94,145,2020,BENAROYA HALL,Nonresidential COS,1974700025,1301 3RD AVE,SEATTLE,WA,98101.0,47.60804,-122.3367,DOWNTOWN,7.0,1998,6,1,174000,174000,0,,61.1,60.3,10529439.0,10396470.0,133.1,132.2,Mixed Use Property,Performing Arts,163031.0,Parking,153719.0,Social/Meeting Hall,9380.0,1890084,3809802,1377,Compliant,No Issue,6448967.0,137701.0,357.8,2.1,POINT (-122.3367 47.60804),,1918 EIGHTH LLC,602 735 324,[' S1 SEATTLE INVESTMENTS I' 'JENNIFER D COBB'],"225 108TH AVE NE #400, BELLEVUE, WA, 98004, UNITED STATES","1918 EIGHTH, LLC",JENNIFER D COBB
96,163,2020,FIRE STATION 10/FAC/EOC,Nonresidential COS,5247801465,400 S WASHINGTON ST,SEATTLE,WA,98104.0,47.60102,-122.32873,DOWNTOWN,2.0,2006,4,1,61156,61156,0,,141.7,140.7,8211929.0,8155646.0,336.5,337.2,Fire Station,Fire Station,30301.0,Office,27659.0,,,1838882,0,18814,Compliant,No Issue,6274265.0,1881380.0,133.3,2.2,POINT (-122.32873 47.60102),,SWEAZEY INVESTMENTS L L C,,,,,
97,167,2020,WING LUKE MUSEUM/KONG YICK BLDG.,NonResidential,5247802715,719 S KING ST,SEATTLE,WA,98104.0,47.59809,-122.32283,DOWNTOWN,2.0,1910,4,1,72820,59000,13820,,22.6,22.1,1310425.0,1279413.0,50.3,49.7,Museum,Museum,58000.0,,,,,257843,0,3997,Compliant,No Issue,879761.0,399652.0,25.9,0.4,POINT (-122.32283 47.59809),Wing Luke Museum,WLAM PROPERTY ASSOCIATION,602 622 734,['BRUCE BRUNDIGE' 'ELLEN FERGUSON' 'JILL NISHI' 'MIMI GAN'],"719 S KING ST, SEATTLE, WA, 98104-3035, UNITED STATES",WLAM PROPERTY ASSOCIATION,
146,244,2020,WASHINGTON PARK BUILDING,NonResidential,5247800030,68 S WASHINGTON ST,SEATTLE,WA,98104.0,47.60105,-122.33518,DOWNTOWN,7.0,1900,3,1,44558,44558,0,88.0,21.2,20.9,945549.0,930379.0,49.7,48.8,Office,Office,34416.0,Self-Storage Facility,7672.0,Restaurant,2470.0,200516,0,2462,Compliant,No Issue,684160.0,246219.0,16.7,0.4,POINT (-122.33518 47.60105),Unico,UNICO BOP WASHINGTON PARK LLC,604 431 986,['UNICO PROPERTIES LLC'],"1215 4TH AVENUE, SUITE 600, SEATTLE, WA, 98161, UNITED STATES",UNICO BOP WASHINGTON PARK LLC,CORPORATION SERVICE COMPANY
