,Owner,BuildingsOwned,TotalSquareFootage,TotalGHGEmissions__metric_tons_,TotalElectricity_kBtu_,TotalSteamUse_kBtu,TotalNaturalGas_kBtu,TotalOtherFuelUse_kBtu,AverageGHGEmissionsIntensity,AverageSiteEUI_kBtu_sf,AverageSourceEUI_kBtu_sf,AverageENERGYSTARScore
15,ORCAS BUSINESS PARK L.L.C,5,126948,119,3325589,0,1921329,0,0.9400000000000001,40.36,87.6,65.0
16,HARSCH INVESTMENT PROPERTIES II LLC,5,195000,329,4781484,0,5730301,0,1.7,53.14,96.44,57.666666666666664
17,SEATTLE PACIFIC UNIVERSITY,5,753801,2150,21990177,0,38279666,0,1.5,48.56,90.82000000000001,94.0
18,CENTRAL PUGET SOUND REGIONAL TRANSIT AUTHORITY,5,285461,448,10736925,0,7364830,0,2.7399999999999998,86.64,159.45999999999998,
19,MEPT WESTWOOD VILLAGE LLC,4,199202,441,4920455,0,7827362,0,1.9,56.5,102.025,73.5
20,ABSAROKA HOLDINGS LLC,4,150549,19,3672230,0,0,0,0.1,23.975,67.125,100.0
21,PLYMOUTH HOUSING GROUP,4,221361,430,6108216,0,7494557,0,1.875,62.375,115.10000000000001,36.5
22,DOWNTOWN EMERGENCY SERVICE CENTER,4,172950,362,5388017,1098704,4568802,0,2.125,63.849999999999994,123.275,37.25
23,MERIDIAN ASSOCIATES APARTMENTS L L C,4,173434,26,5064937,0,0,0,0.17500000000000002,25.625,71.675,78.75
24,ESSEX PORTFOLIO LP,4,487147,208,14010217,0,2513385,0,0.525,30.0,74.95,82.25
25,FRED HUTCHISON CANCER RESEARCH CENTER,4,706825,1023,51793570,0,14090413,0,1.3250000000000002,113.57499999999999,287.125,48.0
26,TRIPLE B VENTURES LLC,4,432040,276,42248688,0,967794,0,0.65,183.8,506.5,10.0
27,SPEAR INVESTMENTS LLC,4,181909,113,3768051,0,1751971,0,0.4,21.925,50.949999999999996,53.5
28,SAND POINT COMMUNITY HOUSING ASSOC,3,93504,17,3217534,0,0,0,0.20000000000000004,34.333333333333336,96.16666666666667,55.333333333333336
29,SOUND,3,73936,143,2243907,0,2484375,0,1.8333333333333333,62.300000000000004,119.93333333333334,83.0
30,GEORGETOWN VENTURE LLC,3,74002,11,2120649,0,0,0,0.13333333333333333,28.900000000000002,81.0,61.0
31,MT BAKER VILLAGE LLLP,3,62765,6,1265765,0,0,0,0.06666666666666667,20.266666666666666,56.699999999999996,95.5
32,MULLALLY FAMILY LLC,3,320681,51,9664138,0,0,0,0.16666666666666666,23.900000000000002,66.86666666666666,79.33333333333333
33,COH CARE,3,163759,298,9947244,0,4631314,0,1.3333333333333333,60.133333333333326,136.73333333333332,44.5
34,ABADAN HOLDINGS LLC,3,70889,21,1762648,0,226646,0,0.26666666666666666,27.766666666666666,72.26666666666667,96.0
35,COLE OF SEATTLE WA LLC,3,301128,37,6872117,0,24932,0,0.10000000000000002,22.633333333333336,63.26666666666667,
36,PORT OF SEATTLE,3,377687,651,75604526,0,4698679,0,3.5,193.29999999999998,521.1333333333333,61.0
37,STEELE DESMOND,3,167592,240,2834406,0,4246026,0,1.6333333333333335,49.53333333333333,87.83333333333333,67.5
38,NICOLA NORTHGATE LP,3,203581,74,14057676,0,0,0,0.3666666666666667,73.89999999999999,206.9666666666667,35.333333333333336
39,HARSCH INVESTMENT PROPERTIES LLC,3,112000,339,2584663,0,6122219,0,2.866666666666667,74.46666666666667,119.86666666666667,20.666666666666668
40,GREENWOOD ASSOC LLC,3,183869,24,4684612,0,0,0,0.13333333333333333,26.266666666666666,73.53333333333333,82.66666666666667
41,GATEWAY KING LLC,3,609767,126,23634243,0,13779,0,0.20000000000000004,38.833333333333336,108.8,78.0
42,AMFP V AMESBURY LLC,3,122016,14,2760170,0,0,0,0.10000000000000002,31.0,86.76666666666667,89.66666666666667
43,DREAM LEGACY PRU SPE LLC,3,171169,191,5144508,0,3087745,0,1.1,45.800000000000004,98.39999999999999,92.33333333333333
44,GRIFFIN & GRIFFIN PTR,3,73128,9,1842916,0,0,0,0.10000000000000002,25.233333333333334,70.56666666666666,80.66666666666667
45,LITHIA REAL ESTATE INC,2,95988,79,3802836,0,1119297,0,0.85,22.65,53.3,71.0
46,MILLENIUM TOWER LLC,2,156460,1250,6829881,3699885,17085485,0,10.3,224.55,317.2,
47,PONTE GADEA SEATTLE LLC,2,401081,362,13775288,0,5439150,0,0.9,47.900000000000006,110.4,85.5
48,DEKA IMMOBILIEN INVESTMENT GMBH +DEKA-IMMOBILIENGLOBAL,2,609382,491,23865712,0,6859310,0,0.85,46.599999999999994,112.19999999999999,75.0
49,1200 HOWELL STREET LLC,2,298903,196,11076195,0,2585341,0,0.8,49.95,114.1,86.0
50,WASHINGTON ST PUBLIC STADIUM ATHRTY,2,1919658,824,46811367,0,10829543,0,0.5,28.65,67.75,
51,UNIVERSITY OF HAWAII FOUNDATION,2,385048,1619,44400189,0,26048330,0,4.9,207.05,437.3,
52,PUGET SOUND ENERGY INC,2,106185,79,1355589,37412,1300199,0,0.55,35.3,68.6,67.0
53,HUDSON MERRILL PLACE L L C,2,410086,102,10710435,0,854123,0,0.25,30.45,81.4,89.5
54,SC SEATTLE RE LLC,2,81508,70,2233048,0,1100196,0,0.8500000000000001,34.4,72.9,
55,CENTERPOINT PROPERTIES TRUST,2,192554,65,1739145,0,1060775,0,0.65,28.3,59.0,75.0
56,LMV 1702 BALLARD HOLDINGS LP,2,292478,89,2639858,0,1416262,0,0.3,25.5,55.8,98.0
57,SHORELINE CITY OF,2,87483,65,1473563,0,1082423,0,0.85,32.3,66.35,84.5
58,WESTERN OFFICE GC PROPERTY OWNER LLC,2,131965,27,2205081,0,300543,0,0.2,22.0,57.15,94.0
59,HAYRE PROPERTIES LLC,2,51221,9,1681702,0,0,0,0.2,29.55,82.6,80.0
60,BLUME EASTLAKE LTD PTRSHP,2,82234,31,5914423,0,0,0,0.4,71.95,201.35000000000002,37.5
61,FNR 4XXX LLC,2,49772,12,2332744,0,0,0,0.2,43.35,121.3,49.5
62,CENTRAL PUGET SOUND REGIONAL TRANSIT,2,64937,431,6851519,0,7438407,0,6.800000000000001,234.70000000000002,452.4,37.0
63,RH ROOSEVELT RIDGE LIMITED LIABILITY COMPANY,2,59010,10,1973630,0,0,0,0.2,32.75,91.69999999999999,69.0
64,US WEST COMMUNICATIONS INC,2,364887,464,11640940,4697160,236288,0,0.95,39.7,95.7,
65,7901 DELRIDGE WAY OWNER WA LP,2,227172,48,8708404,0,35828,0,0.25,37.35,104.4,28.5
66,AMERICAN FAMILY LLC,2,101881,60,486355,0,1091063,0,0.75,38.3,60.9,
67,3030 LAKE CITY LLC A DELAWARE LLC,2,100310,18,2698077,0,84967,0,0.15000000000000002,33.5,91.75,59.0
68,BASCOM MANDARIN SEATTLE LLC,2,71592,17,3365513,0,0,0,0.25,31.9,89.4,62.5
69,HOUSING RESOURCES GROUP,2,251806,85,6862307,0,924553,0,0.5,38.05,89.85,79.0
70,1301 SECOND AVENUE LLC,2,70816,117,1493316,0,2067305,0,1.65,45.3,81.05000000000001,92.0
71,HUDSON FIRST & KING LLC,2,490418,139,25505894,0,78964,0,0.25,45.25,126.5,87.5
72,PPF AMLI 1260 REPUBLICAN STREET LLC,2,121739,105,3080148,0,1675298,0,0.8500000000000001,42.05,90.85,99.0
73,DLLC,2,73640,10,1891977,0,0,0,0.2,29.25,81.95,71.0
74,BLOCK IN BALLARD LLC,2,133190,294,8452616,0,4702434,0,2.2,100.85,219.5,
75,CAPITOL HILL HOUSING IMPROVEMENT,2,44358,19,1210715,0,236209,0,0.44999999999999996,32.55,82.0,88.0
76,RFA MASIN BLOCK LLC,2,91684,37,3400815,0,361022,0,0.44999999999999996,43.95,114.8,64.5
77,RUSSELL PARK L L C,2,66024,8,1548601,0,0,0,0.1,23.6,66.05,90.0
78,BUILDINGS B & C AT 1141 NW 50TH ST L L C,2,72618,97,1910994,0,1652350,0,1.35,47.05,91.75,8.0
79,ORIGINAL RAINIER OWNER LLC,2,187156,69,2310960,0,1082835,0,0.3,19.0,44.9,56.0
80,ESSEX PORTFOLIO L P,2,158392,148,10754223,0,1718908,0,0.95,81.44999999999999,210.25,52.5
81,MFP INVESTMENTS LLC,2,44215,7,1417806,0,0,0,0.2,32.15,90.0,78.5
82,BRE BMR 8TH LLC,2,68168,67,1567892,0,1104401,0,1.15,42.3,85.4,95.0
83,FREMONT DOCK CO ATTN: SUZANNE M BURKE,2,57262,57,1743335,0,899801,0,0.9500000000000001,45.8,99.80000000000001,51.0
84,7747 AVIATION LLC,2,77075,115,1970859,0,1970151,0,1.2,49.849999999999994,106.35,56.5
85,SPIRE GEORGETOWN CENTER LP,2,130371,176,3578069,0,2963631,0,1.3,49.0,98.75,81.0
86,FREMONT LAKE UNION CENTER LLC,2,306430,71,12213858,0,118039,0,0.2,39.1,108.9,95.0
87,PARK VIEW WATERSIDE LLC,2,237646,112,16604423,0,453291,0,0.55,86.2,238.25,11.0
88,LIMANTZAKIS PROPERTIES NO 1 L L C,2,71960,109,3263875,0,1741625,0,1.5,73.55,161.89999999999998,62.0
89,ESSEX VELO RAY LP,2,208509,203,4786523,0,3345696,0,0.9500000000000001,39.25,81.7,99.0
90,UNIVERSITY CENTER LLC,2,119492,60,8811882,0,255355,0,0.55,118.35,327.7,36.0
91,FREMONT PUBLIC ASSOCIATION,2,49644,57,2557620,0,824347,0,1.1,58.75,136.0,43.0
92,SALMON BAY WATERWAY INVESTMENTS LLC,2,143355,112,2397769,0,1873728,0,1.0,26.45,49.35,84.0
93,PROLOGIS-EXCHANGE 4201 6TH AVENUE SOUTH LLC,2,400270,136,6817608,0,1893004,0,0.30000000000000004,25.75,66.9,70.0
94,TROLL AVENUE LLC,2,157172,94,7202899,0,1060765,0,0.8,48.7,117.65,
95,PARAGON INDUSTRIES II INC,2,76350,54,866380,0,937826,0,0.8,26.65,50.349999999999994,65.5
96,CLPF-SEATTLE DISTRIBUTION CENTER L P,2,175512,127,1830519,0,2220236,0,0.8,25.5,47.95,76.5
97,WATERMARK APARTMENTS LLC,2,75460,11,2130897,0,0,0,0.15000000000000002,28.799999999999997,80.6,84.0
98,M & S INVESTMENTS LLC,2,76180,136,1059279,0,2470872,0,1.75,45.6,72.35,80.0
99,OAKTREE PLAZA ASSOCIATES,2,78547,144,5411476,0,2172814,0,1.65,91.2,213.15,73.0
100,SDC CREATIV LLC,2,425108,86,15576227,0,70561,0,0.2,34.7,96.65,86.0
101,FFHS HOUSING PARTNERS LP,2,240192,567,5501227,0,10140024,0,1.75,55.199999999999996,101.1,67.0
102,BELROY HOMES LLC,2,117144,83,2094114,0,1368666,0,1.05,40.25,81.05000000000001,87.0
103,EQR-LANE LLC,2,173658,22,4261666,0,0,0,0.1,21.4,59.9,91.0
104,STACK HOUSE HOLDCO LLC,2,321505,83,8112176,0,759154,0,0.3,37.45,101.5,84.5
105,GMT ELLIOTT PORTFOLIO LLC,2,97416,81,1486619,0,1390104,0,0.95,30.6,57.45,84.5
106,SREH 2018 MANAGEMENT LLC,2,349411,129,16747055,0,768375,0,0.3,45.95,125.5,72.5
107,MULLALLY & SON INVESTORS LLC,2,106359,13,2495161,0,0,0,0.1,23.5,65.9,82.0
108,JPPF HPC L P,2,344372,168,21506423,0,1025493,0,0.5,65.35,178.0,67.0
109,MAGOON ENTERPRISES LLC,2,68651,17,3286518,0,0,0,0.30000000000000004,49.349999999999994,138.2,53.0
110,246 NICKERSON LLC,2,65329,33,3804114,0,240451,0,0.55,62.550000000000004,166.8,33.0
111,MGP 42 LLC,2,161350,165,4246459,0,2696811,0,1.0,41.900000000000006,89.8,91.0
112,CORNISH COLLEGE OF THE ARTS,2,148193,264,4628184,0,4507560,0,1.05,71.7,137.8,
113,SP/BIT BALLARD ON THE PARK L L C,2,367673,260,11866867,0,3721128,0,0.8999999999999999,80.95,205.8,80.5
114,LEILANI ON GREENWOOD APARTMENTS LLC,2,248172,149,4903748,0,2313953,0,0.39999999999999997,28.65,72.45,82.0
115,KR WESTLAKE TERRY LLC,2,329341,156,10065734,0,1946992,0,0.5,38.650000000000006,96.15,95.5
116,FIRST & UTAH PROPERTIES LLC,2,1858249,727,65745023,0,7110006,0,0.75,45.2,107.65,85.5
117,1000-1100 DEXTER AVENUE INC,2,234236,37,7059599,0,0,0,0.2,30.15,84.4,96.5
118,BRE BMR 6TH LLC,2,100736,158,5245086,0,2453114,0,1.35,59.25,127.35,71.0
119,CHAINQUI DEVELOPMENT VIRGINIA LLC,2,69236,186,1133693,2056573,182150,0,2.55,46.95,82.7,74.5
120,ASAR LLC,2,80494,82,2264323,0,1330722,0,0.9500000000000001,57.5,134.3,66.5
121,SEATTLE PORT OF,2,118560,34,6471758,0,0,0,0.3,48.75,136.65,79.0
122,BITTER LAKE VILLAGE ASSOCIATES,2,356181,324,8919497,0,5218486,0,1.0,38.25,81.4,94.0
123,SEA-MAR COMMUNITY HEALTH CENTER,2,148540,121,4583059,0,1825984,0,1.1,48.15,105.44999999999999,85.0
124,NP & EASTERN LLLP,2,68735,78,729240,0,1403599,0,1.15,59.8,98.7,
125,SEATTLES UNION GOSPEL MISSION,2,144586,122,3144648,0,1982869,0,0.8,40.6,92.44999999999999,13.0
126,SEATTLE UNIVERSITY DISTRICT LP,2,51472,29,1312225,0,425574,0,0.6,33.7,80.05,88.5
127,SWEDISH HEALTH SERVICES,2,429564,357,28207246,2397563,155709,0,1.25,68.3,173.65,70.0
128,LAKEVIEW UNION BAY PARTNERS LLC,2,74683,53,1499721,0,862746,0,0.75,32.1,69.75,100.0
129,U S WEST COMMUNICATIONS,2,52616,135,842757,0,2457474,0,2.6,63.8,96.45,32.5
130,S-QOZB LLC,2,164887,257,8889988,0,3957371,0,2.3,71.85,149.95,19.0
131,700 OLIVE LP  % CLISE PROPERTIES,2,632856,353,29973799,0,3646167,0,0.95,66.3,166.75,86.0
132,CRE HH PARTNERS LLC,2,45576,115,409551,0,2124151,0,2.5,55.599999999999994,74.1,64.0
133,1405 FIFTH & UNION ASSOCIATES LLC,2,69804,31,926065,0,503587,0,0.35,29.0,63.4,91.0
134,REGENCY MERIDIAN L L C,2,161798,201,8943518,0,2888163,0,1.2000000000000002,75.94999999999999,182.95,
135,TBBK LLC,2,61009,32,1675540,0,442601,0,0.5,23.65,58.900000000000006,91.5
136,UNION SQUARE LIMITED LIABILITY COMPANY,2,1973704,561,63570026,1477120,1899978,0,0.25,33.0,89.9,96.5
137,SEATTLE ACADEMY OF ARTS & SCIENCES,2,188322,263,4007081,0,4562349,0,1.6,52.2,96.2,55.0
138,PIERS 55 & 56 INC,2,89143,169,5146159,0,2676359,0,2.0999999999999996,86.4,182.55,62.0
139,NET SEATTLE LLC,2,142806,308,2349993,3150350,646088,0,1.8,41.9,78.4,82.5
140,GRE DOWNTOWNER LLC,2,243877,379,6951736,0,6443950,0,1.4500000000000002,44.7,91.80000000000001,84.0
141,SEATTLE CHILDREN'S HOSPITAL,2,344654,96,9682870,0,838540,0,0.30000000000000004,30.15,76.6,90.0
142,JSP ARTERRA LLC  ET AL,2,186605,264,7034813,0,4277780,0,1.05,44.45,99.19999999999999,98.0
143,HELIX ELLIPSE APARTMENTS LLC,2,102679,19,3607948,0,0,0,0.2,28.5,79.75,93.0
144,EDGEWATER HOLDINGS LLC,2,58578,8,1545471,0,0,0,0.1,26.55,74.25,82.0
145,KR 6TH AVE LLC,2,87542,258,3056745,2911979,0,0,2.5,72.15,154.5,41.0
146,C150-II 4106 12TH AVE NE LLC,2,85298,45,1788045,0,686549,0,0.5,29.0,67.2,100.0
147,EXCHANGE FACILITATOR CORP,2,118263,21,4005991,0,0,0,0.25,44.9,125.75,58.5
148,SEDONA APARTMENTS LLC,2,109298,61,2830149,0,881458,0,1.05,39.2,80.35,100.0
149,GREENWOOD PLACE L L C,2,205901,189,4870201,0,3072750,0,0.8,42.3,94.0,94.0
150,SPRINGBROOK BUILDING LLC,2,49998,21,3992393,0,0,0,0.4,78.5,219.8,31.0
151,BCAL MET PARK PROPERTY LLC,2,727824,214,35049846,0,523774,0,0.3,45.400000000000006,125.9,85.0
152,SWEDISH HOSPITAL MEDICAL CENTE,2,1659904,11941,133113224,125030832,16108152,0,5.6,143.25,274.85,40.5
153,4300 ROOSEVELT COMMONS OWNER WA LLC,2,228732,46,8757089,0,0,0,0.2,36.6,102.4,85.5
154,RAINIER NORTHWEST-UNIVERSITY LLC,2,102631,114,2070943,0,1944955,0,1.05,38.45,76.45,84.0
155,QUALITY FOOD CENTERS INC,2,103649,310,8966698,0,4951619,0,2.1,74.2,162.25,89.0
156,SAFEWAY INC,2,87955,242,7067523,0,3863773,0,3.3,146.85000000000002,324.25,69.5
157,MAGNOLIA VISTA-MANOR LLC,2,54386,6,1116384,0,0,0,0.1,20.6,57.7,92.0
158,MAGNOLIA APT INVESTMENTS LLC,2,113756,11,2240324,0,0,0,0.1,19.75,55.35,87.5
159,NIKFARD BIJAN+NIKFARD GEORGE+,1,25920,10,683975,0,134156,0,0.4,21.0,52.9,97.0
160,PRISA MARKET PLACE TOWER WA LLC % PREI LAW DEPT,1,236995,140,11431097,0,1509220,0,0.6,52.4,136.1,
161,2200 WESTERN AVENUE LLC,1,66900,33,1523117,0,482591,0,0.5,29.5,70.1,98.0
162,QUALMAN BUILDING LLC,1,25248,85,195158,0,1580764,0,3.4,70.3,87.4,51.0
163,SREH 2018 HOLDINGS LLC,1,71392,11,2221360,0,0,0,0.2,27.7,77.6,91.0
164,PELOTON PROPERTES LLC,1,38148,6,1137270,0,0,0,0.2,31.3,87.7,
165,SUNRISE INVESTMENT COMPANY L L C,1,28800,26,781023,0,419587,0,0.9,43.2,94.5,34.0
166,PARAMOUNT APARTMENTS LLC,1,28380,9,596496,0,114484,0,0.3,25.1,63.1,98.0
167,12TH & PIKE ASSOCIATES L L C,1,20640,1,235262,0,0,0,0.1,11.0,30.8,
168,TRIANON LLC,1,49800,11,2141425,0,0,0,0.2,43.0,120.4,48.0
169,BELLTOWN 2607 LLC,1,20565,2,466601,0,0,0,0.1,22.7,63.5,89.0
170,900 VIRGINIA STREET LLC,1,28800,5,518682,0,51410,0,0.2,19.8,52.3,
171,2701 FIRST AVENUE L L C,1,48505,101,1651476,0,1747009,0,2.1,55.8,106.1,82.0
172,CLISE INC & HAMMER CO LLP,1,169020,255,5207166,2355511,614318,0,1.5,46.7,103.2,87.0
173,ARE-3000/3018 WESTERN L L C,1,49249,1103,9121590,0,19854281,0,22.4,606.8,971.5,
174,TOUCHSTONE WEST 8TH BUILDING LLC,1,33600,48,2679203,0,647925,0,1.4,99.0,243.5,
175,HOWELL STREET ASSOCIATES LLC,1,29492,3,609131,0,0,0,0.1,20.7,57.8,97.0
176,TIMBERLAKE LLC,1,31020,96,505635,0,1760865,0,3.1,73.1,105.2,
177,4-N ASSOCIATES L L C,1,24000,5,628930,0,33820,0,0.2,27.6,74.9,
178,GREAT LAKE INVESTMENT CORPORATION,1,26270,29,935161,0,467821,0,1.1,53.4,118.4,9.0
179,GREENUS BUILDING INC,1,24476,23,880784,0,346418,0,0.9,51.4,118.4,
180,MADISON CROSSING LLC,1,38409,85,1620955,0,1452837,0,2.2,81.1,160.1,96.0
181,BELL FIRST L L C,1,22710,4,833920,0,0,0,0.2,36.7,102.8,
182,BIT BCAL BLANCHARD PROPERTY LLC,1,261722,232,11728549,0,3194336,0,0.9,55.2,133.9,78.0
183,HISTORIC SEATTLE PRESERVATION & DEVELOPMENT COMPANY,1,25864,48,305489,0,889889,0,1.9,54.9,82.2,
184,FIRST & LENORA MIX USE L L C,1,26400,13,448907,0,205167,0,0.5,30.2,68.1,86.0
185,CREIGHTON JANET M+JULIE A+ET AL,1,21600,41,417504,0,739493,0,1.9,53.6,90.1,36.0
186,YESLER PLACE LLC,1,22852,2,541380,0,0,0,0.1,23.7,66.3,
187,2020 FIFTH HOLDINGS LLC,1,47029,453,85314262,0,0,0,9.6,1421.9,3981.3,
188,TE GKI BOYLSTON LLC,1,21723,3,689018,0,0,0,0.2,24.6,68.8,94.0
189,BELLTOWN ON FIRST LIMITED PARTNERSHIP,1,20920,64,160465,0,1189618,0,3.1,64.5,81.2,18.0
190,PIKE BUILDING LLC,1,34914,108,897765,0,1957999,0,3.1,90.8,145.3,
191,SEMKKANN LLC,1,23562,0,0,0,0,0,,,,
192,BANCROFT INVESTORS 2009 LLC,1,24783,44,194478,0,815787,0,1.8,40.8,56.5,92.0
193,CONCEPT ONE APARTMENTS LLC,1,46951,107,1935039,0,1835581,0,2.3,59.0,115.0,57.0
194,BOREN DEVELOPMENT LLC,1,33192,4,923976,0,0,0,0.1,27.8,77.9,73.0
195,TRIAD PIER 70 L L C,1,76893,134,6202583,0,1913038,0,1.8,105.5,252.0,29.0
196,TESHOME FAMILY LLC,1,20931,54,263602,0,991868,0,2.6,60.0,85.0,55.0
197,CRE WINSTON LLC,1,23469,47,256984,0,867943,0,2.0,47.9,69.5,60.0
198,CHRISTIAN SUSAN,1,21000,44,286631,0,811642,0,2.1,37.1,55.9,
199,ASHFORD SEATTLE WATERFRONT L P,1,215473,463,8614474,0,7870545,0,2.2,64.8,127.4,84.0
200,LAURELTON LLC,1,22553,3,711702,0,0,0,0.2,31.6,88.4,69.0
201,IMMUNEX CORPORATION,1,64812,165,31189430,0,0,0,2.6,481.2,1347.4,
202,BUILDERS HARDWARESUPPLY CO,1,47554,17,724376,0,255997,0,0.4,31.5,73.8,
203,HILLCREST ASSOCIATED LTD PTSHP,1,27504,54,258422,0,996486,0,2.0,45.6,64.4,79.0
204,STRONG VENTURE LLC,1,46970,2,486178,0,0,0,0.1,10.4,29.0,
205,ROXBOROUGH INVESTORS LLC,1,37566,21,507082,0,357033,0,0.6,22.7,47.1,100.0
206,RKM EAGLE COURT LLC,1,24882,18,548618,0,285790,0,0.7,33.5,73.8,89.0
207,CREST APARTMENTS ASSOCIATES LLC,1,34165,6,1247552,0,0,0,0.2,36.5,102.2,82.0
208,312 E OLIVE PL LLC,1,20928,40,321764,0,722399,0,1.9,49.9,79.3,65.0
209,KELLER FAMILY PROPERTIES LLC,1,39497,32,1338933,0,479758,0,0.8,46.0,107.7,16.0
210,C K INTERNATIONAL CORP,1,32100,5,73698,0,95029,0,0.2,5.3,9.5,
211,MINI-MAX LLC,1,30989,0,0,0,0,0,,,,
212,AMD ROOSEVELT L L C,1,29513,152,367497,0,2829449,0,5.2,108.3,135.5,20.0
213,BELLEVUE PLACE LLC,1,23150,6,489678,0,81327,0,0.3,31.5,80.5,92.0
214,GROSS TED AND ANTONIA PROPERTIES LLC,1,25842,223,4391479,0,3767896,0,8.6,314.0,625.4,48.0
215,DS INTERBAY URBAN CENTER LP,1,64659,291,6635552,0,4818027,0,4.5,189.9,391.9,
216,DIAMOND PARKING INC,1,34024,14,578536,0,223241,0,0.4,21.6,49.9,99.0
217,RANDOLPH PARTNERS LLC,1,25729,12,560180,0,186375,0,0.5,29.0,68.6,99.0
218,2301 THIRD AVE L P,1,57800,64,1041743,0,1114063,0,1.1,37.3,70.7,94.0
219,WASHINGTON IRVING 2012 LLC,1,30920,26,803828,0,424349,0,0.9,39.7,87.2,72.0
220,PIONEER HUMAN SERVICES,1,22082,8,761236,0,90629,0,0.4,39.7,103.6,54.0
221,UCP 2401 ELLIOTT LLC,1,133177,85,15996527,0,0,0,0.6,111.0,310.7,69.0
222,SHING-YEEN SHEEN ONE L L C,1,37485,21,609060,0,334250,0,0.6,25.2,54.9,98.0
223,VIRGINIA STREET REIT LLC,1,52800,33,785500,0,554768,0,0.6,25.4,52.7,96.0
224,LPF WTC EAST LLC,1,189629,54,10222860,0,0,0,0.3,53.0,148.5,77.0
225,FIFTH & WALL L L C,1,144118,38,4958786,0,230119,0,0.3,34.9,95.1,91.0
226,2601 ELLIOTT OWNER LLC,1,350310,74,13079677,0,99308,0,0.2,38.8,108.1,84.0
227,HUDSON 5TH + BELL LLC,1,203880,50,9489345,0,0,0,0.2,47.1,131.8,84.0
228,ABBOTSFORD 151 LLC,1,43128,32,975511,0,508073,0,0.7,34.4,75.7,
229,STAR APTS L.L.C,1,24046,72,614269,0,1300199,0,3.0,79.6,128.3,13.0
230,510 BROADWAY PARTNERS LLC,1,26000,0,0,0,0,0,,,,
231,CLISE PROPERTIES INC,1,48220,42,1475505,0,659957,0,0.9,44.3,100.0,84.0
232,EQR-RIANNA I LLC,1,149771,65,5390039,0,696438,0,0.4,40.6,105.7,46.0
233,KILROY REALTY L P,1,529375,102,19281055,0,0,0,0.2,33.1,92.6,94.0
234,HELEN V APTS LLC,1,24316,40,817239,0,689235,0,1.7,62.0,123.9,30.0
235,ARPEG HOLDINGS 1956 LLC,1,22059,67,302133,0,1237483,0,3.1,69.8,97.3,71.0
236,STEVENS NEIGHBORHOOD HOUSING,1,35000,4,909853,0,0,0,0.1,26.0,72.8,75.0
237,88 VINE LLC,1,23000,30,296095,0,548824,0,1.3,36.7,61.1,
238,PACIFIC NORTHWEST BELL TELEPHO,1,155500,74,14085664,0,0,0,0.5,96.0,268.9,
239,PALLADIAN HOTEL LLC,1,61721,21,1804935,0,215999,0,0.3,36.4,95.2,95.0
240,BRISTOL APARTMENTS LLC,1,22308,3,587647,0,0,0,0.1,26.3,73.8,70.0
241,BCAL 3005 PROPERTY LLC,1,69810,81,6112543,0,927068,0,1.2,88.6,227.6,
242,HCP 600 BROADWAY MOB LLC,1,130262,93,10851521,0,680472,0,0.7,78.9,212.8,66.0
