,SearchTerm,BusinessName,UBINumber,BusinessId,Address,address_match,ubi_match,id_match,IsMatch
40,TARGET CORPORATION,ACTION TARGET INC.,603 126 062,482951,"3411 S MOUNTAIN VISTA PKWY, PROVO, UT, 84606, UNITED STATES",False,False,False,
41,TARGET CORPORATION,ADVANCED MOLECULAR TARGETING SCIENCE INC.,604 947 445,1582805,,False,False,False,
42,TARGET CORPORATION,"AMERICAN PRECISION TARGET SYSTEMS, LLC",604 340 826,1240792,"7517 NE 64TH CIR, VANCOUVER, WA, 98662-4201, UNITED STATES",False,False,False,
43,TARGET CORPORATION,"AUTOMATED ZAP TARGET, INC",604 133 343,563228,"872 E BROADWAY ST, GOLDENDALE, WA, 98620, UNITED STATES",False,False,False,
44,TARGET CORPORATION,BILLY'S GOATS TARGETED GRAZING SERVICES LLC,604 490 249,1299225,"7690 ROAD G NW, EPHRATA, WA, 98823, UNITED STATES",False,False,False,
45,TARGET CORPORATION,"BLUE STEEL TARGETS, LLC",603 594 227,593616,"6059 GUIDE MERIDIAN, BELLINGHAM, WA, 98226, UNITED STATES",False,False,False,
46,TARGET CORPORATION,BOB SHAULS MEMORIAL YOUTH CLAY TARGET SPORTS,604 200 196,1170013,"498 ALADDIN RD, COLVILLE, WA, 99114-9135, UNITED STATES",False,False,False,
47,TARGET CORPORATION,CANCER TARGETED TECHNOLOGY LLC,602 946 199,89544,"14241 NE WOODINVILLE DUVALL RD STE 143, WOODINVILLE, WA, 98072, UNITED STATES",False,False,False,
48,TARGET CORPORATION,CASCADE TARGET GROUP LLC,604 187 831,97745,"3308 43RD AVE NE, SEATTLE, WA, 98105, UNITED STATES",False,False,False,
49,TARGET CORPORATION,"CLEARPOINT FINANCIAL TARGET, LP",602 568 836,101912,"720 OLIVE WY STE 1700, SEATTLE, WA, 98101, UNITED STATES",False,False,False,
50,TARGET CORPORATION,CRYSTAL TARGET INVESTMENT LTD.,602 521 934,91634,"8F #2 ALLEY 12 LANE 20 SEC 1, JHONGSHUN ST WUNSHAN DISTRICT TAIPEI CITY TAIWAN, ROC, FO, 00000, UNITED STATES",False,False,False,
51,TARGET CORPORATION,DIRECT ACTION REACTIVE TARGETS LLC,604 163 251,664613,"20607 7TH AVE CT E, SPANAWAY, WA, 98387, UNITED STATES",False,False,False,
52,TARGET CORPORATION,DMC TARGET LLC,603 396 336,658986,"18217 121ST STREET SE, SNOHOMISH, WA, 98290, UNITED STATES",False,False,False,
53,TARGET CORPORATION,"EXACTTARGET, LLC",602 419 613,696378,"ONE MARKET ST #300, SAN FRANCISCO, CA, 94105",False,False,False,
54,TARGET CORPORATION,FAST TARGET LLC,604 168 788,688206,"58 EAST 1ST N, REXBURG, ID, 83440, UNITED STATES",False,False,False,
55,TARGET CORPORATION,HARD TARGET LIVING LLC,604 315 210,1221496,"10810 GLEN ACRES DR S, T19, SEATTLE, WA, 98168, UNITED STATES",False,False,False,
56,TARGET CORPORATION,"HIGH CALIBER TARGETS, LLC",604 286 075,1212649,"430 CASEY RD, CASTLE ROCK, WA, 98611-9651, UNITED STATES",False,False,False,
57,TARGET CORPORATION,"HOPKINS TARGETED SOLUTIONS, LLC",603 484 671,1121105,"2822 NW 90TH PLACE, SEATTLE, WA, 98117, UNITED STATES",False,False,False,
58,TARGET CORPORATION,"IDEAL TARGET PROPERTIES, LLC",604 182 869,750546,"13506 SUMMITVIEW EXT, YAKIMA, WA, 98908-8048, UNITED STATES",False,False,False,
59,TARGET CORPORATION,"IMMUNETARGET, INC.",604 664 636,1397937,"8477 RIDGE RD, MEDINA, WA, 98039-5311, UNITED STATES",False,False,False,
60,TARGET CORPORATION,"JC STEEL TARGETS, INC.",603 218 463,1124312,"1921 1ST ST # 110, CHENEY, WA, 99004, UNITED STATES",False,False,False,
61,TARGET CORPORATION,"MALIGNEXT TARGETING TECHNOLOGIES, INC.",603 015 718,316375,"1101 NE 65TH ST, VANCOUVER, WA, 98665-0219, UNITED STATES",False,False,False,
62,AEW SBCO SEATTLE LLC,"AEW SBCO SEATTLE PARENT, LLC",602 621 214,18981,"2711 CENTERVILLE RD 400, WILMINGTON, DE, 19808, UNITED STATES",False,False,False,
63,AEW SBCO SEATTLE LLC,"AEW SBCO SEATTLE, LLC",602 619 710,474224,"9100 E PANORAMA DR #300, ENGLEWOOD, CO, 80112, UNITED STATES",False,False,False,
64,FIRST HILL/EIGHTH AVENUE LLC,FIRST HILL/EIGHTH AVENUE PROPCO LLC,604 585 023,1343160,"250 VESEY ST FL 15, BROOKFIELD PLACE, NEW YORK, NY, 10281-1065, UNITED STATES",False,False,False,
65,KLINE GALLAND CENTER,KLINE GALLAND CENTER FOUNDATION,601 951 730,265291,"7500 SEWARD PARK AVE S, SEATTLE, WA, 98118-4247, UNITED STATES",True,False,False,
66,KLINE GALLAND CENTER,POLACK FAMILY SUPPORTING FOUNDATION OF THE KLINE GALLAND  CENTER,601 815 068,384090,"7500 SEWARD PARK AVE S, SEATTLE, WA, 98118-4247, UNITED STATES",True,False,False,
67,KLINE GALLAND CENTER,THE KLINE GALLAND CENTER,601 591 913,1050656,"7500 SEWARD PARK AVE S, SEATTLE, WA, 98118-4247, UNITED STATES",True,False,False,
68,1921 27 FIFTH AVENUE HOLDINGS LLC,"1921-27 FIFTH AVENUE HOLDINGS, LLC",604 468 245,1287279,"7 PENN PLAZA, NEW YORK, NY, 10001, UNITED STATES",False,False,False,
69,VIRGINIA MASON MEDICAL CENTER,VIRGINIA MASON MEDICAL CENTER,178 015 092,518368,"1100 9TH AVE, SEATTLE, WA, 98101-2756, UNITED STATES",False,False,False,
70,MDB LANDMARK LLC,"MDB LANDMARK, LLC",604 488 379,1299187,"621 SW ALDER ST STE 800, PORTLAND, OR, 97205-3623, UNITED STATES",False,False,False,
71,WASHINGTON STATE CONVENTION CENTER,WASHINGTON STATE CONVENTION CENTER,601 074 722,1075657,"800 CONVENTION PLACE, 5TH FLOOR, SEATTLE, WA, 98101, UNITED STATES",False,False,False,
72,WASHINGTON STATE CONVENTION CENTER,THE WASHINGTON STATE CONVENTION & TRADE CENTER ART FOUNDATION,601 827 949,496755,"705 PIKE ST, SEATTLE, WA, 98101-2310, UNITED STATES",False,False,False,
73,1918 EIGHTH LLC,"1918 EIGHTH AVENUE ACQUISITION, LLC",603 134 606,62801,"270 PARK AVE FL 7, NEW YORK, NY, 10017-7924, UNITED STATES",False,False,False,
74,1918 EIGHTH LLC,1918 EIGHTH AVENUE HOLDCO LLC,604 372 656,1249230,"383 MADISON AVE, NEW YORK, NY, 10017-3217, UNITED STATES",False,False,False,
75,1918 EIGHTH LLC,"1918 EIGHTH, LLC",602 735 324,3286,"225 108TH AVE NE #400, BELLEVUE, WA, 98004, UNITED STATES",False,False,False,
76,1918 EIGHTH LLC,"HUDSON 1918 EIGHTH AVENUE, LLC",604 678 268,1409166,"11601 WILSHIRE BLVD., 9TH FLOOR, LOS ANGELES, CA, 90025, UNITED STATES",False,False,False,
77,601 PINE STREET INVESTMENT GROUP INC,"601 PINE STREET INVESTMENT GROUP, INC.",602 454 789,82731,"5910 N CENTRAL EXPRESSWAY, SUITE 1200, DALLAS, TX, 75206, UNITED STATES",False,False,False,
78,WALLYSONS INC,WALLYSONS INC.,601 338 627,1053391,"711 CAPITOL WAY S STE 204, OLYMPIA, WA, 98501, UNITED STATES",False,False,False,
79,FANA DOYLE LLC,FANA DOYLE LLC,603 228 327,173583,"10655 NE 4TH ST STE 700, BELLEVUE, WA, 98004-5039, UNITED STATES",False,False,False,
80,4TH AVENUE BLDG LLC,4TH AVENUE BLDG LLC,604 065 660,95496,"11221 PACIFIC HWY SW, LAKEWOOD, WA, 98499-5170, UNITED STATES",False,False,False,
81,4TH AVENUE BLDG LLC,4TH AVENUE BLDG LLC,602 253 701,95495,,False,False,False,
82,BPP 1420 FIFTH AVE OWNER LLC,BPP 1420 FIFTH AVENUE OWNER LLC,604 467 324,1286910,"233 S WACKER DR STE 4700, CHICAGO, IL, 60606-6374, UNITED STATES",False,False,False,
83,LOGAN BUILDING LLC,LOGAN BUILDING LLC,603 259 948,838793,"1215 4TH AVENUE, SUITE 600, SEATTLE, WA, 98161, UNITED STATES",False,False,False,
84,LOGAN BUILDING LLC,LOGAN'S HAMMER BUILDING AND RENOVATION INC.,602 177 638,794853,,False,False,False,
85,LCF DECATUR LLC,LCF DECATUR LLC,602 604 949,293211,"3100 80TH AVE NE, HUNTS POINT, WA, 98004-1012, UNITED STATES",False,False,False,
86,520 PIKE STREET INC,"520 PIKE STREET, INC.",602 347 340,10523,"45 ROCKEFELLER PLZ FL 7, NEW YORK, NY, 10111-0100, UNITED STATES",False,False,False,
87,LBA REALTY LLC,LBA REALTY LLC,602 610 453,788372,"3347 MICHELSON DR STE 200, IRVINE, CA, 92612-0687, UNITED STATES",True,False,False,
88,LBA REALTY LLC,APRIL BACHMAN REALTY LLC,604 991 922,1609953,"9519 169TH AVE NE, REDMOND, WA, 98052-3118, UNITED STATES",False,False,False,
89,LBA REALTY LLC,"CHERYL BAUMGARTNER REALTY, LTD, P.C.",603 079 785,101337,"329 N KELLOGG, KENNEWICK, WA, 99336, UNITED STATES",False,False,False,
90,LBA REALTY LLC,"GILBANE REALTY, LLC",603 382 580,228617,"1813 SW 119TH ST, BURIEN, WA, 98146, UNITED STATES",False,False,False,
91,LBA REALTY LLC,LBA REALTY FUND II - WBP II LLC,602 606 285,811295,"3347 MICHELSON DR STE 200, IRVINE, CA, 92612-0687, UNITED STATES",True,False,False,
92,LBA REALTY LLC,LBA REALTY FUND II - WBP III LLC,602 606 390,284005,"17901 VON KARMAN AVE STE 950, IRVINE, CA, 92614, UNITED STATES",False,False,False,
93,LBA REALTY LLC,"LBA REALTY FUND II - WBP IV, LLC",603 570 983,829221,"3347 MICHELSON DR #200, IRVINE, CA, 92612, UNITED STATES",True,False,False,
94,LBA REALTY LLC,"LBA REALTY FUND II - WBP XV, LLC",603 570 839,1128634,"3347 MICHELSON DR #200, IRVINE, CA, 92612, UNITED STATES",True,False,False,
95,LBA REALTY LLC,"LBA REALTY FUND II-COMPANY I, LLC",602 534 601,788371,"3347 MICHELSON DR STE 200, IRVINE, CA, 92612-0687, UNITED STATES",True,False,False,
96,LBA REALTY LLC,"LBA REALTY FUND II-COMPANY II, LLC",603 238 370,1128635,,True,False,False,
97,LBA REALTY LLC,"LBA REALTY FUND II-COMPANY III, LLC",602 558 075,189923,"3347 MICHELSON DR, STE 200, IRVINE, CA, 92612-0687, UNITED STATES",False,False,False,
98,LBA REALTY LLC,"LBA REALTY FUND II-COMPANY IV, LLC",602 606 395,284006,"3347 MICHELSON DR STE 200, IRVINE, CA, 92612-0687, UNITED STATES",True,False,False,
99,LBA REALTY LLC,"LBA REALTY FUND II-COMPANY X, LLC",603 273 215,300488,"3347 MICHELSON DR STE 200, IRVINE, CA, 92612-0687, UNITED STATES",True,False,False,
100,LBA REALTY LLC,"LBA REALTY FUND II-COMPANY XII, LLC",603 358 798,788383,"3347 MICHELSON DR #200, IRVINE, CA, 92612, UNITED STATES",True,False,False,
101,LBA REALTY LLC,"LBA REALTY FUND III-COMPANY II, LLC",603 164 659,189924,"3347 MICHELSON DR STE 200, IRVINE, CA, 92612-0687, UNITED STATES",True,False,False,
102,LBA REALTY LLC,"LBA REALTY FUND III-COMPANY IV-H, LLC",602 771 571,811296,,True,False,False,
103,LBA REALTY LLC,"LBA REALTY FUND III-COMPANY IX, LLC",602 810 544,300489,"3347 MICHELSON DR STE 200, IRVINE, CA, 92612-0687, UNITED STATES",True,False,False,
104,LBA REALTY LLC,"LBA REALTY FUND III-COMPANY V, LLC",602 863 347,292221,,True,False,False,
105,LBA REALTY LLC,"LBA REALTY FUND III-COMPANY VI, LLC",602 792 426,300490,"3347 MICHELSON DR STE 200, IRVINE, CA, 92612-0687, UNITED STATES",True,False,False,
106,LBA REALTY LLC,"LBA REALTY FUND III-COMPANY VII, LLC",602 771 578,284007,"3347 MICHELSON DR STE 200, IRVINE, CA, 92612-0687, UNITED STATES",True,False,False,
107,LBA REALTY LLC,"LBA REALTY FUND III-COMPANY XII, LLC",604 277 575,1201835,"3347 MICHELSON DR STE 200, IRVINE, CA, 92612-0687, UNITED STATES",True,False,False,
108,LBA REALTY LLC,"LBA REALTY FUND III-COMPANY XIII, LLC",603 530 068,284008,"3347 MICHELSON DR STE 200, IRVINE, CA, 92612, UNITED STATES",False,False,False,
109,JGB LLC,JGB LLC,602 743 791,793478,"1425 4TH AVE # 420, SEATTLE, WA, 98101, UNITED STATES",False,False,False,
110,JGB LLC,"AJGB INTERNATIONAL, INC.",602 075 201,490385,"111 162ND AVE SE, BELLEVUE, WA, 98008-4629, UNITED STATES",False,False,False,
111,JGB LLC,J G BUILDERS LLC,603 582 170,243386,"1433 BOON ST, SUMAS, WA, 98295, UNITED STATES",False,False,False,
112,JGB LLC,J&G BROTHER & SAN VILLEGAS PAINTING LLC,604 886 571,1546974,"5004 18TH AVE SE, LACEY, WA, 98503-2759, UNITED STATES",False,False,False,
113,JGB LLC,"J.G. BURIEN, L.L.C.",601 881 690,237531,,True,False,False,
114,JGB LLC,JG BRADEN LLC,603 157 528,172747,"17722 SE 17TH WAY, VANCOUVER, WA, 98683, UNITED STATES",False,False,False,
115,JGB LLC,"JG BUILDING & CONSTRUCTION, LLC",604 985 275,1608840,"2 FROST RD, TWISP, WA, 98856-9789, UNITED STATES",False,False,False,
116,JGB LLC,JGB BAJWA INVESTMENT LLC,603 529 113,768193,"2205 COOPER POINT RD SW, OLYMPIA, WA, 98502-1052, UNITED STATES",False,False,False,
117,JGB LLC,JGB CONTRACTING LLC,604 873 354,1538844,"41911 S MORROW RD, ROSALIA, WA, 99170-9743, UNITED STATES",False,False,False,
118,JGB LLC,"JGB DISTRIBUTING, INC.",603 254 073,769446,"7948 MAYFIELD ROAD, CHESTERLAND, OH, 44026",False,False,False,
119,JGB LLC,"JGB ENTERPRISES, L.L.C.",604 994 028,1611845,"119 N COMMERCIAL ST STE 1200, BELLINGHAM, WA, 98225-4450, UNITED STATES",False,False,False,
120,JGB LLC,JGB GENERAL CONTRACTOR LLC,605 093 125,1640985,"18618 NE 10TH AVE, RIDGEFIELD, WA, 98642-5515, UNITED STATES",False,False,False,
121,JGB LLC,JGB HOLDINGS INC.,603 274 958,772172,"555 S. RENTON VILLAGE PLACE, SUITE 570, RENTON, WA, 98057, UNITED STATES",False,False,False,
122,JGB LLC,"JGB INVESTMENT, LLC",604 016 096,253008,"9146 52ND LN NE, OLYMPIA, WA, 98516-9242, UNITED STATES",False,False,False,
123,JGB LLC,JGB SERVICE CORPORATION,601 118 020,1124641,"600 UNIVERSITY ST STE 3600, SEATTLE, WA, 98101-4109, UNITED STATES",False,False,False,
124,JGB LLC,"JGB SUN FACTORIES, LLC",602 487 593,266310,,True,False,False,
125,JGB LLC,JGBG LLC,602 647 525,266311,"31653 PACIFIC HWY S #A, FEDERAL WAY, WA, 98003, UNITED STATES",False,False,False,
126,JGB LLC,JGBGLJ FRANK LLC,604 323 405,1226231,"8051 AVALON PL, MERCER ISLAND, WA, 98040-5649, UNITED STATES",False,False,False,
127,JGB LLC,JGBGP LLC,602 781 570,769447,"501 N STADIUM WAY STE 100, TACOMA, WA, 98403-3217, UNITED STATES",False,False,False,
128,JGB LLC,JGBOW LLC,602 841 054,1124642,"70 BUCK WAY, COUPEVILLE, WA, 98239, UNITED STATES",False,False,False,
129,JGB LLC,JGBP LLC,605 013 355,1625553,"3420 SOUTH BAY RD NE, OLYMPIA, WA, 98506-2958, UNITED STATES",False,False,False,
130,JGB LLC,TJG BELL LLLP,604 726 537,1438002,"3000 BENNETT DR, BELLINGHAM, WA, 98225-1440, UNITED STATES",False,False,False,
131,GO-BRICKMAN MIKEN OWNER LLC,GO-BRICKMAN MIKEN OWNER LLC,604 336 381,1232340,"C/O BRICKMAN, ONCE GREENWICH OFFICE PARK, BUILDING 1N, SUITE 175, GREENWICH, CT, 06831, UNITED STATES",False,False,False,
132,BRICKMAN VANCE OWNER LLC,BRICKMAN VANCE OWNER LLC,604 189 238,574381,"399 PARK AVE, 18TH FLOOR, NEW YORK, NY, 10022, UNITED STATES",False,False,False,
133,ONNI 1411 FOURTH DEVELOPMENT LP,ONNI 1411 FOURTH DEVELOPMENT LIMITED PARTNERSHIP DBA ONNI 1411 FOURTH DEVELOPMENT BUILDING LIMITED PARTNERSHIP,603 588 138,859353,"5055 N 32ND ST STE 200, PHOENIX, AZ, 85018-1401, UNITED STATES",True,False,False,
134,ONNI 1411 FOURTH DEVELOPMENT LP,"ONNI 1411 FOURTH DEVELOPMENT, INC.",603 587 072,859354,"5055 N 32ND ST STE 200, PHOENIX, AZ, 85018-1401, UNITED STATES",True,False,False,
135,PIKE STREET INVESTORS LLC,PIKE STREET INVESTORS LLC,602 325 768,376733,"10 STATE HOUSE SQ FL 15, HARTFORD, CT, 06103-3600, UNITED STATES",False,False,False,
136,MSI POLL LLC,MSI POLL LLC,604 337 852,1234917,"316 OCCIDENTAL AVE S STE 300, SEATTLE, WA, 98104-4421, UNITED STATES",False,False,False,
137,URG PARK PLACE LLC,URG PARK PLACE LLC,604 527 666,1315026,"1425 4TH AVE STE 500, SEATTLE, WA, 98101-2264, UNITED STATES",False,False,False,
138,101 STEWART STREET LLC,"101 STEWART STREET, LLC",604 518 215,1311743,"222 SOUTH RIVERSIDE PLAZA, 34TH FLOOR, CHICAGO, IL, 60606, UNITED STATES",False,False,False,
139,WESTERN OFFICE PORTFOLIO PROPERTY OWNER LLC,WESTERN OFFICE PORTFOLIO PROPERTY OWNER LLC,604 370 949,1250815,"1215 4TH AVE STE 600, SEATTLE, WA, 98161-1084, UNITED STATES",False,False,False,
140,TILT49 OFFICE DEVELOPERS LLC,TILT49 OFFICE DEVELOPERS LLC,603 497 884,509627,"1425 4TH AVE STE 200, SEATTLE, WA, 98101-2274, UNITED STATES",False,False,False,
141,PPF OFF 720 OLIVE WAY LLC,"PPF OFF 720 OLIVE WAY, LLC",604 288 094,1207280,"3280 PEACHTREE ROAD, NE, 20TH FLOOR, ATLANTA, GA, 30305, UNITED STATES",False,False,False,
142,1415 WESTERN LLC,1415 WESTERN LLC,603 397 806,762885,"4616 25TH AVE NE, #773, SEATTLE, WA, 98105-4183, UNITED STATES",False,False,False,
143,DP BUNKER HILL LLC,"DP BUNKER HILL, LLC",603 545 500,155339,"818 W 7TH ST STE 410, LOS ANGELES, CA, 90017-3463, UNITED STATES",False,False,False,
144,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,"EXPEDITORS INTERNATIONAL OF WASHINGTON, INC.",600 335 063,158813,"1015 THIRD AVE, SEATTLE, WA, 98104, UNITED STATES",False,False,False,
145,VIRGINIA STREET JOINT VENTURE LLC,VIRGINIA STREET JOINT VENTURE LLC,604 063 765,1082783,"2107 ELLIOTT AVE STE 303, SEATTLE, WA, 98121-2159, UNITED STATES",False,False,False,
146,800 STEWART LLC,"800 STEWART, LLC",603 258 757,10888,"800 STEWART ST, SEATTLE, WA, 98101-1306, UNITED STATES",False,False,False,
147,ARZCO 1 INVESTMENT CORP,ARZCO 1 INVESTMENT CORP.,604 309 137,1219684,"8TH FLOOR GARHOUD VIEWS BUILDING, DEIRA, DUBAI, 00000, UNITED ARAB EMIRATES",False,False,False,
148,4&U COMMERCIAL LLC,4&U COMMERCIAL LLC,604 924 093,1570750,"1505 5TH AVE STE 600, SEATTLE, WA, 98101-1678, UNITED STATES",False,False,False,
149,4&U COMMERCIAL LLC,34TH AND UNION MADRONA COMMERCIAL LLC,603 431 113,4323,"121 LAKESIDE AVE STE B, SEATTLE, WA, 98122-6599, UNITED STATES",False,False,False,
150,4&U COMMERCIAL LLC,"48 HOUR COMMERCIAL SANITATION SPECIALISTS, LLC",604 862 721,1528621,"9407 NE VANCOUVER MALL DR STE 104, VANCOUVER, WA, 98662-6191, UNITED STATES",False,False,False,
151,MLK FAMILY ARTS MENTORING ENRICHMENT COMMUNITY CENTER,MLK FAMILY ARTS MENTORING ENRICHMENT COMMUNITY CENTER,603 080 377,849324,"3201 EAST REPUBLICAN ST, SEATTLE, WA, 98112, UNITED STATES",False,False,False,
152,CAPITOL HILL TOD LLC,CAPITOL HILL TOD LLC,603 437 035,85490,"520 S KING ST, SEATTLE, WA, 98104-2834, UNITED STATES",False,False,False,
153,SRGMF III EASTLAKE AVENUE SEATTLE LLC,"SRGMF III EASTLAKE AVENUE SEATTLE, LLC",604 525 257,1322762,"3501 JAMBOREE ROAD SUITE 3000, NEWPORT BEACH, CA, 92660, UNITED STATES",False,False,False,
154,MSI - 1ST & KING LLC,MSI - 1ST & KING LLC,602 739 680,880019,"316 OCCIDENTAL AVE S, STE 300, SEATTLE, WA, 98104-4421, UNITED STATES",False,False,False,
