Owner,BuildingsOwned,TotalGHGE,TotalGHGE_metric_tons,AverageEnergyStarScore,TotalNaturalGas_kBtu,TotalElectricity_kBtu,TotalSteamUse_kBtu
HARSCH INVESTMENT PROPERTIES II LLC,5,329.8,329.8,57.666666666666664,5730301,4781484,0
SEATTLE PACIFIC UNIVERSITY,5,2150.0,2150.0,94.0,38279666,21990177,0
WASHINGTON STATE-DEPT OF TRANSPORTATION,5,706.4,706.4,64.33333333333333,11705502,15911125,0
TRIPLE B VENTURES LLC,4,276.1,276.1,10.0,967794,42248688,0
SPEAR INVESTMENTS LLC,4,113.10000000000001,113.10000000000001,53.5,1751971,3768051,0
MEPT WESTWOOD VILLAGE LLC,4,441.90000000000003,441.90000000000003,73.5,7827362,4920455,0
ESSEX PORTFOLIO LP,4,208.0,208.0,82.25,2513385,14010217,0
PLYMOUTH HOUSING GROUP,4,430.4,430.4,36.5,7494557,6108216,0
MERIDIAN ASSOCIATES APARTMENTS L L C,4,26.9,26.9,78.75,0,5064937,0
DOWNTOWN EMERGENCY SERVICE CENTER,4,362.4,362.4,37.25,4568802,5388017,1098704
ABSAROKA HOLDINGS LLC,4,19.6,19.6,100.0,0,3672230,0
PORT OF SEATTLE,3,651.6,651.6,61.0,4698679,75604526,0
STEELE DESMOND,3,240.60000000000002,240.60000000000002,67.5,4246026,2834406,0
GREENWOOD ASSOC LLC,3,24.9,24.9,82.66666666666667,0,4684612,0
DREAM LEGACY PRU SPE LLC,3,191.39999999999998,191.39999999999998,92.33333333333333,3087745,5144508,0
HARSCH INVESTMENT PROPERTIES LLC,3,339.0,339.0,20.666666666666668,6122219,2584663,0
GEORGETOWN VENTURE LLC,3,11.2,11.2,61.0,0,2120649,0
ABADAN HOLDINGS LLC,3,21.5,21.5,96.0,226646,1762648,0
MT BAKER VILLAGE LLLP,3,6.8,6.8,95.5,0,1265765,0
SOUND,3,143.9,143.9,83.0,2484375,2243907,0
COLE OF SEATTLE WA LLC,3,37.8,37.8,,24932,6872117,0
COH CARE,3,298.9,298.9,44.5,4631314,9947244,0
MULLALLY FAMILY LLC,3,51.4,51.4,79.33333333333333,0,9664138,0
KING-COUNTY GOVT,3,2035.5,2035.5,95.5,34293917,40268168,0
SAND POINT COMMUNITY HOUSING ASSOC,3,17.0,17.0,55.333333333333336,0,3217534,0
AMFP V AMESBURY LLC,3,14.6,14.6,89.66666666666667,0,2760170,0
GATEWAY KING LLC,3,126.4,126.4,78.0,13779,23634243,0
NICOLA NORTHGATE LP,3,74.7,74.7,35.333333333333336,0,14057676,0
GRIFFIN & GRIFFIN PTR,3,9.8,9.8,80.66666666666667,0,1842916,0
FFHS HOUSING PARTNERS LP,2,567.8,567.8,67.0,10140024,5501227,0
4300 ROOSEVELT COMMONS OWNER WA LLC,2,46.6,46.6,85.5,0,8757089,0
KR WESTLAKE TERRY LLC,2,156.9,156.9,95.5,1946992,10065734,0
FIRST & UTAH PROPERTIES LLC,2,727.1999999999999,727.1999999999999,85.5,7110006,65745023,0
1000-1100 DEXTER AVENUE INC,2,37.5,37.5,96.5,0,7059599,0
BRE BMR 6TH LLC,2,158.20000000000002,158.20000000000002,71.0,2453114,5245086,0
BITTER LAKE VILLAGE ASSOCIATES,2,324.6,324.6,94.0,5218486,8919497,0
LEILANI ON GREENWOOD APARTMENTS LLC,2,149.0,149.0,82.0,2313953,4903748,0
LITHIA REAL ESTATE INC,2,79.7,79.7,71.0,1119297,3802836,0
246 NICKERSON LLC,2,33.0,33.0,33.0,240451,3804114,0
1301 SECOND AVENUE LLC,2,117.7,117.7,92.0,2067305,1493316,0
FREMONT DOCK CO ATTN: SUZANNE M BURKE,2,57.0,57.0,51.0,899801,1743335,0
MFP INVESTMENTS LLC,2,7.6,7.6,78.5,0,1417806,0
FREMONT LAKE UNION CENTER LLC,2,71.2,71.2,95.0,118039,12213858,0
HOUSING RESOURCES GROUP,2,85.6,85.6,79.0,924553,6862307,0
PARK VIEW WATERSIDE LLC,2,112.4,112.4,11.0,453291,16604423,0
SEATTLE CITY OF SEATRAN R/W,2,57.9,57.9,,939738,1499216,0
SEATTLE UNIVERSITY DISTRICT LP,2,29.599999999999998,29.599999999999998,88.5,425574,1312225,0
FREMONT PUBLIC ASSOCIATION,2,57.400000000000006,57.400000000000006,43.0,824347,2557620,0
THE CITY OF SEATTLE,2,107.0,107.0,,1676787,3374848,0
MAGOON ENTERPRISES LLC,2,17.5,17.5,53.0,0,3286518,0
BASCOM MANDARIN SEATTLE LLC,2,17.9,17.9,62.5,0,3365513,0
JPPF HPC L P,2,168.8,168.8,67.0,1025493,21506423,0
SC SEATTLE RE LLC,2,70.3,70.3,,1100196,2233048,0
PPF AMLI 1260 REPUBLICAN STREET LLC,2,105.30000000000001,105.30000000000001,99.0,1675298,3080148,0
US WEST COMMUNICATIONS INC,2,464.40000000000003,464.40000000000003,,236288,11640940,4697160
BLUME EASTLAKE LTD PTRSHP,2,31.4,31.4,37.5,0,5914423,0
UNIVERSITY CENTER LLC,2,60.4,60.4,36.0,255355,8811882,0
LAKEVIEW UNION BAY PARTNERS LLC,2,53.8,53.8,100.0,862746,1499721,0
FNR 4XXX LLC,2,12.4,12.4,49.5,0,2332744,0
UNIVERSITY OF HAWAII FOUNDATION,2,1619.5,1619.5,,26048330,44400189,0
DEKA IMMOBILIEN INVESTMENT GMBH +DEKA-IMMOBILIENGLOBAL,2,491.2,491.2,75.0,6859310,23865712,0
SPRINGBROOK BUILDING LLC,2,21.2,21.2,31.0,0,3992393,0
PONTE GADEA SEATTLE LLC,2,362.1,362.1,85.5,5439150,13775288,0
BELROY HOMES LLC,2,83.8,83.8,87.0,1368666,2094114,0
EXCHANGE FACILITATOR CORP,2,21.3,21.3,58.5,0,4005991,0
HOUSING AUTHORITY OF CITY OF SEATTLE,2,246.7,246.7,52.0,4130445,5139501,0
SREH 2018 MANAGEMENT LLC,2,129.9,129.9,72.5,768375,16747055,0
STACK HOUSE HOLDCO LLC,2,83.5,83.5,84.5,759154,8112176,0
CAPITOL HILL HOUSING IMPROVEMENT,2,19.0,19.0,88.0,236209,1210715,0
RAINIER NORTHWEST-UNIVERSITY LLC,2,114.30000000000001,114.30000000000001,84.0,1944955,2070943,0
SEATTLES UNION GOSPEL MISSION,2,122.0,122.0,13.0,1982869,3144648,0
GMT ELLIOTT PORTFOLIO LLC,2,81.69999999999999,81.69999999999999,84.5,1390104,1486619,0
SWEDISH HOSPITAL MEDICAL CENTE,2,11941.9,11941.9,40.5,16108152,133113224,125030832
TROLL AVENUE LLC,2,94.69999999999999,94.69999999999999,,1060765,7202899,0
HUDSON FIRST & KING LLC,2,139.8,139.8,87.5,78964,25505894,0
CRE HH PARTNERS LLC,2,115.0,115.0,64.0,2124151,409551,0
QWEST CORP,2,266.4,266.4,53.0,4524909,4901061,0
RUSSELL PARK L L C,2,8.2,8.2,90.0,0,1548601,0
MULLALLY & SON INVESTORS LLC,2,13.3,13.3,82.0,0,2495161,0
HELIX ELLIPSE APARTMENTS LLC,2,19.2,19.2,93.0,0,3607948,0
C150-II 4106 12TH AVE NE LLC,2,45.9,45.9,100.0,686549,1788045,0
QUALITY FOOD CENTERS INC,2,310.7,310.7,89.0,4951619,8966698,0
HUDSON MERRILL PLACE L L C,2,102.3,102.3,89.5,854123,10710435,0
WESTERN OFFICE GC PROPERTY OWNER LLC,2,27.700000000000003,27.700000000000003,94.0,300543,2205081,0
BUILDINGS B & C AT 1141 NW 50TH ST L L C,2,97.9,97.9,8.0,1652350,1910994,0
RFA MASIN BLOCK LLC,2,37.3,37.3,64.5,361022,3400815,0
HAYRE PROPERTIES LLC,2,9.0,9.0,80.0,0,1681702,0
ORIGINAL RAINIER OWNER LLC,2,69.8,69.8,56.0,1082835,2310960,0
LMV 1702 BALLARD HOLDINGS LP,2,89.3,89.3,98.0,1416262,2639858,0
3030 LAKE CITY LLC A DELAWARE LLC,2,18.9,18.9,59.0,84967,2698077,0
BLOCK IN BALLARD LLC,2,294.7,294.7,,4702434,8452616,0
RH ROOSEVELT RIDGE LIMITED LIABILITY COMPANY,2,10.5,10.5,69.0,0,1973630,0
DLLC,2,10.100000000000001,10.100000000000001,71.0,0,1891977,0
AMERICAN FAMILY LLC,2,60.5,60.5,,1091063,486355,0
7901 DELRIDGE WAY OWNER WA LP,2,48.199999999999996,48.199999999999996,28.5,35828,8708404,0
SHORELINE CITY OF,2,65.3,65.3,84.5,1082423,1473563,0
WASHINGTON ST PUBLIC STADIUM ATHRTY,2,824.0,824.0,,10829543,46811367,0
NP & EASTERN LLLP,2,78.4,78.4,,1403599,729240,0
CENTERPOINT PROPERTIES TRUST,2,65.6,65.6,75.0,1060775,1739145,0
SP/BIT BALLARD ON THE PARK L L C,2,260.7,260.7,80.5,3721128,11866867,0
EQR-LANE LLC,2,22.6,22.6,91.0,0,4261666,0
CORNISH COLLEGE OF THE ARTS,2,264.0,264.0,,4507560,4628184,0
WASHINGTON STATE -DOT,2,758.0,758.0,70.0,13439343,8318504,0
PROLOGIS-EXCHANGE 4201 6TH AVENUE SOUTH LLC,2,136.8,136.8,70.0,1893004,6817608,0
SAFEWAY INC,2,242.8,242.8,69.5,3863773,7067523,0
GRE DOWNTOWNER LLC,2,379.2,379.2,84.0,6443950,6951736,0
M & S INVESTMENTS LLC,2,136.9,136.9,80.0,2470872,1059279,0
WATERMARK APARTMENTS LLC,2,11.3,11.3,84.0,0,2130897,0
SALMON BAY WATERWAY INVESTMENTS LLC,2,112.3,112.3,84.0,1873728,2397769,0
ESSEX VELO RAY LP,2,203.2,203.2,99.0,3345696,4786523,0
LIMANTZAKIS PROPERTIES NO 1 L L C,2,109.8,109.8,62.0,1741625,3263875,0
CLPF-SEATTLE DISTRIBUTION CENTER L P,2,127.6,127.6,76.5,2220236,1830519,0
PARAGON INDUSTRIES II INC,2,54.400000000000006,54.400000000000006,65.5,937826,866380,0
BRE BMR 8TH LLC,2,67.0,67.0,95.0,1104401,1567892,0
ESSEX PORTFOLIO L P,2,148.5,148.5,52.5,1718908,10754223,0
SPIRE GEORGETOWN CENTER LP,2,176.4,176.4,81.0,2963631,3578069,0
7747 AVIATION LLC,2,115.1,115.1,56.5,1970151,1970859,0
SWEDISH HEALTH SERVICES,2,357.3,357.3,70.0,155709,28207246,2397563
SEATTLE PORT OF,2,34.4,34.4,79.0,0,6471758,0
CENTRAL PUGET SOUND REGIONAL TRANSIT,2,431.4,431.4,37.0,7438407,6851519,0
SDC CREATIV LLC,2,86.6,86.6,86.0,70561,15576227,0
SEA-MAR COMMUNITY HEALTH CENTER,2,121.3,121.3,85.0,1825984,4583059,0
S-QOZB LLC,2,257.5,257.5,19.0,3957371,8889988,0
ASAR LLC,2,82.8,82.8,66.5,1330722,2264323,0
CHAINQUI DEVELOPMENT VIRGINIA LLC,2,186.4,186.4,74.5,182150,1133693,2056573
SEATTLE ACADEMY OF ARTS & SCIENCES,2,263.6,263.6,55.0,4562349,4007081,0
OAKTREE PLAZA ASSOCIATES,2,144.20000000000002,144.20000000000002,73.0,2172814,5411476,0
UNIVERSITY OF WASHINGTON,2,474.0,474.0,20.0,7070186,18519585,0
REGENCY MERIDIAN L L C,2,201.0,201.0,,2888163,8943518,0
GREENWOOD PLACE L L C,2,189.0,189.0,94.0,3072750,4870201,0
NET SEATTLE LLC,2,308.3,308.3,82.5,646088,2349993,3150350
KR 6TH AVE LLC,2,258.0,258.0,41.0,0,3056745,2911979
UNION SQUARE LIMITED LIABILITY COMPANY,2,561.6,561.6,96.5,1899978,63570026,1477120
1200 HOWELL STREET LLC,2,196.20000000000002,196.20000000000002,86.0,2585341,11076195,0
MGP 42 LLC,2,165.8,165.8,91.0,2696811,4246459,0
MILLENIUM TOWER LLC,2,1250.8,1250.8,,17085485,6829881,3699885
PUGET SOUND ENERGY INC,2,79.39999999999999,79.39999999999999,67.0,1300199,1355589,37412
SEDONA APARTMENTS LLC,2,61.9,61.9,100.0,881458,2830149,0
U S WEST COMMUNICATIONS,2,135.0,135.0,32.5,2457474,842757,0
MAGNOLIA VISTA-MANOR LLC,2,6.0,6.0,92.0,0,1116384,0
PIERS 55 & 56 INC,2,169.6,169.6,62.0,2676359,5146159,0
SEATTLE CHILDREN'S HOSPITAL,2,96.0,96.0,90.0,838540,9682870,0
700 OLIVE LP  % CLISE PROPERTIES,2,353.0,353.0,86.0,3646167,29973799,0
JSP ARTERRA LLC  ET AL,2,264.6,264.6,98.0,4277780,7034813,0
MAGNOLIA APT INVESTMENTS LLC,2,11.9,11.9,87.5,0,2240324,0
BCAL MET PARK PROPERTY LLC,2,214.2,214.2,85.0,523774,35049846,0
TBBK LLC,2,32.4,32.4,91.5,442601,1675540,0
1405 FIFTH & UNION ASSOCIATES LLC,2,31.7,31.7,91.0,503587,926065,0
EDGEWATER HOLDINGS LLC,2,8.2,8.2,82.0,0,1545471,0
BREMER APARTMENTS LLC,1,68.1,68.1,78.0,1230334,522922,0
NITORI YUKI,1,5.8,5.8,98.0,0,1085425,0
YOUNG WOMEN'S CHRISTIAN ASSOC,1,84.8,84.8,75.0,1539376,570125,0
OREGON APARTMENTS LLC,1,41.1,41.1,96.0,673532,1000179,0
VINE COURT APARTMENTS LLC,1,5.3,5.3,89.0,0,998525,0
DIMENSION SEATTLE INC,1,155.6,155.6,94.0,2378707,5506221,0
NEW PACIFIC LLC,1,57.5,57.5,,1004833,780730,0
SOB DEVELOPMENT LLC,1,5.0,5.0,23.0,0,936943,0
WA TOWER 12 APARTMENTS LLC,1,429.7,429.7,83.0,7156293,9331059,0
TREA CIRCA GREEN LAKE LLC,1,222.3,222.3,92.0,3677130,5080280,0
CASCADIA PARTNERS LLC,1,48.1,48.1,48.0,806531,993987,0
AVALON 210 WALL LLC,1,221.7,221.7,74.0,3400531,7726679,0
MCPHEE MADELYN+SHELTON MARILYN,1,31.2,31.2,93.0,374140,2128198,0
COLUMBIA WASHINGTON WALTON LOFTS RESIDENTIAL PROPERTIES LLC,1,71.4,71.4,83.0,1003398,3409029,0
ALADDIN LLC % DAVID+ANNE G HURLBUT,1,4.8,4.8,91.0,0,908821,0
HIVE APARTMENTS LLC,1,3.3,3.3,80.0,0,611405,0
WINDSOR ADVISERS 2030 EIGHTH AVENUE LLC,1,416.2,416.2,,6848157,9864996,0
CHAINQUI DEVELOPMENT BELLTOWN LLC,1,130.1,130.1,95.0,2193691,2551821,0
2202 EIGHTH AVENUE LLC,1,552.6,552.6,72.0,9077238,13259032,0
STONECLIFF ASSOCIATES LLC,1,3.8,3.8,72.0,0,716046,0
SEATTLE CITY OF ATTN DHHS DIRECTOR,1,27.0,27.0,93.0,468702,395932,0
AVALON BELLTOWN LLC,1,16.1,16.1,50.0,0,3021161,0
FIFTH AND BLANCHARD ASSOCIATES LLC,1,5.1,5.1,96.0,0,962175,0
2900 ON FIRST APARTMENTS LLC,1,21.2,21.2,96.0,10856,3881085,0
RAVENNA HOUSE 2015 LLC,1,3.5,3.5,86.0,0,658139,0
VERSAILLES APARTMENTS LLC THE,1,36.7,36.7,71.0,620010,700266,0
TELFORD HOLDINGS INC,1,2.7,2.7,84.0,0,501262,0
EQR-MODA I LLC+EQR-MODA II LLC,1,158.1,158.1,96.0,2579109,3963168,0
EQR CENTENNIAL COURT LLC,1,19.8,19.8,99.0,0,3717452,0
2721 FOURTH AVE LP,1,129.1,129.1,96.0,2254556,1760003,0
OTT DEVELOPMENT LLC,1,3.8,3.8,62.0,0,719295,0
GRAHAM TERRY APARTMENTS LLC,1,90.9,90.9,96.0,1587789,1234241,0
SOUTH SHORE ASSOCIATES LP,1,12.7,12.7,88.0,0,2396222,0
SUNSET APARTMENTS LIMITED PARTNERSHIP,1,43.5,43.5,41.0,608408,2110589,0
VALLEY VILLAGE MEDICAL CENTER LLC,1,21.3,21.3,96.0,359662,407884,0
JASPER 91 LLC,1,85.3,85.3,98.0,1446900,1592993,0
ELLIS COURT APARTMENTS LLC,1,5.9,5.9,96.0,0,1116901,0
BRE-FMCA LLC,1,36.8,36.8,94.0,332970,3589134,0
SEATTLE CITY OF-SEATRAN R/W,1,26.7,26.7,86.0,172753,3303012,0
CORNELIUS APARTMENTS LLC,1,23.7,23.7,45.0,94611,3503554,0
CRITICAL VENTURES HOUSING PS,1,31.8,31.8,99.0,552583,453261,0
ALWAYS COMPETE LLC,1,62.8,62.8,93.0,1169002,131432,0
SLT REALTY LTD PARTNERSHIP,1,22.2,22.2,81.0,355947,623461,0
CX3 DAVENPORT LLC,1,67.8,67.8,90.0,1239780,360467,0
NINTH AND LENORA LLC,1,576.4,576.4,85.0,9603562,12476193,0
CHARLESGATE L L C,1,55.9,55.9,99.0,1015353,370762,0
LANGER PROPERTIES LLC,1,3.3,3.3,88.0,0,613920,0
ALTO 92 OWNER LP,1,150.8,150.8,95.0,2487649,3509075,0
VERVE KS LLC +VERVE RAY LLC,1,25.6,25.6,,94291,3876571,0
ROOSTER APARTMENTS I LLC,1,38.1,38.1,92.0,608843,1083915,0
EQR-SQUARE ONE LLC,1,68.8,68.8,100.0,1175609,1195329,0
BELLTOWN ON FIRST LIMITED PARTNERSHIP,1,64.0,64.0,18.0,1189618,160465,0
FIRST & LENORA MIX USE L L C,1,13.3,13.3,86.0,205167,448907,0
NIKFARD BIJAN+NIKFARD GEORGE+,1,10.8,10.8,97.0,134156,683975,0
SEMKKANN LLC,1,0.0,0.0,,0,0,0
GREAT LAKE INVESTMENT CORPORATION,1,29.8,29.8,9.0,467821,935161,0
BELL FIRST L L C,1,4.4,4.4,,0,833920,0
CREIGHTON JANET M+JULIE A+ET AL,1,41.5,41.5,36.0,739493,417504,0
2020 FIFTH HOLDINGS LLC,1,453.7,453.7,,0,85314262,0
TOUCHSTONE WEST 8TH BUILDING LLC,1,48.7,48.7,,647925,2679203,0
TIMBERLAKE LLC,1,96.2,96.2,,1760865,505635,0
ARE-3000/3018 WESTERN L L C,1,1103.0,1103.0,,19854281,9121590,0
ROOSTER APARTMENTS LLC,1,145.1,145.1,95.0,2348300,3830939,0
SREH 2018 HOLDINGS LLC,1,11.8,11.8,91.0,0,2221360,0
PRISA MARKET PLACE TOWER WA LLC % PREI LAW DEPT,1,140.9,140.9,,1509220,11431097,0
2200 WESTERN AVENUE LLC,1,33.7,33.7,98.0,482591,1523117,0
PELOTON PROPERTES LLC,1,6.0,6.0,,0,1137270,0
MU 68TH & 8TH OWNER LLC,1,113.5,113.5,100.0,1777117,3597876,0
GREEN LAKE PHASE II LLC,1,65.2,65.2,78.0,944060,2834069,0
TRIANON LLC,1,11.4,11.4,48.0,0,2141425,0
SRMAHULBROOKLYN65 LLC,1,20.6,20.6,99.0,322232,661197,0
SUNRISE INVESTMENT COMPANY L L C,1,26.4,26.4,34.0,419587,781023,0
BELLTOWN 2607 LLC,1,2.5,2.5,89.0,0,466601,0
GREEN LAKE JOINT VENTURE LLC,1,259.6,259.6,,3741349,11456667,0
900 VIRGINIA STREET LLC,1,5.5,5.5,,51410,518682,0
EDMONDS SW LLC,1,3.5,3.5,,0,652675,0
BCAL 3005 PROPERTY LLC,1,81.7,81.7,,927068,6112543,0
RISE-CG JA LOFTS LIMITED PARTNERSHIP,1,75.1,75.1,,1086901,3259589,0
OSWEGO ARMS LLC,1,3.7,3.7,96.0,13150,564587,0
MARTIN APARTMENTS LLC,1,214.3,214.3,82.0,3499786,5348740,0
RIVENDELL LLC,1,2.4,2.4,,0,453765,0
FLT WINDHAM LLC,1,39.0,39.0,65.0,607165,1273197,0
3RD & CEDAR LLC,1,222.4,222.4,,3381139,8053483,0
SEATTLE TOWER I LLC,1,359.1,359.1,97.0,5790367,9702721,0
HUP MORNINGSIDE LLC,1,4.6,4.6,,0,873883,0
SPH TWO LLLP,1,69.5,69.5,31.0,1224354,834141,0
EQR CENTENNIAL TOWER LLC,1,417.3,417.3,48.0,7107464,7493370,0
EQR/LEGACY PARTNERS (1999) TOWERS,1,264.3,264.3,97.0,4066595,9085702,0
HB ECOLUXE PARTNERS LLC,1,20.8,20.8,91.0,331286,600839,0
7011 ROOSEVELT WAY NE LLC,1,25.8,25.8,99.0,434238,524047,0
SECURITY HOUSE LLLP,1,21.2,21.2,33.0,0,3984445,0
SBOB LLC,1,40.7,40.7,,522657,2435774,0
ELLIOTT COURT LLC,1,6.4,6.4,98.0,0,1206334,0
PPF OFF 2001 WESTERN AVENUE LLC,1,215.8,215.8,75.0,3463142,5994157,0
SRMAHULLUNA LLC,1,22.6,22.6,99.0,357810,668406,0
6700 ROOSEVELT APARTMENTS LLC,1,9.7,9.7,100.0,0,1831283,0
DALLY PROPERTIES LLC,1,45.8,45.8,84.0,740509,1217714,0
2001 SIXTH LLC,1,1455.5,1455.5,,315739,270558198,0
WRI 2200 WESTLAKE LP,1,566.7,566.7,78.0,8364218,23031972,0
FIFTH & WALL L L C,1,38.6,38.6,91.0,230119,4958786,0
2020 A&D LLC,1,3.0,3.0,83.0,0,569037,0
DUVAL LIMITED PARTNERSHIP,1,5.0,5.0,86.0,0,945110,0
SOMERSET GREEN TOWNHOUSES ASSOCIATES L L C,1,17.0,17.0,97.0,0,3191991,0
EDWARDS ON 5TH AVE LTD PARTNERSHIP,1,21.3,21.3,67.0,331578,685285,0
NORTH SEATTLE PROFESSIONAL CENTER LLC,1,4.5,4.5,75.0,0,852775,0
EQR-RIANNA I LLC,1,65.6,65.6,46.0,696438,5390039,0
510 BROADWAY PARTNERS LLC,1,0.0,0.0,,0,0,0
PIONEER HUMAN SERVICES,1,8.9,8.9,54.0,90629,761236,0
GROUP HEALTH COOPERATIVE PUGET,1,39.2,39.2,86.0,562100,1764062,0
STAR APTS L.L.C,1,72.3,72.3,13.0,1300199,614269,0
ABBOTSFORD 151 LLC,1,32.2,32.2,,508073,975511,0
SHING-YEEN SHEEN ONE L L C,1,21.0,21.0,98.0,334250,609060,0
BOREN DEVELOPMENT LLC,1,4.9,4.9,73.0,0,923976,0
UNIVERSITY PREPARATORY ACADEMY,1,44.3,44.3,32.0,767201,674908,0
BANCROFT INVESTORS 2009 LLC,1,44.4,44.4,92.0,815787,194478,0
PARAMOUNT APARTMENTS LLC,1,9.3,9.3,98.0,114484,596496,0
QUALMAN BUILDING LLC,1,85.0,85.0,51.0,1580764,195158,0
HOWELL STREET ASSOCIATES LLC,1,3.2,3.2,97.0,0,609131,0
TE GKI BOYLSTON LLC,1,3.7,3.7,94.0,0,689018,0
YESLER PLACE LLC,1,2.9,2.9,,0,541380,0
HISTORIC SEATTLE PRESERVATION & DEVELOPMENT COMPANY,1,48.9,48.9,,889889,305489,0
MADISON CROSSING LLC,1,85.8,85.8,96.0,1452837,1620955,0
4-N ASSOCIATES L L C,1,5.1,5.1,,33820,628930,0
GREENUS BUILDING INC,1,23.1,23.1,,346418,880784,0
PIKE BUILDING LLC,1,108.8,108.8,,1957999,897765,0
12TH & PIKE ASSOCIATES L L C,1,1.3,1.3,,0,235262,0
AUBOMBOLI ITALIANE REAL ESTATE INVESTMET,1,33.0,33.0,13.0,561531,600648,0
CASCADE PUBLIC MEDIA,1,20.1,20.1,,171590,2073125,0
ODDFELLOWS LLC,1,111.2,111.2,,2013102,807151,0
HELEN V APTS LLC,1,40.9,40.9,30.0,689235,817239,0
ARPEG HOLDINGS 1956 LLC,1,67.3,67.3,71.0,1237483,302133,0
STEVENS NEIGHBORHOOD HOUSING,1,4.8,4.8,75.0,0,909853,0
312 E OLIVE PL LLC,1,40.1,40.1,65.0,722399,321764,0
CAPITOL HILL HOUSING IMPROVEMENT PROGRAM,1,69.3,69.3,50.0,1278024,268065,0
8512 35TH AVENUE LLC,1,24.3,24.3,70.0,362216,944169,0
WILLOW CREEK PROPERTIES LLC,1,0.0,0.0,,0,0,0
WOLSKI DAVID,1,89.7,89.7,40.0,1665928,227960,0
IDA CULVER HOUSE RAVENNA LLC,1,126.3,126.3,,2160674,2170391,0
DIAMOND PARKING INC,1,14.9,14.9,99.0,223241,578536,0
BELLEVUE PLACE LLC,1,6.9,6.9,92.0,81327,489678,0
AMD ROOSEVELT L L C,1,152.2,152.2,20.0,2829449,367497,0
CSH MAPLE LEAF LLC,1,129.1,129.1,89.0,2202369,2283065,0
LUTHERAN RETIREMENT HOME OF GREATER SEATTLE,1,31.3,31.3,96.0,498672,910672,0
C K INTERNATIONAL CORP,1,5.4,5.4,,95029,73698,0
CREST APARTMENTS ASSOCIATES LLC,1,6.6,6.6,82.0,0,1247552,0
BRISTOL APARTMENTS LLC,1,3.1,3.1,70.0,0,587647,0
442 NE MAPLE PLACE LLC,1,0.0,0.0,,0,0,0
RKM EAGLE COURT LLC,1,18.1,18.1,89.0,285790,548618,0
ROXBOROUGH INVESTORS LLC,1,21.7,21.7,100.0,357033,507082,0
ASC RAVENNA LLC,1,12.8,12.8,93.0,0,2412109,0
HILLCREST ASSOCIATED LTD PTSHP,1,54.3,54.3,79.0,996486,258422,0
LAURELTON LLC,1,3.8,3.8,69.0,0,711702,0
CHRISTIAN SUSAN,1,44.6,44.6,,811642,286631,0
CRE WINSTON LLC,1,47.5,47.5,60.0,867943,256984,0
TESHOME FAMILY LLC,1,54.1,54.1,55.0,991868,263602,0
RANDOLPH PARTNERS LLC,1,12.9,12.9,99.0,186375,560180,0
WASHINGTON IRVING 2012 LLC,1,26.8,26.8,72.0,424349,803828,0
JAPANESE BAPTIST CHURCH SOCIET,1,10.2,10.2,58.0,179768,127637,0
700 BROADWAY MOB LLC,1,58.0,58.0,65.0,901753,1896671,0
KING COUNTY: DEPT OF EXECUTIVE SERVICES/REAL ESTATE SERIVCES-FACILITIES MANAGEMENT DIV,1,51.2,51.2,76.0,0,9632769,0
