SearchTerm,BusinessName,UBINumber,BusinessId,Address,Status,address_match,ubi_match,id_match,isMatch
SOB DEVELOPMENT LLC,"SOB DEVELOPMENT, LLC",602 030 549,1150616,"720 SENECA ST STE B, SEATTLE, WA, 98101-3265, UNITED STATES",Active,False,False,False,
HIVE APARTMENTS LLC,"HIVE APARTMENTS, LLC",604 812 162,1499581,"6717 ROOSEVELT WAY NE STE 103, SEATTLE, WA, 98115-6681, UNITED STATES",Active,False,False,False,
JASPER 91 LLC,"JASPER 91, LLC",603 294 260,769063,"2033 6TH AVE, SUITE 600, SEATTLE, WA, 98121-2591, UNITED STATES",Active,False,False,False,
OTT DEVELOPMENT LLC,OTT DEVELOPMENT L.L.C.,602 035 413,889743,"129 E LAKE SAMMAMISH SHORE LN NE, SAMMAMISH, WA, 98074-6923, UNITED STATES",Active,False,False,False,
RAVENNA HOUSE 2015 LLC,"RAVENNA HOUSE 2015, LLC",603 539 223,940668,"117 E LOUISA ST STE 185, SEATTLE, WA, 98102, UNITED STATES",Active,False,False,False,
CRYSTAL COURT APARTMENTS LLC,"CRYSTAL COURT APARTMENTS, LLC",603 048 306,633775,"1225 S. WELLER ST., STE 500, SEATTLE, WA, 98144, UNITED STATES",Active,False,False,False,
TRINITY LAKEVIEW COURT LLC,"TRINITY LAKEVIEW COURT, LLC",603 224 756,1037531,"2825 EASTLAKE AVE E STE 200, SEATTLE, WA, 98102-3085, UNITED STATES",Active,False,False,False,
NORTHGATE ATHLETIC CLUB LLC,"NORTHGATE ATHLETIC CLUB, LLC",602 565 715,351634,"333 NE 97TH ST, SEATTLE, WA, 98115, UNITED STATES",Active,False,False,False,
NORTH SEATTLE PROFESSIONAL CENTER LLC,"NORTH SEATTLE PROFESSIONAL CENTER, LLC",602 557 882,353237,"8451 SE 68TH ST STE 200, MERCER ISLAND, WA, 98040-5240, UNITED STATES",Active,False,False,False,
CSH MAPLE LEAF LLC,"CSH MAPLE LEAF, LLC",603 539 747,127970,"1275 PENNSYLVANIA AVE, NW, SECOND FLOOR, WASHINGTON, DC, 20004, UNITED STATES",Active,True,False,False,
IDA CULVER HOUSE RAVENNA LLC,"IDA CULVER HOUSE RAVENNA, LLC",604 835 196,1514946,"400 UNION ST, SEATTLE, WA, 98101-2502, UNITED STATES",Active,False,False,False,
WILLOW CREEK PROPERTIES LLC,"WILLOW CREEK PROPERTIES, LLC",601 926 344,531980,"9700 LAKE CITY WAY NE, SEATTLE, WA, 98115-2347, UNITED STATES",Active,False,False,False,
444 RAVENNA LLC,444 RAVENNA L.L.C.,601 988 680,8865,"511 BOREN AVE N STE 300, SEATTLE, WA, 98109-5505, UNITED STATES",Active,False,False,False,
NORTHGATE LODGING LLLP,"NORTHGATE LODGING, LLLP",603 237 547,1136764,"950 N 72ND ST STE 100, SEATTLE, WA, 98103, UNITED STATES",Active,False,False,False,
WC SEATTLE VI SPE LLC,"WC SEATTLE VI SPE, LLC",604 344 396,1237037,"2225 CAMPUS DR, EL SEGUNDO, CA, 90245-0001, UNITED STATES",Active,False,False,False,
MADISON GATE INVESTORS 2016 LLC,"MADISON GATE INVESTORS 2016, LLC",604 035 263,313657,"117 E  LOUISA ST STE 185, SEATTLE, WA, 98102, UNITED STATES",Active,False,False,False,
PARKSIDE LLC,PARKSIDE LIMITED LIABILITY COMPANY,601 842 424,371111,"2940 FAIRVIEW AVE E, SEATTLE, WA, 98102-3016, UNITED STATES",Active,False,False,False,
RUTH COURT APARTMENTS LLC,"RUTH COURT APARTMENTS, LLC",603 493 895,1146900,"20727 SE 24TH ST, SAMMAMISH, WA, 98075-9623, UNITED STATES",Active,False,False,False,
RM LITTLEFIELD LLC,"RM LITTLEFIELD, LLC",602 552 303,409804,"2940 FAIRVIEW AVE E, SEATTLE, WA, 98102, UNITED STATES",Administratively Dissolved,False,False,False,
ADELPHI LLC,"ADELPHI, LLC",602 174 021,474300,"1168 HARVARD AVE E STE 3, SEATTLE, WA, 98102-4397, UNITED STATES",Active,False,False,False,
NAUTICAL LANDING LLC,"NAUTICAL LANDING, LLC",602 769 109,863282,"2500 WESTLAKE AVE N STE E, SEATTLE, WA, 98109-2262, UNITED STATES",Active,False,False,False,
CITY INVESTORS XXIV LLC,CITY INVESTORS XXIV L.L.C.,602 661 600,619191,"505 5TH AVE S STE 900, SEATTLE, WA, 98104, UNITED STATES",Active,False,False,False,
IRP CHROMA APARTMENTS LLC,"IRP CHROMA APARTMENTS, LLC",604 468 824,1289386,"394 PACIFIC AVE FL 2, SAN FRANCISCO, CA, 94111-1715, UNITED STATES",Active,True,False,False,
RAR2 QUEEN ANNE - METRO MARKET QRS LLC,"RAR2 QUEEN ANNE - METRO MARKET QRS, LLC",603 126 960,925853,"222 SOUTH RIVERSIDE PLAZA, 34TH FLOOR, CHICAGO, IL, 60606, UNITED STATES",Active,False,False,False,
17910 BURBANK LLC,"17910 BURBANK, LLC",603 286 300,766007,"2801 ALASKAN WAY, C/O MN SERVICE CORPORATION (WA), SEATTLE, WA, 98121-1128, UNITED STATES",Active,False,False,False,
WPPI SEATTLE AC LLC,"WPPI SEATTLE AC, LLC",604 224 250,1183580,"9800 CONNECTICUT DRIVE, CROWN POINT, IN, 46307, UNITED STATES",Withdrawn,False,False,False,
SULMONETTI ZINN LLC,"SULMONETTI ZINN, LLC",601 723 514,1044405,"525 MINOR AVE N, SEATTLE, WA, 98109-5665, UNITED STATES",Active,False,False,False,
SHLP NEPTUNE LLC,"SHLP NEPTUNE, LLC",604 287 458,1207894,,,False,True,True,
PPF AMLI 535 PONTIUS AVENUE NORTH LLC,"PPF AMLI 535 PONTIUS AVENUE NORTH, LLC",602 677 351,405231,"141 W JACKSON BLVD, STE 300, CHICAGO, IL, 60604-3123, UNITED STATES",Active,False,False,False,
400 FAIRVIEW LLC,"400 FAIRVIEW, LLC",603 158 145,58731,"389 INTERPACE PKWY, 5TH FLOOR, PARSIPPANY, NJ, 07054-1132, UNITED STATES",Withdrawn,False,False,False,
EQR-ALCYONE APARTMENTS LLC,"EQR-ALCYONE APARTMENTS, LLC",603 449 360,151326,"TWO NORTH RIVERSIDE PLAZA, SUITE 400, CHICAGO, IL, 60606, UNITED STATES",Active,False,False,False,
SI XXI LLC,"SI XXI, LLC",602 991 216,979599,"599 CASTRO ST STE 400, MOUNTAIN VIEW, CA, 94041-3009, UNITED STATES",Active,False,False,False,
229 QUEEN ANNE NORTH LLC,"229 QUEEN ANNE NORTH, LLC",602 040 679,37149,"11029 TOTEM POLE LN, WOODWAY, WA, 98020-5237, UNITED STATES",Active,False,False,False,
GDCV LOWER QUEEN ANNE LLC,"GDCV LOWER QUEEN ANNE, LLC",603 549 618,225279,"465 MEETING STREET, STE.500, CHARLESTON, SC, 29403, UNITED STATES",Active,False,False,False,
CHAMPION SLU PROPERTY LLC,"CHAMPION SLU PROPERTY, LLC",604 372 940,1249568,"3201 WILSHIRE BLVD STE 102, SANTA MONICA, CA, 90403-2344, UNITED STATES",Active,False,False,False,
DELMONT APARTMENTS LLC,"DELMONT APARTMENTS, LLC",602 785 807,141496,"41206 SE REINIG RD, SNOQUALMIE, WA, 98065-9050, UNITED STATES",Active,False,False,False,
MGP 42 LLC,"MGP 42, LLC",603 043 679,820078,"4500 DORR ST, TOLEDO, OH, 43615, UNITED STATES",Active,False,False,False,
TB 800 SECOND AVENUE LLC,"TB 800 SECOND AVENUE, L.L.C.",602 776 753,462512,"511 BOREN AVE N STE 300, SEATTLE, WA, 98109-5505, UNITED STATES",Active,False,False,False,
AQUA TERRACE LLC,"AQUA TERRACE, LLC",602 605 112,544548,"100 BOSTON ST, SEATTLE, WA, 98109-2321, UNITED STATES",Active,True,False,False,
GILBERT SEATTLE GROUP LLC,"GILBERT SEATTLE GROUP, LLC",604 922 567,1565768,"113 CHERRY ST # 83202, SEATTLE, WA, 98104-2205, UNITED STATES",Active,False,False,False,
CROSSPOINTE INVESTMENTS LLC,"CROSSPOINTE INVESTMENTS, L.L.C.",602 360 737,126796,"10831 SE LAKE RD, BELLEVUE, WA, 98004, UNITED STATES",Active,False,False,False,
BROADWAY SILVER CLOUD INN LLC,BROADWAY SILVER CLOUD INN L.L.C.,601 918 968,589158,"103 118TH AVE SE, SUITE 300, BELLEVUE, WA, 98005-3753, UNITED STATES",Active,False,False,False,
KELLER FAMILY PROPERTIES LLC,"KELLER FAMILY PROPERTIES, LLC",601 991 252,273945,"3209 17TH AVE W, SEATTLE, WA, 98119-1708, UNITED STATES",Active,True,False,False,
SS INTERBAY LLC,"SS INTERBAY, LLC",604 081 558,284210,"4901 Vineland Road, Suite 350, ORLANDO, FL, 32811-7300, UNITED STATES",Active,False,False,False,
INTERBAY URBAN STORAGE LLC,"INTERBAY URBAN STORAGE, LLC",603 576 703,755907,"5030 KATELLA AVE STE 228, LOS ALAMITOS, CA, 90720-2819, UNITED STATES",Active,False,False,False,
A-1 SELF STORAGE LLC,"A-1 SELF STORAGE, LLC",602 181 161,1093078,"16482 SE 48TH PL, BELLEVUE, WA, 98006-5820, UNITED STATES",Active,False,False,False,
MAGNOLIA BRIDGE SELF STORAGE INVESTMENT LLC,"MAGNOLIA BRIDGE SELF STORAGE INVESTMENT, LLC",604 169 981,315324,"2105 MADISON ST, MADISON, WI, 53711-2131, UNITED STATES",Active,False,False,False,
ESSEX CANVAS LLC,"ESSEX CANVAS, LLC",604 839 379,1519908,"1100 PARK PL STE 200, SAN MATEO, CA, 94403-7107, UNITED STATES",Active,False,False,False,
LPF SLATE LLC,"LPF SLATE, LLC",603 279 259,821228,"333 W WACKER DR STE 2300, CHICAGO, IL, 60606-1266, UNITED STATES",Active,False,False,False,
H2O APARTMENTS LLC,"H2O APARTMENTS, LLC",602 967 741,724636,"14808 210TH AVE NE, WOODINVILLE, WA, 98077-7634, UNITED STATES",Active,False,False,False,
SKYLINE HOUSE APARTMENTS LLC,"SKYLINE HOUSE APARTMENTS, LLC",602 158 224,433208,"600 W OLYMPIC PL, SEATTLE, WA, 98119-3648, UNITED STATES",Active,False,False,False,
CTA I LLC,"CTA I, LLC",603 511 720,636039,"218 ROCKMONT DR, FORT MILL, SC, 29708",Terminated,False,False,False,
KAPLAN REAL ESTATE SERVICES LLC,"KAPLAN REAL ESTATE SERVICES, LLC",602 006 344,278506,"733 98TH AVE NE, 98TH AVE NE, BELLEVUE, WA, 98004-4916, UNITED STATES",Active,False,False,False,
FRANCONIA APARTMENTS LLC,"FRANCONIA APARTMENTS, LLC",602 867 174,171089,"900 UNIVERSITY ST, APT. 14-O, SEATTLE, WA, 98101-2580, UNITED STATES",Active,False,False,False,
LOLA APARTMENTS LLC,"LOLA APARTMENTS, LLC",604 557 104,1329543,"326 W MERCER ST, SEATTLE, WA, 98119-3959, UNITED STATES",Active,False,False,False,
LA CHARME ASSOCIATES LLC,"LA CHARME ASSOCIATES, LLC",602 906 907,803163,"9802 RAINIER AVE SOUTH, SEATTLE, WA, 98118, UNITED STATES",Active,False,False,False,
FOURTH WEST PROPERTIES LLC,FOURTH WEST PROPERTIES LIMITED LIABILITY COMPANY,601 772 037,699569,"601 UNION ST #2600, SEATTLE, WA, 98101, UNITED STATES",Active,True,False,False,
CARLYLE APARTMENTS SEATTLE LLC,"CARLYLE APARTMENTS SEATTLE, LLC",603 218 648,622087,"3595 NW 85TH TER, OCALA, FL, 34482-3885, UNITED STATES",Active,False,False,False,
LINEAGE WA POS RE 2 LLC,"LINEAGE WA POS RE 2, LLC",604 545 083,1393727,"46500 HUMBOLT DRIVE, NOVI, MI, 48377, UNITED STATES",Active,False,False,False,
SVAP III ELLIOT PLAZA LLC,"SVAP III ELLIOT PLAZA, LLC",604 369 616,1244286,"302 DATURA STREET, SUITE 100, WEST PALM BEACH, FL, 33401, UNITED STATES",Active,False,False,False,
CRUISE LLC,"CRUISE, LLC",603 479 745,130102,"1111 EXPEDIA GROUP WAY W, ATTN LEGAL, SEATTLE, WA, 98119-1111, UNITED STATES",Active,False,False,False,
HAYS ELLIOTT PROPERTIES LLC,HAYS ELLIOTT PROPERTIES L.L.C.,601 950 369,746600,"1436 ELLIOTT AVE W, SEATTLE, WA, 98119-3124, UNITED STATES",Active,False,False,False,
QA CANAL LLC,"QA CANAL, LLC",604 668 335,1398852,"115 DORFFEL DR E, SEATTLE, WA, 98112-5001, UNITED STATES",Active,False,False,False,
BAYVIEW BUILDING ASSOCIATES LLC,"BAYVIEW BUILDING ASSOCIATES, LLC",602 317 225,564000,"5465 BEACH DR SW, SEATTLE, WA, 98136-1045, UNITED STATES",Active,False,False,False,
HIT PORTFOLIO II OWNER LLC,"HIT PORTFOLIO II OWNER, LLC",603 438 306,256951,"11325 RANDOM HILLS RD, SUITE 360, FAIRFAX, VA, 22030-0972, UNITED STATES",Active,False,False,False,
98 NORFOLK LLC,"98 NORFOLK, LLC",602 690 850,360449,"9877 40TH AVE S, SEATTLE, WA, 98118, UNITED STATES",Active,False,False,False,
5940 MARTIN LUTHER KING WAY SOUTH LLC,"5940 MARTIN LUTHER KING WAY SOUTH, LLC",604 998 596,1619694,"3106 SUMNER TAPPS HWY E STE A, LAKE TAPPS, WA, 98391-6716, UNITED STATES",Active,False,False,False,
MATTESON GREENHOUSE INVESTORS LLC,"MATTESON GREENHOUSE INVESTORS, LLC",603 331 579,323458,"GREENHOUSE - 3701 S HUDSON STREET, SEATTLE, WA, 98118, UNITED STATES",Active,False,False,False,
STATION AT OTHELLO PARK LLC,"STATION AT OTHELLO PARK, LLC",603 409 744,1002879,"601 S. FIGUEROA STREET,49TH FLOOR, LOS ANGELES, CA, 90017, UNITED STATES",Active,False,False,False,
SB-FELIX NORTH LLC,"SB-FELIX NORTH, LLC",604 778 491,1475855,"5506 6TH AVE S STE 206, SEATTLE, WA, 98108-2553, UNITED STATES",Active,True,False,False,
SOUTH BENNETT STREET HOMES LLC,"SOUTH BENNETT STREET HOMES, LLC",602 660 044,962826,"1737 NW 56TH ST #101B, SEATTLE, WA, 98107, UNITED STATES",Administratively Dissolved,False,False,False,
CROWN HILL LLC,"CROWN HILL, LLC",602 089 847,648850,"5143 NE LAURELCREST LN, SEATTLE, WA, 98105-5247, UNITED STATES",Active,False,False,False,
LILLEHAMMER LLC,"LILLEHAMMER, LLC",603 487 098,323875,"950 N 72ND ST #100, SEATTLE, WA, 98103, UNITED STATES",Active,False,False,False,
CP5 NOBA LLC,"CP5 NOBA, LLC",604 964 080,1593598,"2082 MICHELSON DR FL 4, IRVINE, CA, 92612-1212, UNITED STATES",Active,False,False,False,
CP5 BELAY LLC,"CP5 BELAY, LLC",604 967 620,1593588,"2082 MICHELSON DR FL 4, IRVINE, CA, 92612-1212, UNITED STATES",Active,False,False,False,
NW LIMITED PARTNERSHIP,NW LLC,604 054 160,357864,"735 95TH AVE NE, BELLEVUE, WA, 98004, UNITED STATES",Administratively Dissolved,False,False,False,
CROWN RIDGE LLC,"CROWN RIDGE, LLC",602 403 208,1107512,"457 N 39TH ST, SEATTLE, WA, 98103-8559, UNITED STATES",Active,False,False,False,
FORTYSEVEN LLC,"FORTYSEVEN, LLC",604 043 847,698922,"8356 16TH AVE NW, SEATTLE, WA, 98117-3662, UNITED STATES",Active,False,False,False,
SVF ADMIRAL SAFEWAY SEATTLE LLC,"SVF ADMIRAL SAFEWAY SEATTLE, LLC",603 220 283,1001668,"C/O AMERICAN REALTY ADVISORS, 515 S. FLOWER ST, 49TH FLOOR, LOS ANGELES, CA, 90071, UNITED STATES",Active,False,False,False,
3 M 42 LLC,"3 M 42, LLC",604 076 079,1092155,"4532 42ND AVE SW, SEATTLE, WA, 98116-4755, UNITED STATES",Active,False,False,False,
BROADSTONE SKY LLC,"BROADSTONE SKY, LLC",603 395 732,602318,"C/O AEW, 2 SEAPORT LANE, 15TH FLOOR, BOSTON, MA, 02210, UNITED STATES",Active,False,False,False,
4730 CALIFORNIA LLC,"4730 CALIFORNIA, LLC",603 272 348,5382,"6710 E CAMELBACK RD, SUITE 100, SCOTTSDALE, AZ, 85251-2031, UNITED STATES",Active,True,False,False,
HUDSON SQUARE APARTMENTS LLC,"HUDSON SQUARE APARTMENTS, LLC",602 698 010,749941,"2940 FAIRVIEW AVE E, SEATTLE, WA, 98102-3016, UNITED STATES",Active,False,False,False,
4801 FAUNTLEROY LLC,"4801 FAUNTLEROY, LLC",603 554 569,344604,"2633 EASTLAKE AVE E STE 307, SEATTLE, WA, 98102-3231, UNITED STATES",Active,False,False,False,
4821 FAUNTLEROY LLC,"4821 FAUNTLEROY, LLC",603 234 691,344607,"4821 FAUNLEROY WAY SW, SEATTLE, WA, 98116, UNITED STATES",Active,False,False,False,
RIPPLE ROCK LLC,RIPPLE ROCK L.L.C.,601 928 799,951222,,Administratively Dissolved,True,False,False,
PARK HAMILTON INVESTORS 2019 LLC,"PARK HAMILTON INVESTORS 2019, LLC",604 513 802,1309470,"117 E LOUISA ST STE 185, SEATTLE, WA, 98102-3203, UNITED STATES",Active,False,False,False,
VILLA ANDORA 1520 LLC,"VILLA ANDORA 1520, LLC",604 926 618,1567194,"15726 25TH DR SE, MILL CREEK, WA, 98012-7866, UNITED STATES",Active,False,False,False,
ALKI 37 LLC,"ALKI 37, LLC",602 351 385,536197,"ALKI PROPERTY MANAGEMTN LLC, 5407 BEACH DR SW, SEATTLE, WA, 98136, UNITED STATES",Active,False,False,False,
MANNING PLACE LLC,"MANNING PLACE, LLC",602 632 416,306864,"1200 WESTLAKE AVE N STE 310, SEATTLE, WA, 98109-3528, UNITED STATES",Active,False,False,False,
ALJOYA THORNTON PLACE LLC,"ALJOYA THORNTON PLACE, LLC",602 743 018,26070,"400 UNION ST, SEATTLE, WA, 98101-2502, UNITED STATES",Active,False,False,False,
MGP XIV LLC,"MGP XIV, LLC",602 092 949,815215,"4500 DORR ST, TOLEDO, OH, 43615-4040, UNITED STATES",Merged,False,False,False,
BRFII NORTHGATE LLC,"BRFII NORTHGATE, LLC",604 757 305,1455915,"11611 SAN VICENTE BLVD STE 900, LOS ANGELES, CA, 90049, UNITED STATES",Active,False,False,False,
CHSW HOLDINGS NORTHWEST LLC,"CHSW HOLDINGS NORTHWEST, LLC",604 829 081,1509286,"12360 LAKE CITY WAY NE STE 450, SEATTLE, WA, 98125-5452, UNITED STATES",Active,False,False,False,
EAST UNION 22 LLC,"EAST UNION 22, LLC",603 447 479,672944,"401 N 36TH ST STE 104, SEATTLE, WA, 98103-8630, UNITED STATES",Active,False,False,False,
2051 MADISON STREET PARTNERS LLC,"2051 MADISON STREET PARTNERS, LLC",603 371 500,3561,"11601 WILSHIRE BLVD STE 2110, LOS ANGELES, CA, 90025-1784, UNITED STATES",Active,False,False,False,
GS ZIG LLC,"GS ZIG, LLC",604 209 573,1177383,"465 MEETING STREET STE.500, CHARLESTON, SC, 29403, UNITED STATES",Active,False,False,False,
RISE-CG CAPITOL HILL LP,"RISE-CG CAPITOL HILL, LP",604 312 438,1220449,"C/O RISE PROPERTIES, 1518 1ST AVE S, SEATTLE, WA, 98134, UNITED STATES",Active,False,False,False,
TA PIKE MOTORWORKS LLC,"TA PIKE MOTORWORKS, LLC",604 424 168,1276709,"1 FEDERAL ST FL 17, BOSTON, MA, 02110-2003, UNITED STATES",Active,False,False,False,
ASB REO FLATS LLC,"ASB REO FLATS, LLC",603 483 950,1096982,"C/O ASB CAPITAL MANAGEMENT LLC, 7501 WISCONSIN AVENUE, SUITE 1300W, BETHESDA, MD, 20814, UNITED STATES",Active,False,False,False,
SEATTLE MADISON LLC,"SEATTLE MADISON, L.L.C.",603 226 910,445387,"1900 WEST LOOP S, SUITE 1300, HOUSTON, TX, 77027-3214, UNITED STATES",Active,False,False,False,
ASB SUNSET ELECTRIC LLC,"ASB SUNSET ELECTRIC, LLC",603 483 976,44277,"C/O ASB CAPITAL MANAGEMENT LLC, 7501 WISCONSIN AVENUE, SUITE 1300W, BETHESDA, MD, 20814, UNITED STATES",Active,False,False,False,
BARCLAY 118 LLC,"BARCLAY 118, LLC",603 491 373,51053,"2033 6TH AVE, SUITE 600, SEATTLE, WA, 98121-2591, UNITED STATES",Active,False,False,False,
EQR-320 PINE LLC,"EQR-320 PINE, LLC",603 401 449,190555,"TWO NORTH RIVERSIDE PLAZA, SUITE 400, CHICAGO, IL, 60606, UNITED STATES",Active,False,False,False,
1011 E TERRACE ST OWNER LLC,"1011 E TERRACE ST OWNER, LLC",604 795 740,1484822,"15 LAKE BELLEVUE DR STE 200, BELLEVUE, WA, 98005-2485, UNITED STATES",Active,False,False,False,
VITALITY ON HOWELL LLC,"VITALITY ON HOWELL, LLC",604 151 885,1073149,"29328 1ST AVE S, FEDERAL WAY, WA, 98003-3638, UNITED STATES",Active,False,False,False,
1531 BROADWAY LLC,"1531 BROADWAY, LLC",603 614 346,33921,"1180 W PEACHTREE ST NW, SUITE 2100, ATLANTA, GA, 30309-3495, UNITED STATES",Active,False,False,False,
UNION 18 PARTNERS LLC,"UNION 18 PARTNERS, LLC",604 027 754,1025265,"11601 WILSHIRE BLVD STE 2110, LOS ANGELES, CA, 90025-1784, UNITED STATES",Active,False,False,False,
UPPER PINE LLC,"UPPER PINE, LLC",602 565 039,1060814,"1620 BROADWAY STE 201, SEATTLE, WA, 98122-2564, UNITED STATES",Active,False,False,False,
MORRIS APARTMENTS LLC,"MORRIS APARTMENTS, LLC",602 485 583,872622,"1743 SUMMIT AVE, SEATTLE, WA, 98122-6921, UNITED STATES",Active,False,False,False,
ABONITA LLC,"ABONITA, LLC",602 557 412,16353,"2940 FAIRVIEW AVE E, SEATTLE, WA, 98102-3016, UNITED STATES",Active,False,False,False,
OLIVE TERRACE APARTMENTS LLC,"OLIVE TERRACE APARTMENTS, L.L.C.",601 677 809,855598,"420 E HOWELL ST, SEATTLE, WA, 98122-6949, UNITED STATES",Active,False,False,False,
312 E OLIVE PL LLC,"312 E OLIVE PL, LLC",602 684 297,5040,"357 S SAMS ST, MONROE, WA, 98272-2235, UNITED STATES",Active,False,False,False,
CRE WINSTON LLC,"CRE WINSTON, LLC",603 154 997,124091,"2930 WESTLAKE AVE N #100, SEATTLE, WA, 98109, UNITED STATES",Active,False,False,False,
RANDOLPH PARTNERS LLC,"RANDOLPH PARTNERS, LLC",602 376 737,954098,"1200 WESTLAKE AVE N STE 608, SEATTLE, WA, 98109-3529, UNITED STATES",Delinquent,False,False,False,
WASHINGTON IRVING 2012 LLC,"WASHINGTON IRVING 2012, LLC",603 244 761,509005,"117 E LOUISA ST # 185, SEATTLE, WA, 98102-3203, UNITED STATES",Active,False,False,False,
EQR-RIANNA I LLC,"EQR-RIANNA I, LLC",602 985 521,166002,,,False,True,True,
510 BROADWAY PARTNERS LLC,"510 BROADWAY PARTNERS, LLC",604 130 419,249135,"3303 HUNTER BLVD S, SEATTLE, WA, 98144, UNITED STATES",Active,False,False,False,
BOREN DEVELOPMENT LLC,"BOREN DEVELOPMENT, LIMITED LIABILITY COMPANY",602 277 440,53805,"4554 CALIFORNIA AVE SW, SEATTLE, WA, 98116-4111, UNITED STATES",Active,False,False,False,
BANCROFT INVESTORS 2009 LLC,"BANCROFT INVESTORS 2009, LLC",602 884 438,1098331,"117 E LOUISA ST # 185, SEATTLE, WA, 98102-3203, UNITED STATES",Active,False,False,False,
PARAMOUNT APARTMENTS LLC,"PARAMOUNT APARTMENTS, LLC",602 785 818,377188,"41206 SE REINIG RD, SNOQUALMIE, WA, 98065-9050, UNITED STATES",Active,False,False,False,
HOWELL STREET ASSOCIATES LLC,"HOWELL STREET ASSOCIATES, LLC",602 530 921,743440,"1225 S WELLER ST STE 550, SEATTLE, WA, 98144, UNITED STATES",Active,False,False,False,
TE GKI BOYLSTON LLC,"TE GKI BOYLSTON, LLC",604 755 176,1463782,"1827 EVERGREEN POINT RD, MEDINA, WA, 98039-2325, UNITED STATES",Active,False,False,False,
YESLER PLACE LLC,"YESLER PLACE, LLC",603 239 860,580406,"801 23RD AVE S STE 201, SEATTLE, WA, 98144, UNITED STATES",Active,False,False,False,
MADISON CROSSING LLC,"MADISON CROSSING, L.L.C.",601 640 421,847337,"1315 5TH AVE WEST, SEATTLE, WA, 98119, UNITED STATES",Active,False,False,False,
PIKE BUILDING LLC,"PIKE BUILDING, LLC",602 627 271,879322,"1000 E PIKE ST, SEATTLE, WA, 98122-3819, UNITED STATES",Active,False,False,False,
700 BROADWAY MOB LLC,"700 BROADWAY MOB, LLC",604 813 518,1495435,"5050 S SYRACUSE ST, SUITE 800, DENVER, CO, 80237-3379, UNITED STATES",Active,False,False,False,
HCP 600 BROADWAY MOB LLC,"HCP 600 BROADWAY MOB, LLC",602 451 583,219437,"1920 MAIN STREET, STE 1200, IRVINE, CA, 92614, UNITED STATES",Active,False,False,False,
