f,Owning Entity Best Guess (lookup into OwningEntities tab),HQ City,"Assets, $B, Best Guess",Owning Entity Category,Public/Private/Nonprofit/Condo status,"Company Info -- business model, how assets found, etc, incl links to evidence",Sustainability claim (any we happened to find while researching ownership),How Sleuthed. NOTE sheets bug broke hyperlinks. See tab AllSleuthData for links to supporting info,Who sleuthed owner,Sleuth pass,BEPS LegislationPropertyType,PropertyGFABuilding_s_,BuildingName,GHGEmissionsIntensityKgSqFt,TotalGHGEmissions__metric_tons_,June BEPS Target for 2031-2035,,Qualifies for Alt GHGIT,OSEBuildingID,TaxParcelIdentificationNumber,DataYear,BuildingType,Owner,CouncilDistrictCode,Neighborhood,Units,YearBuilt,City,State,ZipCode,Latitude,Longitude,PrimaryPropertyType,ListOfAllPropertyUseTypes,EPAPropertyType,ENERGYSTARScore,YearsENERGYSTARCertified,SiteEUI_kBtu_sf_,SiteEUIWN_kBtu_sf_,SiteEnergyUse_kBtu_,SiteEnergyUseWN_kBtu_,SourceEUI_kBtu_sf_,SourceEUIWN_kBtu_sf_,NaturalGas_kBtu_,NaturalGas_therms_,Electricity_kBtu_,Electricity_kWh_,SteamUse_kBtu_,OtherFuelUse_kBtu_,PropertyGFATotal,PropertyGFAParking,NumberofBuildings,NumberofFloors,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Outlier,ComplianceIssue,ComplianceStatus,Comments,DefaultData,LegislationPropertyType
1610 2ND AVE,Dynamic City Capital,"Provo, UT",0.4,Real Estate Investment & Management,Private Ownership,See AUMCalculations tab for back of the envelope very conservative AUM calculation,,Found article with purchase details,Alex,2,Hotel,185492,THE CHARTER HOTEL,1.4,257,2.06,0,FALSE,50314,7683890020,2020,NonResidential,DC SEATTLE 1 PROPERTY LLC,1,DOWNTOWN,,2018,SEATTLE,SEATTLE,98101,47.61094,-122.33991,,,Hotel,98,,45.1,46.2,8560996,8370810,84.4,85.4,4450756,44508,3920054,1148902,0,,185492,0,1,39,Hotel,185492,,,,,,No Issue,Compliant,,,Hotel
811 1ST AVE,Unico Properties,Seattle,3,Real Estate Investment & Management,Private Ownership,See AUMCalculations tab for back of the envelope very conservative AUM calculation,"""We build and improve buildings to make them more sustainable and resilient by adopting environmentally friendly strategies, equipment, and processes.""
",Unico listed as Principal,Alice,1,Office,166975,COLMAN BUILDING,1.4,234,0.81,0,FALSE,678,8591400005,2020,NonResidential,UNICO BOP COLMAN BUILDING LLC,1,DOWNTOWN,NOT_FOUND,1900,SEATTLE,WA,98104,47.60353,-122.33558,,,Office,90,,45.2,46,7684150,7554280,98.8,99.7,864590,8646,4723348,1384334,1966342,,166975,0,1,6,Office,141415,Restaurant,19427,Retail Store,6133,,No Issue,Compliant,,,Office
500 UNION ST,Unico Properties,Seattle,3,Real Estate Investment & Management,Private Ownership,See AUMCalculations tab for back of the envelope very conservative AUM calculation,"""We build and improve buildings to make them more sustainable and resilient by adopting environmentally friendly strategies, equipment, and processes.""
","Found article about building purchase, is listed in Unico's portfolio",Alex,1,Office,135918,LOGAN BUILDING,1.4,196,0.81,0,FALSE,403,1975700095,2020,NonResidential,LOGAN BUILDING LLC,1,DOWNTOWN,NOT_FOUND,1958,SEATTLE,WA,98101,47.61003,-122.33452,,,Office,91,,37.2,38.3,5188870,5042121,78.5,79.8,0,0,2869544,841015,2172577,,135918,0,1,10,Office,123643,Other - Restaurant/Bar,6905,Financial Office,5044,,No Issue,Compliant,,,Office
1800 YALE AVE,Moody National Companies,"Houston, TX",1.7,Real Estate Investment,Private Ownership,"Moody started out in mortgage banking, now lists mortgage banking, development, managment, realty, title, exchange, and insurance among their activities. They operate over 65 hotels, and over 1000 multifamily units. I think the $1.7B assets I found under managment is conservative",,"Seattl has just the one Springhill, and Moody owns Springhill, CompanyAddr is Moody HQ, etc",Alice,3,Hotel,133585,SPRINGHILL SUITES SEATTLE DOWNTOWN,1.4,185,2.06,0,FALSE,33,660002680,2020,NonResidential,MOODY NATIONAL YALE-SEATTLE HOLDINGS LLC,7,DOWNTOWN,234,2001,SEATTLE,WA,98101,47.61784,-122.32966,,,Hotel,89,,59.4,59,7605834,7650890,125.1,124.1,3024378,30244,4626512,1355953,0,,171866,38281,1,10,Hotel,128909,Parking,38301,,,,No Issue,Compliant,,,Hotel
737 OLIVE WAY,R.C. Hedreen Co and Hyatt,"Chicago, IL",56.8,Seattle Real Estate - Large,Private Ownership,"RC Hedreen Co. & Hyatt co-own the 3 Seattle Hyatts, so I'm using Hyatt's worth as assets -- between the 2 of them, they can afford a heat pump. Also, Hedreen has a history of bad faith with both the city of Seattle and Unite Here Local 8, in connection with these very buildings.",,"Building Name, principals, company address, Hyatt Regency Seattle Owner"", then figured out the business model of co-ownership",Alice,2,Mixed Use Property,563373,OLIVE 8 (MIXED USE),1.3,709,#N/A,#N/A,#N/A,25222,6364000000,2020,NonResidential,,1,DOWNTOWN,NOT_FOUND,2009,SEATTLE,WA,98101,47.61376,-122.33445,,,Mixed Use Property,92,,44.4,45,25347848,24998212,93.1,93.8,7386033,73860,14736373,4318984,2875807,,675497,112124,1,39,Hotel,287065,Multifamily Housing,276308,Parking,141450,,No Issue,Compliant,,,Mixed Use Property
820 BLANCHARD ST,Condominium owners,Seattle,,Condominium Owners,Condos,"Condominiums are a special case with their own business model, and at least until we get it amended, special treatment in the proposed legislation. Let's not research each owner association or/and condo management firm until we find we actually need to.",,,Alice,3,Mixed Use Property,323192,2201 WESTLAKE ENSO CONDOMINIUMS,1.3,422,#N/A,#N/A,#N/A,25992,8729760000,2020,NonResidential,,1,DOWNTOWN,NOT_FOUND,2009,SEATTLE,WA,98121,47.61811,-122.33908,,,Mixed Use Property,72,,56.7,56.9,28866970,28752224,139.3,138.9,5619641,56196,23132582,6779772,0,,525049,201857,1,19,Office,302417,Parking,201857,Multifamily Housing,181047,,No Issue,Compliant,,,Mixed Use Property
1904 3RD AVE,University of Washington,Seattle,8,"Government (Seattle, UW, etc)",Government,"Note: For most UW-owned properties downtown, UW is noted as the Tax Parcel owner, so easy to id ownership. Some look like and are even claimed by Wikipedia to be owned by Unico, but in fact Unico ownly manages",,Identified from Tax Parcel Owner,Alice,3,Office,268832,SECURITIES & MARKET BUILDING CAMPUS,1.3,340,0.81,0,FALSE,432,1977201315,2020,Campus,WASHINGTON SECURITITES,1,DOWNTOWN,NOT_FOUND,1913,SEATTLE,WA,98101,47.61216,-122.33951,,,Office,,,50.8,51.9,12928888,12651074,119.8,121.1,0,0,9145248,2680319,3505827,,448832,180000,3,10,Office,239561,Parking,180928,Retail Store,9435,,No Issue,Compliant,,,Office
901 S JACKSON ST,Inland Group,"Spokane, WA",1.3,Real Estate Development and Management,Private Ownership,"""Inland Group specializes in the development and construction of high-density residential and commercial projects. From affordable family housing developments to active adult communities, our company has the knowledge and expertise to tackle unique construction and development challenges."" See AUMCalculations tab for back of the envelope very conservative AUM calculation",,"Last article I can find is that Inland Group purchased the land in 2017 for development of the Thai Binh apartments: The city has awarded Inland nearly $10 million for the project. The apartments will be rented to people who make $37,000 or less a year. One-bedroom units will rent for $968 a month, the Puget Sound Business Journal reported in late 2015.",Neal/Alex,3,Multifamily Housing,212082,THAI BINH,1.3,274,0.89,0,FALSE,50544,5391600140,2020,Multifamily MR (5-9),NOT FOUND,1,DOWNTOWN,,2018,SEATTLE,SEATTLE,98104,47.59889,-122.32038,,,Multifamily MR (5-9),61,,40.5,41.6,9514069,9269481,77.4,78.8,4704437,47044,4565044,1337938,0,,212082,0,1,6,Multifamily Housing,228820,Parking,0,,,,No Issue,Compliant,,,Multifamily Housing
1915 2ND AVE,Greystar Real Estate Partners,"Charleston, SC",69,Real Estate Development and Management,Private Ownership,"Greystar Real Estate Partners is an international real estate developer and manager based in the United States. As of 2022, Greystar had $58.2 billion in gross assets under management, and operated in 16 countries.",,"Found greystar management under the apartment website, is shown on their property, Greystar has job ads for the property",Alex,1,Multifamily Housing,194530,VIKTORIA APARTMENTS,1.3,245,0.89,0,FALSE,49873,1977200950,2020,Multifamily HR (10+),VIKTORIA SEATTLE LLC,7,DOWNTOWN,,2014,SEATTLE,SEATTLE,98101,47.61105,-122.34091,,,Multifamily HR (10+),47,,59.2,60,11677072,11507954,131.1,132,3840756,38408,7667197,2247127,0,,237186,42656,1,25,Multifamily Housing,194530,Parking,42656,,,,No Issue,Compliant,,,Multifamily Housing
501 3RD AVE,Urban Visions,Seattle,1.25,Seattle Real Estate - Large,Private Ownership,"Valued at $1.25B, according to their website.  Recently purchased a $128M property.","On home page: At Urban Visions, we see commercial development differently. It’s more than a way to make a living — it’s a way to make a lasting impact on the social, cultural and environmental health of urban communities. The principles underlying this vision are sustainable development, smart growth, increased density, and transformational place-making. Our innovative design solutions maximize the human value of cities. On About page until only recently (I remember it, so likely taken down in late April 2023): Known as innovators in sustainable real esate and green building practices, they plan, develop, renovate and manage properties to LEED standards.","HOWEVER, note that the only building in our DB associated with this owner is actually 304 ALASKAN WAY S.  The parking garage at 316 Alaskan is likely either <20K sq ft or torn down for new development.",Alice,1,Multifamily Housing,139860,MORRISON HOTEL LLC,1.3,176,0.89,0,FALSE,29125,939000040,2020,Multifamily MR (5-9),S-QOZB LLC,1,DOWNTOWN,,1908,SEATTLE,WA,98104,47.60219,-122.3313,,,Multifamily MR (5-9),19,,75.8,77.3,10607476,10408466,180.2,184.3,2513637,25136,7894829,2313842,0,,159840,19980,1,7,Multifamily Housing,103869,Office,32808,Food Sales,604,,No Issue,Compliant,,,Multifamily Housing
1820 MINOR AVE,Burrard,"Vancouver, BC and Seattle",1.07,Real Estate Development and Management,Private Ownership,"""From residential development and commercial real estate, to golf course management and F&B operations, our work is diversified and intentional - underpinned by shared values that have remained consistent since our company was founded by Caleb Chan over 40 years ago.""","""A thriving environment provides for thriving people, businesses and communities.  We embrace our duty to be stewards of healthy ecosystems both large and small, urban and natural, and we invest our human and financial capital accordingly - for the sake of this generation and the next.""
","Found article about Skanska suing Burrard which stated they operate under the LLC (https://www.enr.com/articles/49314-skanska-and-seattle-condo-developer-seek-to-resolve-costly-tangle-of-disputes), Burrard's US office matches company address",Alex,1,Multifamily Housing,114212,BALFOUR PLACE APTS,1.3,146,0.89,0,FALSE,19661,660002340,2020,Multifamily MR (5-9),1200 HOWELL STREET LLC,1,DOWNTOWN,200,1993,SEATTLE,WA,98101,47.61783,-122.33134,,,Multifamily MR (5-9),,,57.3,58.3,5042216,4950772,109.7,111.3,2500737,25007,2450035,718064,0,,140049,25837,1,6,Multifamily Housing,80160,Parking,8662,Retail Store,6316,,No Issue,Compliant,,,Multifamily Housing
614 PIKE ST,University of California Pension Fund,Oakland CA,91,Pension Fund,Private Ownership,"With returns typically well over inflation, this pension fund can afford to buy heat pumps for its properties",,Address & googling gov,Alice,1,Other,100375,MERIDIAN CENTER EAST,1.3,133,2.48,0,FALSE,421,1976700055,2020,NonResidential,REGENCY MERIDIAN L L C,7,DOWNTOWN,NOT_FOUND,1996,SEATTLE,WA,98101,47.61185,-122.33421,,,Parking,,,64.1,65.5,6572361,6438536,143.7,145.1,2057588,20576,4380947,1283982,0,,267335,166960,1,4,Parking,166960,Movie Theater,72975,Other - Restaurant/Bar,27400,,No Issue,Compliant,,,Other
700 3RD AVE,Oxford Collection,"Bend, OR",,Hotel Chain,Private Ownership,"The Baney Family, founders of the Oxford Collection of hotels, have been in the hospitality business since 1955. In 1988 the Oxford Suites concept was first developed to give the business traveler a place to call home, while away from home. Since then, Oxford Collection of hotels has expanded to 15 different cities throughout Idaho, Washington, Oregon and California.
",,Found article about building aquisition (https://www.djc.com/news/re/12150165.html),Alex,1,Hotel,104352,DOUBLE TREE ARCTIC CLUB HOTEL - SEATTLE,1.3,131,2.06,0,FALSE,25,942000610,2020,NonResidential,ARCTIC CLUB HOTEL LLC,7,DOWNTOWN,NOT_FOUND,1916,SEATTLE,WA,98104,47.60376,-122.33194,,,Hotel,96,,46.8,46.8,4885903,4885903,109.6,109.6,106573,1066,3488511,1022424,1290818,,104352,0,1,10,Hotel,104352,,,,,,No Issue,Compliant,,,Hotel
2101 9TH AVE,GID,"Boston, MA",29.7,Real Estate Investment & Management,Private Ownership,"GID owns and operates over 51,000 multifamily units across the United States. The firm’s vertically-integrated operating platform provides a broad scope of knowledge and experience in managing, operating and investing in multifamily properties.",,"Addresses match, article lists GID as owner",Alex,1,Multifamily Housing,482600,STRATUS APARTMENTS- MIXED USE,1.2,576,0.89,0,FALSE,49922,660000545,2020,Multifamily HR (10+),NINTH AND LENORA LLC,1,DOWNTOWN,,2018,SEATTLE,SEATTLE,98121,47.61709,-122.33752,,,Multifamily HR (10+),85,,33.6,34.3,22510056,22079756,68.5,69.1,9603562,96036,12476193,3656563,0,,614765,132165,1,41,Multifamily Housing,656990,Parking,100629,,,,No Issue,Compliant,,,Multifamily Housing
1430 2ND AVE,PGIM,"Newark, NJ",1200,Asset Management,Private Ownership,"PGIM, Inc. (PGIM), formerly Prudential Investment Management, is the asset management arm of American life insurance company Prudential Financial. Assets under management 1.2T.",,Found article on sale of building (https://news.theregistryps.com/pgim-buys-seattle-apartment-tower-for-293mm/); company address associated with Prudential,Alex,1,Multifamily Housing,477543,WEST EDGE TOWER,1.2,564,0.89,0,FALSE,50516,1975700480,2020,Multifamily HR (10+),PR 1430 SECOND LLC,1,DOWNTOWN,,2016,SEATTLE,SEATTLE,98101,47.60911,-122.33831,,,Multifamily HR (10+),83,,38.7,39.3,19593242,19274494,74.4,74.7,9651900,96519,9622594,2820221,0,,567403,89860,1,39,Multifamily Housing,498643,Parking,80629,,,,No Issue,Compliant,,,Multifamily Housing
819 VIRGINIA ST,Condominium owners,Seattle,,Condominium Owners,Condos,"Condominiums are a special case with their own business model, and at least until we get it amended, special treatment in the proposed legislation. Let's not research each owner association or/and condo management firm until we find we actually need to.",,"Search ""COSMOPOLITAN 819 VIRGINIA ST seattle owner"" found this is a condo building",Alice,3,Multifamily Housing,299755,COSMOPOLITAN,1.2,354,0.89,0,FALSE,20772,1766000000,2020,Multifamily HR (10+),,1,DOWNTOWN,NOT_FOUND,2006,SEATTLE,WA,98101,47.6161,-122.33576,,,Multifamily HR (10+),99,,32.5,32.5,9667069,9667069,53.7,53.7,6327304,63273,3339765,978829,0,,299755,0,1,33,Multifamily Housing,291429,Retail Store,6174,,,,Account Requires Verification,Not Compliant,,,Multifamily Housing
512 S WELLER ST,Equity Residential,"Chicago, IL",20.2,Real Estate Investment,Private Ownership,Wikipedia: Equity Residential is a publicly traded real estate investment trust that invests in apartments. Total assets        Increase $21.169 billion (2021),,"Appears to be the apartment buildings next to Uwajimaya, Equity Residential has them listed on their website",Alex,3,Multifamily Housing,223150,UWAJIMAYA VILLAGE,1.2,261,0.89,0,FALSE,27042,8849050000,2020,Multifamily MR (5-9),,1,DOWNTOWN,176,2000,SEATTLE,WA,98104,47.59774,-122.3273,,,Multifamily MR (5-9),84,,64.4,64.7,14424336,14364579,150,150.2,3864058,38641,10500522,3077527,0,,294707,71557,1,5,Multifamily Housing,156378,Parking,71557,Supermarket/Grocery Store,66727,,No Issue,Compliant,,,Multifamily Housing
1100 2ND AVE,Unico Properties,Seattle,3,Real Estate Investment & Management,Private Ownership,See AUMCalculations tab for back of the envelope very conservative AUM calculation,"""We build and improve buildings to make them more sustainable and resilient by adopting environmentally friendly strategies, equipment, and processes.""
",Unico listed as Principal,Alice,1,Office,146922,SECOND AND SPRING BUILDING,1.2,183,0.81,0,FALSE,350,942000045,2020,NonResidential,SECOND & SPRING PROPERTY SEA LLC,1,DOWNTOWN,NOT_FOUND,1958,SEATTLE,WA,98101,47.60642,-122.33581,,,Office,,,132.4,133,19543500,19446564,350.8,351.5,1665138,16651,17781426,5211438,0,,172842,25920,1,6,Office,107586,Data Center,39336,Parking,25920,,No Issue,Compliant,,,Office
1926 2ND AVE,TruAmerica Multifamily,"Los Angeles, CA",16.1,Real Estate Investment,Private Ownership,"With our institutional investment partners, TruAmerica has acquired a portfolio of multifamily communities throughout the U.S.",,"Given that parcel owner is LA firm TruAmerica and Principal is Paul Keller of LA firm Mack Real Estate, and address is Seattle GoodmanRe address, it's probably some kind of joint venture. Googling all these and ""Moore Theater"" or Hotel in combo with words like ""Business Journal"", ""owner"", ""sale"" finds nothing, so going with the listed owner.",Alice,3,Hotel,122810,MOORE HOTEL & THEATRE,1.2,150,2.06,0,FALSE,66,1977201035,2020,NonResidential,1915 SECOND AVENUE LLC,1,DOWNTOWN,147,1908,SEATTLE,WA,98101,47.61155,-122.34114,,,Hotel,,,28.6,30,3681103,3509984,40.8,42.3,2751122,27511,758861,222410,0,,122810,0,1,7,Hotel,90874,Other - Entertainment/Public Assembly,26450,Restaurant,5486,,No Issue,Compliant,,,Hotel
705 2ND AVE,Temasek Holdings,Singapore,285,Sovereign Wealth Fund,Private Ownership,"Temasek Holdings (Private) Limited, or simply Temasek, is a Singaporean state-owned conglomerate owned by the Government of Singapore. Incorporated on 25 June 1974, Temasek has a net portfolio of US$287 billion (S$403 billion) as of 2022","""We are in a critical decade. Climate change is arguably the biggest crisis of our lifetime. We are seeing more frequent weather events, backed by now non-incontrovertible data painting a dire picture of what the world would look like if we don’t address it. We must therefore work together to solve the climate challenge, reverse nature loss and build a more inclusive society.""","Company name Temasek is same as for Temasek holdings, which isn't conclusive, but found Principal has an association with another LLC, with a record showing his address in Singapore, where Temasek is located. Note that the physical seattle address given form Temasek LLC is just the office for the agent, WKG, Inc (Willianm Kastner).",Alice,1,Office,116640,HOGE BUILDING,1.2,140,0.81,0,FALSE,771,939000230,2020,NonResidential,TEMASEK L L C,1,DOWNTOWN,NOT_FOUND,1911,SEATTLE,WA,98104,47.60304,-122.33362,,,Office,85,,43.9,44.7,5218106,5115284,102.9,104,0,0,3664744,1074075,1450538,,116640,0,1,17,Office,116640,,,,,,No Issue,Compliant,,,Office
1942 WESTLAKE AVE,Continental Properties LLC,"Bellevue, WA",,Seattle Real Estate - Large,Private Ownership,"Based in Bellevue, WA, Continental Properties LLC is a residential development company committed to building and owning high-quality multi-family properties.  Continental and its predecessors, Continental-Bentall LLC and Continental Pacific Inc., have been in the development business since 1977, setting the standard for quality apartment and condominium communities while building over 4,000 multi-family units in the Northwest. ",,"Found bizjournals article about refinancing, found article about purchase of tower by Continental",Alex,1,Multifamily Housing,538339,METROPOLITAN TOWER,1.1,573,0.89,0,FALSE,19899,659000610,2020,Multifamily HR (10+),1942 WESTLAKE LP,1,DOWNTOWN,366,2001,SEATTLE,WA,98101,47.61487,-122.33748,,,Multifamily HR (10+),73,,39.3,40.2,21664138,21153964,78.7,79.7,9636886,96369,11517076,3375462,0,,678165,139826,1,31,Multifamily Housing,538339,Parking,139826,,,,No Issue,Compliant,,,Multifamily Housing
2200 WESTLAKE AVE,Kimco Realty,"Jericho, NY",11.614,Real Estate Investment,Private Ownership,"""Kimco Realty® is a real estate investment trust headquartered in Jericho, N.Y. that is North America’s largest publicly traded owner and operator of open-air, grocery-anchored shopping centers, including mixed-use assets.""","""Reduce Scope 1 and 2 GHG emissions by 30% from 2018 to 2030, and achieve net zero by 2050. Partner with tenants to quantify and reduce Scope 3 emissions, establishing a goal by 2025.""","Address matches company address, WRI merged with Kimco and it is now on their property portfolio",Alex,1,Mixed Use Property,516407,2200 WESTLAKE,1.1,567,#N/A,#N/A,#N/A,657,8729740010,2020,NonResidential,WRI 2200 WESTLAKE LP,1,DOWNTOWN,NOT_FOUND,2006,SEATTLE,WA,98121,47.61783,-122.33729,,,Mixed Use Property,78,,60.8,61.5,31770184,31396188,141.9,142.6,8364218,83642,23031972,6750285,0,,516407,0,1,0,Parking,385196,Multifamily Housing,340236,Hotel,80067,,No Issue,Compliant,,,Mixed Use Property
2202 8TH AVE,Clise Properties,Seattle,0.4,Seattle Real Estate - Large,Private Ownership,"""For more than 132 years, Clise Properties and the Clise family have led development in Seattle."" Among other things, Clise develops data centers. See AUMCalculations tab for back of the envelope very conservative AUM calculation",,"Listed on their portfolio, matches LLC information and address. Property may be co-managed by Greystar?",Alex,1,Multifamily Housing,487234,MCKENZIE,1.1,553,0.89,0,FALSE,50378,660000405,2020,Multifamily HR (10+),2202 EIGHTH AVENUE LLC,1,DOWNTOWN,,2016,SEATTLE,SEATTLE,98121,47.61789,-122.33943,,,Multifamily HR (10+),72,,45.8,45.8,22336270,22336270,95.8,95.8,9077238,90772,13259032,3886000,0,,632252,145018,1,40,Multifamily Housing,469652,Parking,145018,Retail Store,17572,,No Issue,Compliant,,,Multifamily Housing
1823 MINOR AVE,Security Properties,Seattle,5.9,Real Estate Investment & Management,Private Ownership,"""Since its formation in 1969, Security Properties and its partners have invested over $2.0 billion of equity in multifamily real estate, representing a portfolio value of nearly $5.9 billion.""",,"Article lists it as a Security Properties building, is displayed on their website portfolio",Alex,3,Multifamily Housing,512983,KINECTS TOWER,1.1,543,0.89,0,FALSE,50304,660002125,2020,Multifamily HR (10+),1823 MINOR WPT LLC +1823 MINOR MM LLC,1,DOWNTOWN,,1970,SEATTLE,SEATTLE,,47.61711,-122.33151,,,Multifamily HR (10+),83,,45.8,46.7,18450216,18085896,86.7,87.7,9355679,93557,8730220,2558681,0,,512983,0,1,40,Multifamily Housing,395319,Parking,117664,,,,No Issue,Compliant,,,Multifamily Housing
515 MADISON ST,R.C. Hedreen Co,Seattle,1,Seattle Real Estate - Large,Private Ownership,"R.C. Hedreen Company and its affiliates have been involved in the development, ownership and management of world-class investment properties since 1963.  If Richard Hedreen could buy a painting $10.75M, and sell another for $41M, he can afford to buy some heat pumps.  Quoted as an ""American Billionaire"". He is not a good guy -- ""Known for opposing unionization of hotel workers"" is just the start of his icky wikpedia entry",,"Searched Renaissance Hotel Seattle management, found the hotel on their portfolio",Alex,1,Hotel,331281,RENAISSANCE MADISON HOTEL,1.1,366,2.06,0,FALSE,23,942000430,2020,NonResidential,MADISON HOTEL LLC,7,DOWNTOWN,553,1983,SEATTLE,WA,98104,47.60681,-122.33078,,,Hotel,91,,52.6,52.6,18317354,18317354,119,119,5629402,56294,12687952,3718626,0,,416281,85000,1,28,Hotel,348329,Parking,85000,,,,No Issue,Compliant,,,Hotel
610 5TH AVE,City of Seattle,Seattle,N/A,"Government (Seattle, UW, etc)",Government,,,"Listed as the owner on their website, is police HQ ",Alex,3,Services,310490,SEATTLE JUSTICE CENTER,1.1,348,#N/A,#N/A,#N/A,358,942000750,2020,Nonresidential COS,,1,DOWNTOWN,NOT_FOUND,2001,SEATTLE,WA,98104,47.60421,-122.32919,,,Courthouse,59,,60.1,61,18195530,17923578,137.2,137.7,5294160,52942,12629419,3701471,0,,310490,0,1,14,Courthouse,298278,,,,,,No Issue,Compliant,,,Services
1112 4TH AVE,Host Hotels and Resorts,"Bethesda, MD",12.22,Real Estate Investment,Private Ownership,"Host is a REIT that owns the real estate occupied by a lot of hotels, including many under the Marriott brand, including the W in Seattle. This can be confusing as many of the owned hotels are listed on both Host and Marriott web sites. However, both Host & Marriott can afford to buy heat pumps.",,"Search on <""W"" hotel ""seattle"" owner> found owner is host (not Marriott)",Alice,3,Hotel,272015,W SEATTLE HOTEL,1.1,291,2.06,0,FALSE,16,942000165,2020,NonResidential,SUPERNOVA SEATTLE REALTY LLC,1,DOWNTOWN,426,1998,SEATTLE,WA,98101,47.60738,-122.33362,,,Hotel,88,,48.4,48.6,15289689,15218298,118.6,118.8,1299900,12999,12014553,3521264,1903845,,333176,61161,1,25,Hotel,314559,Parking,45093,,,,No Issue,Compliant,,,Hotel
3101 WESTERN AVE,Martin Selig Real Estate,Seattle,1.4,Seattle Real Estate - Large,Private Ownership,Owns and Leases commercial real estate properties throughout Seattle.  Martin Selig himself is worth 1.4 according to Forbes. ,,"LLC Name and Governors match, and Selig business model is ownership, not building managment",Alice,1,Office,191117,3101 WESTERN (FORMERLY AIRBORNE BLDG),1.1,208,0.81,0,FALSE,379,698000040,2020,NonResidential,SELIG HOLDINGS COMPANY LLC,1,DOWNTOWN,NOT_FOUND,1984,SEATTLE,WA,98121,47.6176,-122.35686,,,Office,1,,210.5,210.5,39108200,39108200,589.3,589.3,0,0,39108208,11461960,0,,253103,61986,1,8,Office,168019,Parking,57281,Data Center,17797,,No Issue,Compliant,,,Office
2701 WESTERN AVE,Condominium owners,Seattle,,Condominium Owners,Condos,"Condominiums are a special case with their own business model, and at least until we get it amended, special treatment in the proposed legislation. Let's not research each owner association or/and condo management firm until we find we actually need to.",,,Alice,3,Multifamily Housing,162865,KLEE CONDOMINIUM,1.1,182,0.89,0,FALSE,25137,3905900000,2020,Multifamily HR (10+),,7,DOWNTOWN,NOT_FOUND,2001,SEATTLE,WA,98121,47.61511,-122.35189,,,Multifamily HR (10+),42,,46.3,47.8,7679800,7432334,97.1,99.5,2979209,29792,4453124,1305136,0,,162865,0,1,12,Multifamily Housing,145538,Retail Store,15025,,,,No Issue,Compliant,,,Multifamily Housing
2312 3RD AVE,Equity Residential,"Chicago, IL",20.2,Real Estate Investment,Private Ownership,Wikipedia: Equity Residential is a publicly traded real estate investment trust that invests in apartments. Total assets        Increase $21.169 billion (2021),,,Alice,3,Multifamily Housing,143183,MODA APTS,1.1,158,0.89,0,FALSE,19887,656000550,2020,Multifamily MR (5-9),EQR-MODA I LLC+EQR-MODA II LLC,7,DOWNTOWN,251,2008,SEATTLE,WA,98121,47.61534,-122.34515,,,Multifamily MR (5-9),96,,45.7,46,6582556,6542276,96.4,96.6,2579109,25791,3963168,1161538,0,,203940,60757,1,7,Multifamily Housing,143183,Parking,60757,,,,No Issue,Compliant,,,Multifamily Housing
311 CEDAR ST,Westbrook Parners and Rise Properties Trust,"Palm Beach Gardens, FL",10,Real Estate Investment,Private Ownership,"Westbrook & Rise have at least one joint investment in a Seattle building. AUM=AUM of larger partner, Westbrook",,"Looked up TaxParcelOwner in WA Corps & Charities, found ALTO 92 OWNER, LP, search on its company address in Fla found Westbrook Partners, search on that + 311 Ceder Street found record of sale to Westbrook but other records indicate it was a joint venture with Rise Properties.  Now we see a) Westbrook is still connected through Tax Parcel Owner, b) Rise is still connected by listing the Dorian (renamed from Alto) on their site.",Alice,3,Multifamily Housing,141084,ALTO APARTMENTS LLC - (2014),1.1,151,0.89,0,FALSE,31167,656000400,2020,Multifamily HR (10+),ALTO 92 OWNER LP,1,DOWNTOWN,,2011,SEATTLE,WA,98121,47.61725,-122.34844,,,Multifamily HR (10+),95,,34.4,35.1,6109536,5996723,71.4,72.3,2487649,24876,3509075,1028451,0,,176043,34959,1,17,Multifamily Housing,174142,Parking,35533,,,,No Issue,Compliant,,,Multifamily Housing
2134 WESTERN AVE,The Johnson Group,"Spartanburg, SC",3.2,Real Estate Development and Management,Private Ownership,"""Johnson Development Associates (JDA) develops multifamily, industrial, and storage properties nationwide and has an expanding expertise in master planned communities."", ""Johnson Development Associates (JDA) develops multifamily, industrial, and storage properties nationwide and has an expanding expertise in master planned communities."" ""Johnson Development has over 35 years of experience developing industrial, multifamily, and self-storage projects nationally."" They list dozens of large properties they've developed, and George Dean Johnson, Jr. donates literally millions to charity, and owner sold another business for $3.2B, so he's worth at least that",,"JDA purchased the property in 2015, and it's still listed on their website. Johnson Development Associates is part of the Johnson Group.",Alice,3,Multifamily Housing,126925,THE ELARA,1.1,143,0.89,0,FALSE,50522,1977200505,2020,Multifamily MR (5-9),SEATTLE CITY OF,1,DOWNTOWN,,2018,SEATTLE,SEATTLE,98121,47.61192,-122.34543,,,Multifamily MR (5-9),99,,26.8,27.2,4915377,4839682,51.2,51.6,2459633,24596,2380049,697552,0,,180605,53680,1,7,Multifamily Housing,180605,,,,,,No Issue,Compliant,,,Multifamily Housing
