,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,OSEBuildingID,BuildingName,BuildingType,Type_of_Bulding,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,Total_sqft,percent_sqft_1st,percent_sqft_2nd,percent_sqft_3rd,LargestPropertyUseType,LargestPropertyUseType OSE,LargestPropertyUseTypeGFA,LargestPropertyUseTypeGFA Analysis,SecondLargestPropertyUseType,SecondLargestPropertyUseType OSE,SecondLargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA Analysis,ThirdLargestPropertyUseType,ThirdLargestPropertyUseType OSE,ThirdLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA Analysis,Electricity(kBtu),Steam(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,Total_GFA,sq_ft_classification
335,335,335,335,484,FRED ROGERS BLDG,NonResidential,NonResidential,67380,67380,0,0,0.0,0.0,0.0,,,0,0,,,0,0,,,0,0,0,0,0,0.0,0.0,0,F
377,377,377,377,540,NWCP BLDG K,NonResidential,NonResidential,22780,22780,0,22780,1.0,0.0,0.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,22780,22780,,,0,0,,,0,0,363066,0,0,2.2,0.1,22780,E
385,385,385,385,551,RICHMARK PRINTING,NonResidential,NonResidential,75844,55916,19928,49516,0.73,0.0,0.27,Manufacturing/Industrial Plant,Other,36118,36118,Parking,,19928,0,Office,Office,13398,13398,3335889,0,263187,34.5,0.6,69444,D
391,391,391,391,558,QFC & DOLLAR STORE,NonResidential,NonResidential,58480,58480,0,44431,1.0,0.0,0.0,Supermarket/Grocery Store,Supermarket/Grocery Store,44431,44431,,,0,0,,,0,0,5547431,0,4194872,257.0,4.4,44431,D
403,403,403,403,572,BRIGHT HORIZONS,NonResidential,NonResidential,65000,50000,15000,30000,0.67,0.0,0.33,Office,Office,20000,20000,Parking,,15000,0,Other,Other,10000,10000,1574397,0,754806,49.8,1.0,45000,E
426,426,426,426,601,WALLINGFORD CENTER,NonResidential,NonResidential,53002,53002,0,49732,0.64,0.0,0.36,Retail Store,Retail Store,31602,31602,Parking,,27427,0,Multifamily Housing,Multifamily Housing,18130,18130,2268647,0,851368,59.2,1.1,77159,D
441,441,441,441,617,PACIFIC COMMERCIAL BUILDING,NonResidential,NonResidential,54805,54805,0,46000,1.0,0.0,0.0,Office,Office,46000,46000,,,0,0,,,0,0,3019486,0,0,18.6,0.3,46000,D
450,450,450,450,627,ROEBLING BLDG,NonResidential,NonResidential,58970,58970,0,0,0.0,0.0,0.0,,,0,0,,,0,0,,,0,0,0,0,0,0.0,0.0,0,F
464,464,464,464,642,BUFFALO SANITARY WIPERS CO,NonResidential,NonResidential,99084,99084,0,0,0.0,0.0,0.0,,,0,0,,,0,0,,,0,0,0,0,0,0.0,0.0,0,F
482,482,482,482,701,STAPLES BUILDING,NonResidential,NonResidential,50660,50660,0,0,0.0,0.0,0.0,,,0,0,,,0,0,,,0,0,0,0,0,0.0,0.0,0,F
492,492,492,492,687,FREMONT VILLAGE SQUARE-redevelopment,NonResidential,NonResidential,43540,43540,0,40835,0.52,0.34,0.14,Office,Office,21331,21331,Retail Store,Retail Store,13943,13943,Medical Office,Office,5561,5561,1801971,0,1138927,71.6,1.6,40835,D
502,502,502,502,702,THE END OF ELLIOTT COMPLEX,NonResidential,NonResidential,59800,59800,0,39879,1.0,0.0,0.0,Office,Office,39879,39879,,,0,0,,,0,0,1080272,0,847940,51.7,0.9,39879,D
551,551,551,551,760,BROADACRES BLDG,NonResidential,NonResidential,55520,55520,0,45820,0.37,0.33,0.29,Office,Office,17120,17120,Performing Arts,Entertainment/Public Assembly,15300,15300,Self-Storage Facility,Self-Storage Facility,13400,13400,1023340,1154317,2669394,148.1,2.7,45820,D
553,553,553,553,762,KRESS BUILDING,NonResidential,NonResidential,83118,83118,0,44693,1.0,0.0,0.0,Retail Store,Retail Store,44693,44693,,,0,0,,,0,0,1890962,0,681525,47.9,0.6,44693,D
606,606,606,606,831,600 BROADWAY,NonResidential,NonResidential,77412,55800,21612,47891,0.6,0.0,0.4,Office,Office,28691,28691,Parking,,21600,0,Pre-school/Daycare,Entertainment/Public Assembly,19200,19200,2210750,0,165174,22.4,0.4,69491,D
625,625,625,625,868,BMW SEATTLE - SHOWROOM & OFFICE,NonResidential,NonResidential,46984,46984,0,46280,1.0,0.0,0.0,Supermarket/Grocery Store,Supermarket/Grocery Store,46280,46280,,,0,0,,,0,0,5174728,0,4023562,245.6,5.2,46280,D
627,627,627,627,1281,4545 15TH AVE NE,NonResidential,NonResidential,66480,53280,13200,44612,0.69,0.31,0.0,Office,Office,30728,30728,Manufacturing/Industrial Plant,Other,13884,13884,Parking,,13200,0,4765735,0,0,29.4,0.6,57812,D
630,630,630,630,19441,BAGLEY LOFTS CONDOMINIUM,Multifamily LR (1-4),Multifamily,31334,31334,0,31334,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,31334,31334,,,0,0,,,0,0,700907,0,0,4.3,0.1,31334,D
631,631,631,631,19445,PACIFIC POINTE APTS/RETAIL,Multifamily LR (1-4),Multifamily,47658,47658,0,39751,0.92,0.08,0.0,Multifamily Housing,Multifamily Housing,36715,36715,Retail Store,Retail Store,3036,3036,,,0,0,1065489,0,0,6.6,0.1,39751,D
633,633,633,633,19451,Paramount Rehab and Nursing,NonResidential,NonResidential,24059,24059,0,24059,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,24059,24059,,,0,0,,,0,0,743846,0,0,4.6,0.2,24059,E
636,636,636,636,19456,The MOD,Multifamily LR (1-4),Multifamily,46873,29914,16959,29914,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,29914,29914,Parking,,16959,0,,,0,0,900152,0,0,5.5,0.2,46873,E
638,638,638,638,19461,UNIVERSITY UNITARIAN CHURCH,NonResidential,NonResidential,27160,23937,3223,23172,0.87,0.0,0.13,Multifamily Housing,Multifamily Housing,20148,20148,Parking,,3233,0,Office,Office,3024,3024,617124,0,0,3.8,0.2,26405,E
639,639,639,639,19462,WEDGEWOOD ELEMENTARY (SPS-DISTRICT),SPS-District K-12,Campus,22220,22220,0,22650,1.0,0.0,0.0,Worship Facility,Worship Facility,22650,22650,,,0,0,,,0,0,189328,0,26746,2.6,0.1,22650,E
642,642,642,642,19471,Julius Horton Building LLC,Multifamily LR (1-4),Multifamily,26211,26211,0,26211,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,26211,26211,,,0,0,,,0,0,249331,0,1162060,63.3,2.4,26211,E
643,643,643,643,19472,PUGET SOUND ENERGY GEORGETOWN OPER CTR,NonResidential,NonResidential,28260,28260,0,26627,0.53,0.26,0.2,Multifamily Housing,Multifamily Housing,14200,14200,Restaurant,Restaurant,7000,7000,Retail Store,Retail Store,5427,5427,1091818,0,1055027,62.8,2.2,26627,E
644,644,644,644,19477,GLACIER MARINE SERVICES,NonResidential,NonResidential,44700,44700,0,47870,0.5,0.29,0.21,Office,Office,23751,23751,Other,Other,14024,14024,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,10095,10095,1771159,0,487994,36.8,0.8,47870,D
645,645,645,645,19481,Emerald Services,NonResidential,NonResidential,44100,44100,0,40000,1.0,0.0,0.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,40000,40000,,,0,0,,,0,0,947254,0,0,5.8,0.1,40000,D
646,646,646,646,19484,THE COBB APARTMENTS,Multifamily HR (10+),Multifamily,27800,27800,0,27800,0.8,0.2,0.0,Distribution Center,Non-Refrigerated Warehouse,22300,22300,Office,Office,5500,5500,,,0,0,1033930,1970023,292186,21.9,0.8,27800,E
648,648,648,648,19491,PACIFIC MULTIFORMS INC - CAMPUS,Campus,Campus,46340,46340,0,46340,1.0,0.0,0.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,46340,46340,,,0,0,,,0,0,1752275,0,0,10.8,0.2,46340,D
649,649,649,649,19498,YESLER PLACE APTS,Multifamily LR (1-4),Multifamily,22800,22800,0,22800,1.0,0.0,0.0,Manufacturing/Industrial Plant,Other,22800,22800,,,0,0,,,0,0,465719,0,1493487,82.2,3.6,22800,E
650,650,650,650,19501,RLI BUILDING,NonResidential,NonResidential,37849,22852,14997,22852,0.52,0.48,0.0,Multifamily Housing,Multifamily Housing,11980,11980,Office,Office,10872,10872,Parking,,5500,0,573340,0,0,3.5,0.2,28352,E
651,651,651,651,19506,ADELAIDE CONDOMINIUM,Multifamily MR (5-9),Multifamily,38460,38460,0,38460,1.0,0.0,0.0,Office,Office,38460,38460,,,0,0,,,0,0,1395009,0,453346,32.7,0.8,38460,D
655,655,655,655,19519,ASIA CONDOMINIUM,Multifamily MR (5-9),Multifamily,21888,21888,0,21888,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,21888,21888,Parking,,5500,0,,,0,0,529226,0,197972,13.8,0.6,27388,E
657,657,657,657,19528,ALEXANDER COURT CONDOMINIUM,Multifamily LR (1-4),Multifamily,21022,21022,0,21022,1.0,0.0,0.0,Worship Facility,Worship Facility,21022,21022,,,0,0,,,0,0,85409,0,820238,44.1,2.1,21022,E
658,658,658,658,19532,ALEXANDRIA CONDOMINIUM,Multifamily MR (5-9),Multifamily,30240,30240,0,25200,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,25200,25200,,,0,0,,,0,0,711365,0,0,4.4,0.1,25200,E
659,659,659,659,19533,ALII-KAI CONDOMINIUM,Multifamily LR (1-4),Multifamily,59440,59440,0,49532,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,49532,49532,,,0,0,,,0,0,1663080,0,664343,45.5,0.8,49532,D
660,660,660,660,19534,ALKI CONDOMINIUM,Multifamily LR (1-4),Multifamily,22445,22445,0,20996,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,20996,20996,Parking,,6526,0,,,0,0,476580,0,0,2.9,0.1,27522,E
661,661,661,661,19535,ALKI BEACH TOWERS CONDOMINIUM,Multifamily MR (5-9),Multifamily,45878,45878,0,45878,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,45878,45878,,,0,0,,,0,0,1065974,0,0,6.6,0.1,45878,D
662,662,662,662,19536,ALKI BONAIR CONDOMINIUM,Multifamily LR (1-4),Multifamily,37824,37824,0,37824,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,37824,37824,,,0,0,,,0,0,640983,0,349404,22.5,0.6,37824,D
663,663,663,663,19537,ALKI ELEMENTARY SCHOOL & COMMUNITY CENTER (SPS-DISTRICT),SPS-District K-12,Campus,38765,38765,0,32350,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,32350,32350,,,0,0,,,0,0,693581,0,592044,35.7,0.9,32350,D
665,665,665,665,19549,AVALON PLACE CONDOMINIUM,Multifamily MR (5-9),Multifamily,26815,26815,0,22736,0.89,0.06,0.04,Multifamily Housing,Multifamily Housing,20347,20347,Retail Store,Retail Store,1439,1439,Office,Office,950,950,548976,0,345491,21.7,0.8,22736,E
666,666,666,666,19550,AVANTI APARTMENTS,Multifamily MR (5-9),Multifamily,22529,22529,0,22529,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,22529,22529,,,0,0,,,0,0,279562,0,362146,21.0,0.9,22529,E
668,668,668,668,19565,NELSON TRUCKING,NonResidential,NonResidential,48001,48001,0,48001,1.0,0.0,0.0,Distribution Center,Non-Refrigerated Warehouse,48001,48001,,,0,0,,,0,0,557077,0,2366725,129.1,2.7,48001,D
669,669,669,669,19570,PAPE' MATERIAL HANDLING,NonResidential,NonResidential,26380,26380,0,26380,0.9,0.1,0.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,23620,23620,Office,Office,2760,2760,,,0,0,460325,0,0,2.8,0.1,26380,E
670,670,670,670,19572,WALL & CEILING SUPPLY CO,NonResidential,NonResidential,37351,37351,0,39120,0.76,0.24,0.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,29551,29551,Office,Office,9569,9569,,,0,0,939713,0,1352496,77.6,2.1,39120,D
671,671,671,671,19576,PAPE' MATERIAL HANDLING,NonResidential,NonResidential,30375,30375,0,30375,1.0,0.0,0.0,Distribution Center,Non-Refrigerated Warehouse,30375,30375,,,0,0,,,0,0,0,0,0,0.0,0.0,30375,D
672,672,672,672,19579,MANNING PLACE,Multifamily LR (1-4),Multifamily,30004,30004,0,29230,0.83,0.17,0.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,24280,24280,Office,Office,4950,4950,,,0,0,1137720,0,0,7.0,0.2,29230,E
673,673,673,673,19583,AVENUE ONE CONDOMINIUM,Multifamily HR (10+),Multifamily,32235,21991,10244,21991,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,21991,21991,Parking,,10244,0,,,0,0,675203,0,0,4.2,0.2,32235,E
675,675,675,675,19590,AZUL FLATS IN FREMONT CONDOMINIUM,Multifamily LR (1-4),Multifamily,39971,39971,0,39971,0.91,0.08,0.02,Other,Other,36185,36185,Retail Store,Retail Store,3142,3142,Office,Office,644,644,3579065,0,9362253,519.3,13.0,39971,D
676,676,676,676,19596,BALLARD FREE METHODIST CHURCH,NonResidential,NonResidential,23976,23976,0,23976,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,23976,23976,,,0,0,,,0,0,597963,0,0,3.7,0.2,23976,E
677,677,677,677,19601,"BALLARD PLACE CONDOMINIUM (1556 NW 56TH ST, SEATTL",Multifamily MR (5-9),Multifamily,33589,33589,0,33589,1.0,0.0,0.0,Worship Facility,Worship Facility,33589,33589,,,0,0,,,0,0,123565,0,555016,30.2,0.9,33589,D
679,679,679,679,19613,SALMON BAY CENTER 5303,NonResidential,NonResidential,25368,25368,0,25368,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,25368,25368,,,0,0,,,0,0,566356,0,279183,18.3,0.7,25368,E
680,680,680,680,19621,BALLARD ELKS,NonResidential,NonResidential,43500,43500,0,41887,1.0,0.0,0.0,Office,Office,41887,41887,,,0,0,,,0,0,3253386,0,0,20.1,0.5,41887,D
681,681,681,681,19623,SHILSHOLE LANDING,NonResidential,NonResidential,28492,28492,0,32492,0.88,0.09,0.03,Social/Meeting Hall,Entertainment/Public Assembly,28492,28492,Other - Restaurant/Bar,Restaurant,3000,3000,Office,Office,1000,1000,1277692,0,590199,39.2,1.4,32492,D
682,682,682,682,19624,ANTHONY'S HOMEPORT,NonResidential,NonResidential,22325,22325,0,20800,0.87,0.09,0.05,Office,Office,18000,18000,Medical Office,Office,1800,1800,Other,Other,1000,1000,918613,0,0,5.7,0.3,20800,E
683,683,683,683,19653,OLIVE TOWER APTS,Multifamily HR (10+),Multifamily,22719,22719,0,22719,1.0,0.0,0.0,Restaurant,Restaurant,22719,22719,Parking,,0,0,,,0,0,281242,0,0,1.7,0.1,22719,E
684,684,684,684,19654,1100 OLIVE BUILDING TARGETED GENETICS,NonResidential,NonResidential,50141,50141,0,33608,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,33608,33608,,,0,0,,,0,0,830326,0,1592860,89.7,1.8,33608,D
685,685,685,685,19661,BALFOUR PLACE APTS,Multifamily MR (5-9),Multifamily,44588,22588,22000,44588,0.89,0.0,0.11,Laboratory,Laboratory,39588,39588,Parking,,22000,0,Office,Office,5000,5000,7826231,0,0,48.2,2.1,66588,D
688,688,688,688,19667,BELLAGIO CONDOMINIUM,Multifamily MR (5-9),Multifamily,37992,37992,0,32550,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,32550,32550,,,0,0,,,0,0,638199,0,537434,32.5,0.9,32550,D
689,689,689,689,19668,BELLAGIO ON CAPITOL HILL CONDOMINIUM,Multifamily LR (1-4),Multifamily,62876,62876,0,42657,0.93,0.0,0.07,Multifamily Housing,Multifamily Housing,39684,39684,Parking,,11095,0,Medical Office,Office,2973,2973,1331081,0,0,8.2,0.1,53752,D
690,690,690,690,19669,THE BEN LOMOND,Multifamily MR (5-9),Multifamily,40562,40562,0,37396,0.97,0.03,0.0,Multifamily Housing,Multifamily Housing,36300,36300,Retail Store,Retail Store,1096,1096,,,0,0,785428,0,337936,22.8,0.6,37396,D
691,691,691,691,19670,THE ROUNDCLIFFE,Multifamily LR (1-4),Multifamily,40489,40489,0,40489,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,40489,40489,,,0,0,,,0,0,490841,0,1797735,98.5,2.4,40489,D
692,692,692,692,19671,SIR GALAHAD APT,Multifamily LR (1-4),Multifamily,34800,28500,6300,28500,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,28500,28500,Parking,,6300,0,,,0,0,842571,0,0,5.2,0.2,34800,E
693,693,693,693,19673,BELLORA,Multifamily HR (10+),Multifamily,28058,24169,3889,24169,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,24169,24169,Parking,,3889,0,,,0,0,435197,0,321936,19.8,0.8,28058,E
698,698,698,698,19682,THE AUDREY AT BELLTOWN,Multifamily MR (5-9),Multifamily,31020,31020,0,31020,1.0,0.0,0.0,Restaurant,Restaurant,31020,31020,,,0,0,,,0,0,1167928,0,3320026,183.5,5.9,31020,D
700,700,700,700,19690,BANNER BUILDING THE CONDOMINIUM,Multifamily MR (5-9),Multifamily,33400,33400,0,33400,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,33400,33400,,,0,0,,,0,0,504206,0,1246928,69.3,2.1,33400,D
702,702,702,702,19695,BARCLAY COURT CONDOMINIUM,Multifamily LR (1-4),Multifamily,37327,37327,0,48887,1.0,0.0,0.0,K-12 School,K-12 School,48887,48887,,,0,0,,,0,0,722301,0,979550,56.5,1.5,48887,D
703,703,703,703,19696,GOODWILL LANE ST,NonResidential,NonResidential,37619,37619,0,37619,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,37619,37619,,,0,0,,,0,0,540135,0,452597,27.4,0.7,37619,D
705,705,705,705,19699,BARRETT CONDOMINIUM,Multifamily LR (1-4),Multifamily,21462,21462,0,29176,1.0,0.0,0.0,Energy/Power Station,Other,29176,29176,,,0,0,,,0,0,1468233,0,0,9.1,0.4,29176,E
706,706,706,706,19704,WESTVIEW APARTMENT HOMES,Multifamily LR (1-4),Multifamily,24178,24178,0,34476,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,34476,34476,,,0,0,,,0,0,510982,0,585616,34.3,1.4,34476,D
708,708,708,708,19708,BAY VISTA RESIDENTIAL TOWER,Multifamily HR (10+),Multifamily,30720,30720,0,30720,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,30720,30720,,,0,0,,,0,0,599771,0,371346,23.4,0.8,30720,D
710,710,710,710,19712,BAYVIEW BALLARD CONDOMINIUM,Multifamily MR (5-9),Multifamily,38970,38970,0,38970,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,38970,38970,,,0,0,,,0,0,844958,0,0,5.2,0.1,38970,D
711,711,711,711,19715,BAYWATCH AT MAGNOLIA CONDOMINIUM,Multifamily LR (1-4),Multifamily,24648,24648,0,24648,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,24648,24648,,,0,0,,,0,0,522292,0,0,3.2,0.1,24648,E
712,712,712,712,19730,PHINNEY NEIGHBORHOOD CTR BRICK BLDG,NonResidential,NonResidential,34270,34270,0,21136,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,21136,21136,,,0,0,,,0,0,671322,0,0,4.1,0.1,21136,E
713,713,713,713,19736,BELCOURT PLACE CONDOMINIUM,Multifamily LR (1-4),Multifamily,23835,23835,0,23835,1.0,0.0,0.0,Social/Meeting Hall,Entertainment/Public Assembly,23835,23835,,,0,0,,,0,0,186673,0,1123574,60.8,2.6,23835,E
714,714,714,714,19740,ELLIS COURT,Multifamily MR (5-9),Multifamily,24864,24864,0,24864,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,24864,24864,,,0,0,,,0,0,601205,0,0,3.7,0.1,24864,E
715,715,715,715,19741,FIRST AND VINE APARTMENTS,Multifamily MR (5-9),Multifamily,39050,39050,0,30199,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,30199,30199,Parking,,0,0,,,0,0,1134348,0,0,7.0,0.2,30199,D
716,716,716,716,19743,THE MILLIONAIR CLUB,NonResidential,NonResidential,77800,77800,0,46300,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,46300,46300,,,0,0,,,0,0,2069841,0,630893,46.3,0.6,46300,D
717,717,717,717,19746,ARTTECH & FINE ART FRAMING,NonResidential,NonResidential,21600,21600,0,21600,0.5,0.5,0.0,Office,Office,10800,10800,Restaurant,Restaurant,10800,10800,,,0,0,989062,0,166681,15.0,0.7,21600,E
718,718,718,718,19747,FIRST & CEDAR BUILDING,NonResidential,NonResidential,23000,23000,0,23000,1.0,0.0,0.0,Other,Other,23000,23000,Office,Office,0,0,,,0,0,310700,0,587948,33.1,1.4,23000,E
719,719,719,719,19748,OLYMPUS APTS,Multifamily HR (10+),Multifamily,61825,48505,13320,41540,0.91,0.09,0.0,Office,Office,37993,37993,Bank Branch,Retail Store,3547,3547,,,0,0,1758477,0,2616475,149.8,3.1,41540,D
723,723,723,723,19753,NEW PACIFIC APARTMENTS,Multifamily LR (1-4),Multifamily,20920,20920,0,20920,1.0,0.0,0.0,Worship Facility,Worship Facility,20920,20920,,,0,0,,,0,0,194630,0,1399266,75.5,3.6,20920,E
724,724,724,724,19754,HUMPHREY HOUSE APARTMENTS,Multifamily MR (5-9),Multifamily,26640,26640,0,26640,0.78,0.22,0.0,Multifamily Housing,Multifamily Housing,20840,20840,Restaurant,Restaurant,5800,5800,,,0,0,1049351,0,1057931,62.7,2.4,26640,E
725,725,725,725,19755,"2607 Building, LLC",NonResidential,NonResidential,40329,40329,0,39430,0.93,0.05,0.02,Multifamily Housing,Multifamily Housing,36514,36514,Food Service,Restaurant,2132,2132,Office,Office,784,784,1409754,0,2780080,156.3,3.9,39430,D
726,726,726,726,19756,VINECOURT APTS,Multifamily LR (1-4),Multifamily,20565,20565,0,20565,1.0,0.0,0.0,Office,Office,20565,20565,,,0,0,,,0,0,807111,0,0,5.0,0.2,20565,E
727,727,727,727,19757,OREGON APARTMENTS,Multifamily LR (1-4),Multifamily,34880,34880,0,40987,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,40987,40987,,,0,0,,,0,0,935468,0,0,5.8,0.2,40987,D
