,OSEBuildingID,TaxParcelIdentificationNumber,DataYear,BuildingType,BuildingName,Owner,CouncilDistrictCode,Neighborhood,Units,YearBuilt,Address,City,State,ZipCode,Latitude,Longitude,PrimaryPropertyType,ListOfAllPropertyUseTypes,EPAPropertyType,TotalGHGEmissions__metric_tons_,ENERGYSTARScore,YearsENERGYSTARCertified,SiteEUI_kBtu_sf_,SiteEUIWN_kBtu_sf_,SiteEnergyUse_kBtu_,SiteEnergyUseWN_kBtu_,SourceEUI_kBtu_sf_,SourceEUIWN_kBtu_sf_,GHGEmissionsIntensityKgSqFt,NaturalGas_kBtu_,NaturalGas_therms_,Electricity_kBtu_,Electricity_kWh_,SteamUse_kBtu_,OtherFuelUse_kBtu_,PropertyGFATotal,PropertyGFABuilding_s_,PropertyGFAParking,NumberofBuildings,NumberofFloors,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Outlier,ComplianceIssue,ComplianceStatus,Comments,DefaultData,LegislationPropertyType,electric_co2_m3_kwh
38,50313,6003000310,2020,Multifamily MR (5-9),BERYL APARTMANTS,1200 PIKE LLC,1,EAST,,2015,1200 E PIKE ST,SEATTLE,SEATTLE,,47.6143,-122.31642,,,Multifamily MR (5-9),0.0,,,,,,,,,0.0,0,0,0,0,0,0,73965,60645,13320,1,6,Multifamily Housing,78045,,,,,,Missing 2020 EUI or Electricity Data,Not Compliant,,,Multifamily Housing,
44,50335,9822000560,2020,Multifamily MR (5-9),HOA MAI GARDENS,,1,EAST,,2015,221 10TH ST S,SEATTLE,SEATTLE,,47.60052,-122.3196,,,Multifamily MR (5-9),17.8,97,,22.2,22.6,3406590,3352884,62.3,63.3,0.1,0,0,3352885,982674,0,0,146425,126667,19758,1,7,Multifamily Housing,150730,Parking,19604,,,,No Issue,Compliant,,,Multifamily Housing,1.811384039874872e-05
51,50195,2771600911,2020,NonResidential,TOTAL WINE AND MORE,1550 ARMORY LLC,1,MAGNOLIA / QUEEN ANNE,,2016,1550 W ARMORY WAY,SEATTLE,SEATTLE,,47.63849,-122.37695,,,Supermarket/Grocery Store,6.9,99,,50.5,50.5,1300460,1300460,141.3,141.3,0.3,0,0,1300460,381143,0,0,25065,25065,0,1,1,Supermarket/Grocery Store,25763,,,,,,No Issue,Compliant,,,Supermarket/Grocery Store,1.810344149046421e-05
65,61,1975700600,2020,NonResidential,PALIHOTEL,101 PINE STREET LLC,1,DOWNTOWN,96,1900,107 PINE ST,SEATTLE,WA,98101,47.60973,-122.34038,,,Hotel,0.0,,,,,,,,,0.0,0,0,0,0,0,0,50510,50510,0,1,4,Hotel,46409,,,,,,Missing 2020 EUI or Electricity Data,Not Compliant,,,Hotel,
79,295,2302700000,2020,NonResidential,CENTURYLINK: 3RD AVE 3-D,,1,DOWNTOWN,NOT_FOUND,1955,1122 3RD AVE,SEATTLE,WA,98101,47.60699,-122.33481,,,Other,317.4,,,294.0,293.0,59477384,59679700,823.2,820.4,1.5,0,0,59679701,17491120,0,0,208328,208328,0,1,15,Other,203000,,,,,,No Issue,Compliant,,,Other,1.8146350834023205e-05
82,57,1975700200,2020,NonResidential,5TH & PINE,FIFTH & PINE LLC,1,DOWNTOWN,NOT_FOUND,1973,1513 5TH AVE,SEATTLE,WA,98101,47.6113,-122.33659,,,Office,36.2,77,,40.1,40.1,6804418,6804418,112.4,112.4,0.4,0,0,6804419,1994261,0,0,88717,88717,0,1,5,Office,103362,Retail Store,65676,Data Center,493,,No Issue,Compliant,,,Office,1.8152087414836876e-05
83,59,1975700380,2020,NonResidential,GIBRALTAR TOWER,GIBRALTAR TOWER LLC,1,DOWNTOWN,NOT_FOUND,1910,1518 3RD AVE,SEATTLE,WA,98101,47.61048,-122.33794,,,Office,10.1,,,34.6,34.6,1904342,1904342,97.0,97.0,0.2,0,0,1904342,558131,0,0,59400,59400,0,1,8,Office,48366,Retail Store,6619,,,,No Issue,Compliant,,,Office,1.8096110053016228e-05
84,326,9301500000,2020,NonResidential,WESTLAKE TOWER,,1,DOWNTOWN,NOT_FOUND,1989,1601 5TH AVE,SEATTLE,WA,98101,47.61192,-122.33717,,,Office,92.4,91,,44.2,44.2,17375758,17375758,123.9,123.9,0.2,0,0,17375757,5092543,0,0,516342,389150,127192,1,25,Office,392829,Parking,127192,,,,No Issue,Compliant,,,Mixed Use Property,1.8144176691291563e-05
89,332,659000385,2020,NonResidential,TIMES SQUARE BUILDING (THE VANCE CORPORATION),TIMES SQUARE BUILDING LLC,1,DOWNTOWN,NOT_FOUND,1916,414 OLIVE WAY,SEATTLE,WA,98101,47.61256,-122.33808,,,Office,14.7,80,,37.8,38.6,2831066,2771554,105.7,108.0,0.2,0,0,2771554,812296,0,0,73399,73399,0,1,5,Office,54615,Retail Store,18784,,,,No Issue,Compliant,,,Office,1.8096851394073096e-05
93,348,942000025,2020,NonResidential,1101 SECOND AVE OFFICE BUILDING,US VI SENECA OFFICE LLC +NORTHWOOD INVESTORS LLC,1,DOWNTOWN,NOT_FOUND,1968,1101 2ND AVE,SEATTLE,WA,98101,47.60581,-122.33664,,,Office,21.2,85,,45.7,45.7,3987396,3987396,127.9,127.9,0.2,0,0,3987396,1168639,0,0,147672,87315,60357,1,8,Office,87315,Parking,60357,,,,No Issue,Compliant,,,Office,1.8140760320338443e-05
103,388,7137830040,2020,NonResidential,RAINIER TOWER,,1,DOWNTOWN,NOT_FOUND,1976,1301 5TH AVE,SEATTLE,WA,98101,47.60896,-122.33481,,,Office,198.4,56,,78.0,79.8,38187180,37315664,218.3,223.4,0.4,0,0,37315679,10936600,0,0,476871,476871,0,1,42,Office,478569,,,,,,No Issue,Compliant,,,Office,1.8140921310096375e-05
105,402,1975700080,2020,NonResidential,US BANK CENTRE,BPP 1420 FIFTH AVE OWNER LLC,7,DOWNTOWN,NOT_FOUND,1989,1420 5TH AVE,SEATTLE,WA,98101,47.61054,-122.33466,,,Office,227.7,85,,39.2,39.5,43093192,42821868,109.9,110.6,0.2,0,0,42821862,12550370,0,0,1536606,1023998,512608,1,46,Office,1019660,Parking,377046,Other,47271,,No Issue,Compliant,,,Office,1.8142891404795237e-05
107,404,1975700115,2020,NonResidential,O'SHEA BUILDING/GAP,OSHEA BUILDING CO %MARTHA H KEARNS,1,DOWNTOWN,NOT_FOUND,1914,1524 5TH AVE,SEATTLE,WA,98101,47.61159,-122.33601,,,Office,17.2,74,,40.5,40.5,3235856,3235856,113.3,113.3,0.2,0,0,3235856,948375,0,0,79957,79957,0,1,4,Office,62287,Retail Store,17670,,,,No Issue,Compliant,,,Office,1.8136285751944114e-05
109,406,1975700160,2020,NonResidential,520 PIKE BUILDING,520 PIKE STREET INC,7,DOWNTOWN,NOT_FOUND,1983,520 PIKE ST,SEATTLE,WA,98101,47.61125,-122.33494,,,Office,80.5,89,,35.6,36.0,15345281,15142066,99.6,100.9,0.2,0,0,15142067,4437886,0,0,500000,500000,0,1,29,Office,411301,Parking,80005,Retail Store,14528,,No Issue,Compliant,,,Office,1.813926720965793e-05
111,409,1975700240,2020,NonResidential,WASHINGTON FEDERAL BUILDING,,7,DOWNTOWN,NOT_FOUND,1984,425 PIKE ST,SEATTLE,WA,98101,47.61033,-122.3357,,,Office,28.2,67,,63.5,63.5,5301894,5301894,177.8,177.8,0.3,0,0,5301893,1553896,0,0,109830,96630,13200,1,6,Office,72748,Parking,13321,Retail Store,8521,,No Issue,Compliant,,,Office,1.814793268017937e-05
113,412,1975700330,2020,NonResidential,MIKEN BLDG.,GO-BRICKMAN MIKEN OWNER LLC,1,DOWNTOWN,NOT_FOUND,1920,1417 4TH AVE,SEATTLE,WA,98101,47.60953,-122.33647,,,Office,9.2,92,,28.2,28.2,1739212,1739212,79.1,79.1,0.2,0,0,1739212,509734,0,0,60660,60660,0,1,8,Office,56567,Retail Store,5000,,,,No Issue,Compliant,,,Office,1.8048629285078098e-05
115,414,1975700345,2020,NonResidential,1411 BUILDING,ONNI 1411 FOURTH DEVELOPMENT LP,7,DOWNTOWN,NOT_FOUND,1929,1411 4TH AVE,SEATTLE,WA,98101,47.60923,-122.33625,,,Office,44.7,91,,68.1,69.8,8617353,8403113,190.6,195.5,0.3,0,0,8403115,2462812,0,0,151039,151039,0,1,15,Office,120088,Bank Branch,3342,,,,No Issue,Compliant,,,Office,1.8149984651690833e-05
117,417,1975700465,2020,NonResidential,MELBOURNE TOWER OFF,,7,DOWNTOWN,NOT_FOUND,1927,1511 3RD AVE,SEATTLE,WA,98101,47.60987,-122.33824,,,Office,35.9,84,,52.6,53.7,6895359,6757990,147.4,150.4,0.3,0,0,6757991,1980654,0,0,130893,130893,0,1,10,Office,101013,Supermarket/Grocery Store,27377,,,,No Issue,Compliant,,,Office,1.8125326281117247e-05
121,424,1976700185,2020,NonResidential,PARK PLACE OFFICE BLDG,URG PARK PLACE LLC,1,DOWNTOWN,NOT_FOUND,1971,1200 6TH AVE,SEATTLE,WA,98101,47.60909,-122.33202,,,Office,100.1,68,,53.6,54.3,19062034,18827496,150.2,152.0,0.3,0,0,18827494,5518023,0,0,456304,353366,102938,1,21,Office,340620,Parking,102938,Pre-school/Daycare,4674,,No Issue,Compliant,,,Office,1.8140555050241726e-05
122,425,1977200020,2020,NonResidential,"101 Stewart Street, LLC",101 STEWART STREET LLC,1,DOWNTOWN,NOT_FOUND,1986,101 STEWART ST,SEATTLE,WA,98101,47.61029,-122.34089,,,Office,22.3,82,,41.6,41.6,4190638,4190638,116.5,116.5,0.2,0,0,4190639,1228206,0,0,115857,100717,15140,1,12,Office,100717,Parking,15140,,,,No Issue,Compliant,,,Office,1.8156563312669047e-05
127,660,1975700220,2020,NonResidential,1505 5TH AVE,WESTERN OFFICE PORTFOLIO PROPERTY OWNER LLC,7,DOWNTOWN,NOT_FOUND,1926,1501 5TH AVE,SEATTLE,WA,98101,47.61077,-122.3361,,,Office,29.1,97,,56.6,57.2,5533974,5479418,158.4,160.0,0.3,0,0,5479420,1605926,0,0,97720,97720,0,1,6,Office,63661,Retail Store,19954,Data Center,13216,,No Issue,Compliant,,,Office,1.812038661806335e-05
129,690,5342900030,2020,NonResidential,ONE CONVENTION PLACE,SFERS REAL ESTATE CORP FF,1,DOWNTOWN,NOT_FOUND,2001,701 PIKE ST,SEATTLE,WA,98101,47.6115,-122.33278,,,Office,72.2,84,,38.7,38.7,13577328,13577328,108.4,108.4,0.2,0,0,13577327,3979287,0,0,538933,454273,84660,1,23,Office,350811,Parking,108325,,,,No Issue,Compliant,,,Office,1.8143953929435097e-05
133,754,659000305,2020,NonResidential,720 OLIVE BLDG,PPF OFF 720 OLIVE WAY LLC,1,DOWNTOWN,NOT_FOUND,1981,720 OLIVE WAY,SEATTLE,WA,98101,47.61418,-122.33485,,,Office,80.6,82,,46.0,46.0,15153997,15153997,128.8,128.8,0.3,0,0,15153995,4441382,0,0,383515,293737,89778,1,19,Office,329378,Parking,91000,,,,No Issue,Compliant,,,Office,1.814750453800191e-05
138,766,1975200015,2020,NonResidential,1200 3RD AVENUE,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,7,DOWNTOWN,NOT_FOUND,1921,1200 3RD AVE,SEATTLE,WA,98101,47.60741,-122.33565,,,Office,95.2,58,,109.7,109.7,17908318,17908318,307.2,307.2,0.5,0,0,17908319,5248628,0,0,189175,189175,0,1,13,Office,146697,Data Center,12017,Other - Restaurant/Bar,4518,,No Issue,Compliant,,,Office,1.813807341651952e-05
145,21315,1975700135,2020,NonResidential,1518 5TH AVE OFFICE,ARZCO 1 INVESTMENT CORP,1,DOWNTOWN,NOT_FOUND,1903,1520 5TH AVE,SEATTLE,WA,98101,47.61119,-122.33581,,,Office,7.8,,,53.3,53.3,1459310,1459310,149.1,149.1,0.2,0,0,1459310,427699,0,0,40260,40260,0,1,3,Office,27400,,,,,,No Issue,Compliant,,,Office,1.82371247068616e-05
146,21318,1975700195,2020,NonResidential,WESTLAKE PLACE,SEATTLE CITY OF,7,DOWNTOWN,NOT_FOUND,1907,1514 4TH AVE,SEATTLE,WA,98101,47.61091,-122.33667,,,Office,6.2,70,,32.9,32.9,1158363,1158363,92.1,92.1,0.2,0,0,1158363,339497,0,0,35200,35200,0,1,6,Office,35200,,,,,,No Issue,Compliant,,,Office,1.8262311596273312e-05
151,21495,1977200420,2020,NonResidential,ALASKA TRADE BUILDING,ALASKA TRADE BLDG LLC,1,DOWNTOWN,NOT_FOUND,1910,1917 1ST AVE,SEATTLE,WA,98101,47.61041,-122.34214,,,Office,9.6,,,49.7,49.7,1796375,1796375,139.1,139.1,0.3,0,0,1796375,526487,0,0,36160,36160,0,1,4,Office,18160,Restaurant,18000,,,,No Issue,Compliant,,,Office,1.8234068457530763e-05
160,19654,660002030,2020,NonResidential,1100 OLIVE BUILDING TARGETED GENETICS,TMT OLIVE LAB INC,7,DOWNTOWN,NOT_FOUND,1946,1100 OLIVE WAY,SEATTLE,WA,98101,47.61597,-122.33086,,,Laboratory,38.8,,,163.5,163.5,7292060,7292060,457.9,457.9,1.7,0,0,7292058,2137180,0,0,44588,22588,22000,1,2,Laboratory,39588,Parking,22000,Office,5000,,Account Requires Verification,Not Compliant,,,Laboratory,1.815476468991849e-05
163,21321,1975700281,2020,NonResidential,Fifth and Union,1405 FIFTH & UNION ASSOCIATES LLC,7,DOWNTOWN,NOT_FOUND,1941,1401 5TH AVE,SEATTLE,WA,98101,47.60985,-122.33527,,,Bank Branch,0.0,,,,,,,,,0.0,0,0,0,0,0,0,25920,25920,0,1,2,Bank Branch,23230,,,,,,Missing 2020 EUI or Electricity Data,Not Compliant,,,Services,
164,20168,660001365,2020,NonResidential,SPRUCE STREET SCHOOL,YUEN LUI STUDIO INC,7,DOWNTOWN,NOT_FOUND,1995,914 VIRGINIA ST,SEATTLE,WA,98101,47.61687,-122.33533,,,K-12 School,5.4,15,,44.5,45.4,1037770,1017688,124.7,127.1,0.2,0,0,1017687,298267,0,0,22860,22860,0,1,3,K-12 School,22860,,,,,,No Issue,Compliant,,,K-12 School,1.8104584147760228e-05
169,21097,1977201070,2020,NonResidential,BERGMAN'S LUGGAGE,BARNES BROOKE A,7,DOWNTOWN,NOT_FOUND,1916,1907 3RD AVE,SEATTLE,WA,98101,47.61165,-122.34011,,,Retail Store,1.6,49,,11.4,11.4,296196,296196,32.0,32.0,0.1,0,0,296196,86810,0,0,25920,25920,0,1,2,Retail Store,25920,,,,,,No Issue,Compliant,,,Retail Store,1.843105632991591e-05
171,21317,1975700155,2020,NonResidential,COLISEUM BUILDING,COLISEUM BUILDING LLC,1,DOWNTOWN,NOT_FOUND,1915,1506 5TH AVE,SEATTLE,WA,98101,47.61103,-122.33549,,,Retail Store,7.6,69,,39.4,39.4,1438285,1438285,110.3,110.3,0.2,0,0,1438285,421537,0,0,36504,36504,0,1,1,Retail Store,36504,,,,,,No Issue,Compliant,,,Retail Store,1.802925959049858e-05
174,19550,322800000,2020,Multifamily MR (5-9),AVANTI APARTMENTS,AEW SBCO SEATTLE LLC,7,EAST,93,1991,1401 BOREN AVE,SEATTLE,WA,98101,47.61258,-122.32846,,,Unclassified,0.0,,,,,,,,,0.0,0,0,0,0,0,0,148474,88424,60050,1,8,,,,,,,,Portfolio Manager Account Not Shared,Not Compliant,,,Other,
177,21471,1975700645,2020,NonResidential,STATE HOTEL,1921 27 FIFTH AVENUE HOLDINGS LLC,1,DOWNTOWN,NOT_FOUND,1904,1501 2ND AVE,SEATTLE,WA,98101,47.60943,-122.33936,,,Unclassified,0.0,,,,,,,,,0.0,0,0,0,0,0,0,44928,44928,0,1,8,,,,,,,,Portfolio Manager Account Not Shared,Not Compliant,,,Other,
178,21862,2382000000,2020,Multifamily HR (10+),ESCALA,BRADDOCK LORNE SCOTT,1,DOWNTOWN,NOT_FOUND,2010,1920 4TH AVE,SEATTLE,WA,98101,47.61296,-122.33926,,,Unclassified,0.0,,,,,,,,,0.0,0,0,0,0,0,0,480789,480789,0,1,31,,,,,,,,Portfolio Manager Account Not Shared,Not Compliant,,,Other,
193,756,1976700005,2020,NonResidential,OLD NAVY,601 PINE STREET INVESTMENT GROUP INC,1,DOWNTOWN,NOT_FOUND,1929,601 PINE ST,SEATTLE,WA,98101,47.61203,-122.33486,,,Mixed Use Property,21.2,,,50.6,50.6,3991472,3991472,141.6,141.6,0.3,0,0,3991474,1169834,0,0,78920,78920,0,1,4,Retail Store,38680,"Personal Services (Health/Beauty, Dry Cleaning, etc)",31176,Other,9064,,No Issue,Compliant,,,Mixed Use Property,1.8122229307747937e-05
200,21481,1976200210,2020,Campus,SANITARY MARKET - MASTER CAMPUS FOR PIKE PLACE MARKET,PIKE PLACE MARKET PRESERVATION,7,DOWNTOWN,22,1942,1513 1ST AVE,SEATTLE,WA,98101,47.60918,-122.34079,,,Multifamily Housing,15.0,,,63.8,63.8,2830014,2830014,178.7,178.7,0.3,0,0,2830015,829430,0,0,45500,45500,0,1,4,Multifamily Housing,22669,Retail Store,10455,Restaurant,3668,,No Issue,Compliant,,,Multifamily Housing,1.8084708775906346e-05
214,21372,1979200186,2020,Multifamily HR (10+),LOWELL-EMERSON,LOWELL EMERSON ASSOCIATES LLC,7,EAST,158,1928,1102 8TH AVE,SEATTLE,WA,98101,47.60892,-122.32896,,,Multifamily HR (10+),8.5,,,15.1,15.1,1601142,1601142,42.4,42.4,0.1,0,0,1601142,469268,0,0,105776,105776,0,1,11,Multifamily Housing,104426,Retail Store,1350,,,,Account Requires Verification,Not Compliant,,,Multifamily Housing,1.811331691059267e-05
219,23421,8600300000,2020,Multifamily HR (10+),1300 UNIVERSITY CONDOMINIUM,,1,EAST,NOT_FOUND,1980,1300 UNIVERSITY ST,SEATTLE,WA,98101,47.61273,-122.32481,,,Multifamily HR (10+),9.1,89,,32.1,33.2,1770468,1712508,90.0,93.0,0.2,0,0,1712508,501907,0,0,53290,53290,0,1,11,Multifamily Housing,53290,Parking,28184,,,,No Issue,Compliant,,,Multifamily Housing,1.8130848942134697e-05
221,23948,5070700000,2020,Multifamily HR (10+),MANHATTAN CONDOMINIUM,,1,EAST,NOT_FOUND,1960,1200 BOYLSTON AVE,SEATTLE,WA,98101,47.61249,-122.32303,,,Multifamily HR (10+),2.8,100,,15.2,15.2,533689,533689,42.7,42.7,0.1,0,0,533689,156415,0,0,38220,38220,0,1,10,Multifamily Housing,35035,Parking,4032,,,,No Issue,Compliant,,,Multifamily Housing,1.790109644215708e-05
224,26159,9197200000,2020,Multifamily HR (10+),WATERMARK TOWER,,1,DOWNTOWN,NOT_FOUND,1983,1107 1ST AVE,SEATTLE,WA,98101,47.60551,-122.33746,,,Multifamily HR (10+),29.9,79,,33.0,33.6,5717264,5624938,92.5,94.0,0.2,0,0,5624938,1648575,0,0,195788,195788,0,1,22,Multifamily Housing,103671,Office,63101,Restaurant,3500,,No Issue,Compliant,,,Multifamily Housing,1.813687578666424e-05
225,26984,6065010000,2020,Multifamily HR (10+),NEWMARK TOWER CONDOMINIUM (MULTIFAMILY PORTION),,1,DOWNTOWN,NOT_FOUND,1991,1415 2ND AVE,SEATTLE,WA,98101,47.6087,-122.33884,,,Multifamily HR (10+),28.3,91,,30.5,31.2,5434562,5322180,85.4,87.2,0.2,0,0,5322181,1559842,0,0,220018,174428,45590,1,24,Multifamily Housing,174428,Parking,45590,,,,Account Requires Verification,Not Compliant,,,Multifamily Housing,1.8142863187425393e-05
230,28089,7442700000,2020,Multifamily HR (10+),ROSS MANOR,,7,DOWNTOWN,100,1984,1420 WESTERN AVE,SEATTLE,WA,98101,47.60806,-122.34037,,,Multifamily HR (10+),14.5,,,38.3,39.8,2820999,2718750,107.3,111.3,0.2,0,0,2718750,796820,0,0,70939,70939,0,1,12,Multifamily Housing,67133,Retail Store,3806,,,,No Issue,Compliant,,,Multifamily Housing,1.8197334404256922e-05
245,26607,7117500010,2020,Multifamily LR (1-4),1811 EASTLAKE PROJECT,DOWNTOWN EMERGENCY SERVICE CENTER,1,DOWNTOWN,49,2005,1811 EASTLAKE AVE,SEATTLE,WA,98101,47.61824,-122.32949,,,Multifamily LR (1-4),6.7,44,,37.7,37.7,1268944,1268944,105.4,105.4,0.2,0,0,1268944,371906,0,0,41461,41461,0,1,4,Multifamily Housing,33695,,,,,,No Issue,Compliant,,,Multifamily Housing,1.80153049426468e-05
256,20330,1522500000,2020,Multifamily MR (5-9),CHARBONNEAU CONDOMINIUM,,3,EAST,123,1989,1201 BOYLSTON AVE,SEATTLE,WA,98101,47.61255,-122.3239,,,Multifamily MR (5-9),14.9,88,,29.1,29.7,2867414,2810984,81.5,83.1,0.2,0,0,2810983,823852,0,0,140778,96578,44200,1,5,Multifamily Housing,96578,Parking,44200,,,,No Issue,Compliant,,,Multifamily Housing,1.8085772687327337e-05
257,20945,1697500000,2020,Multifamily MR (5-9),COLONIAL GRAND PACIFIC CONDOS,,1,DOWNTOWN,NOT_FOUND,1902,1113 1ST AVE,SEATTLE,WA,98101,47.60571,-122.33759,,,Multifamily MR (5-9),9.6,98,,20.1,20.4,1837715,1810103,56.3,57.2,0.1,0,0,1810103,530511,0,0,93433,89974,3459,1,6,Multifamily Housing,54130,Retail Store,29507,Office,6337,,No Issue,Compliant,,,Multifamily Housing,1.8095760502609748e-05
261,21269,1977200940,2020,Multifamily MR (5-9),OXFORD APARTMENTS,FIRST & STEWART ASSOCIATION,1,DOWNTOWN,49,1909,1920 1ST AVE,SEATTLE,WA,98101,47.61098,-122.34162,,,Multifamily MR (5-9),5.1,94,,23.6,24.6,999748,959631,66.0,68.8,0.1,0,0,959630,281252,0,0,40950,40950,0,1,6,Hotel,35326,Retail Store,5380,,,,Account Requires Verification,Not Compliant,,,Multifamily Housing,1.8133204386102143e-05
