OSEBuildingID,TaxParcelIdentificationNumber,DataYear,BuildingType,BuildingName,Owner,CouncilDistrictCode,Neighborhood,Units,YearBuilt,Address,City,State,ZipCode,Latitude,Longitude,PrimaryPropertyType,ListOfAllPropertyUseTypes,EPAPropertyType,TotalGHGEmissions (metric tons),ENERGYSTARScore,YearsENERGYSTARCertified,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity,GHGEmissionsIntensity(kgCO2e/ft2),NaturalGas(kBtu),NaturalGas(therms),Electricity(kBtu),Electricity(kWh),SteamUse(kBtu),OtherFuelUse(kBtu),PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,NumberofBuildings,NumberofFloors,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Outlier,ComplianceIssue,ComplianceStatus,Comments,DefaultData,LegislationPropertyType,CorrectCouncil
15,942000145,2020,NonResidential,HOTEL MONACO,RUNNING REBELS OWNER LLC,1,DOWNTOWN,189,1969,1101 4TH AVE,SEATTLE,WA,98101,47.60695,-122.33414,,,Hotel,476.8,51,,85.4,86.6,13396252,13215270,164.6,165.8,,3.6,,4139200,41392,6389956,1872789,2686114,,153163,133884,19279,1,11,Hotel,154723,,,,,,No Issue,Compliant,,,Hotel,
16,942000165,2020,NonResidential,W SEATTLE HOTEL,SUPERNOVA SEATTLE REALTY LLC,1,DOWNTOWN,426,1998,1112 4TH AVE,SEATTLE,WA,98101,47.60738,-122.33362,,,Hotel,291,88,,48.4,48.6,15289689,15218298,118.6,118.8,,1.1,,1299900,12999,12014553,3521264,1903845,,333176,272015,61161,1,25,Hotel,314559,Parking,45093,,,,No Issue,Compliant,,,Hotel,
17,942000210,2020,NonResidential,EXECUTIVE HOTEL PACIFIC,EXECUTIVE HOTEL SEATTLE L L C,1,DOWNTOWN,156,1928,400 SPRING ST,SEATTLE,WA,98104,47.60699,-122.33346,,,Hotel,198.8,78,,62.1,62.2,4042917,4033868,99.1,99.5,,3.1,,1572366,15724,1145568,335747,1315934,,65009,65009,0,1,9,Hotel,65009,,,,,,No Issue,Compliant,,,Hotel,
18,942000235,2020,NonResidential,CROWNE PLAZA,TODAYS HOTEL SEATTLE CORPORATION,1,DOWNTOWN,415,1980,1113 6TH AVE,SEATTLE,WA,98101,47.60809,-122.33212,,,Hotel,195.1,98,,40.2,40.2,11866220,11866220,96.1,96.1,,0.7,,2762324,27623,9103895,2668199,0,,353111,295511,57600,1,33,Hotel,295511,Parking,57600,,,,No Issue,Compliant,,,Hotel,
19,942000265,2020,NonResidential,HOTEL VINTAGE PARK,WIRELESS PROPCO LLC,1,DOWNTOWN,126,1922,1100 5TH AVE,SEATTLE,WA,98101,47.60755,-122.33244,,,Hotel,252.8,69,,78.3,79.9,5387344,5279502,143.4,145.4,,3.8,,646200,6462,2137700,626524,2495602,,92190,66990,25200,1,11,Hotel,67390,,,,,,No Issue,Compliant,,,Hotel,
21,942000275,2020,Nonresidential COS,SEATTLE CENTRAL LIBRARY,,1,DOWNTOWN,NOT_FOUND,2004,1000 4TH AVE,SEATTLE,WA,98104,47.60649,-122.33297,,,Library,105.9,,,40.4,40.2,14699644,14789810,111.6,110.8,,0.3,,0,0,14439239,4231899,350572,,412000,355000,57000,1,11,Library,364913,Parking,49000,Data Center,1074,,No Issue,Compliant,,,Services,
22,942000350,2020,NonResidential,DOWNTOWN SEATTLE YMCA,MILLENIUM TOWER LLC,7,DOWNTOWN,182,1930,909 4TH AVE,SEATTLE,WA,98104,47.60546,-122.33279,,,Fitness Center/Health Club/Gym,341.7,,,78.8,80.3,8344982,8190442,160.1,161.9,,3.3,,224310,2243,4266249,1250366,3699885,,103911,103911,0,1,6,Fitness Center/Health Club/Gym,61528,Office,32195,Other - Lodging/Residential,10188,,No Issue,Compliant,,,Recreation,
23,942000430,2020,NonResidential,RENAISSANCE MADISON HOTEL,MADISON HOTEL LLC,7,DOWNTOWN,553,1983,515 MADISON ST,SEATTLE,WA,98104,47.60681,-122.33078,,,Hotel,366.4,91,,52.6,52.6,18317354,18317354,119,119,,1.1,,5629402,56294,12687952,3718626,0,,416281,331281,85000,1,28,Hotel,348329,Parking,85000,,,,No Issue,Compliant,,,Hotel,
24,942000510,2020,NonResidential,RAINIER CLUB (HISTORICAL LANDMARK),,1,DOWNTOWN,NOT_FOUND,1907,810 4TH AVE,SEATTLE,WA,98104,47.60515,-122.33159,,,Mixed Use Property,208.8,,,95.7,98.2,5641592,5495576,185.2,188.2,,3.6,,1373214,13732,2655660,778329,1466702,,57452,57452,0,1,5,Social/Meeting Hall,16442,Restaurant,15505,Office,9741,,No Issue,Compliant,,,Mixed Use Property,
25,942000610,2020,NonResidential,DOUBLE TREE ARCTIC CLUB HOTEL - SEATTLE,ARCTIC CLUB HOTEL LLC,7,DOWNTOWN,NOT_FOUND,1916,700 3RD AVE,SEATTLE,WA,98104,47.60376,-122.33194,,,Hotel,131.4,96,,46.8,46.8,4885903,4885903,109.6,109.6,,1.3,,106573,1066,3488511,1022424,1290818,,104352,104352,0,1,10,Hotel,104352,,,,,,No Issue,Compliant,,,Hotel,
26,942000860,2020,NonResidential,KING COUNTY COURTHOUSE,,1,DOWNTOWN,NOT_FOUND,1916,516 3RD AVE,SEATTLE,WA,98104,47.60265,-122.33051,,,Courthouse,1418.4,56,,92.1,93.7,50314100,49447092,179,180.7,,2.6,,24177450,241774,25269644,7406109,0,,540360,540360,0,1,10,Courthouse,501287,Barracks,35863,,,,No Issue,Compliant,,,Services,
27,942001010,2020,NonResidential,KING COUNTY CORRECTIONAL FACILITY,KING-COUNTY GOVT,1,DOWNTOWN,NOT_FOUND,1985,500 5TH AVE,SEATTLE,WA,98104,47.60378,-122.32842,,,Prison/Incarceration,1671.1,,,141.5,143.4,48664052,48006552,243.4,244.5,,4.3,,29624197,296242,18382355,5387560,0,,385274,385274,0,1,19,Prison/Incarceration,339315,Parking,45959,,,,No Issue,Compliant,,,Other,
28,1102000138,2020,SPS-District K-12,GRAHAM HILL ELEMENTARY SCHOOL (SPS-DISTRICT),,1,SOUTHEAST,NOT_FOUND,1961,5101 S GRAHAM ST,SEATTLE,WA,98118,47.54576,-122.26853,,,K-12 School,36.4,97,,22.3,23.3,1295812,1239939,42.7,43.8,,0.6,,624133,6241,615806,180482,0,,56228,56228,0,1,2,K-12 School,55715,,,,,,No Issue,Compliant,,,K-12 School,
29,1142000755,2020,NonResidential,WATERTOWN HOTEL,DREAM LEGACY PRU SPE LLC,1,NORTHEAST,100,2001,4242 ROOSEVELT WAY NE,SEATTLE,WA,98105,47.65958,-122.31738,,,Hotel,49.1,99,,38.9,38.9,2639236,2639236,90.1,90.1,,0.8,,733634,7336,1905602,558500,0,,88592,58006,30586,1,6,Hotel,67770,Parking,30586,,,,No Issue,Compliant,,,Hotel,
30,660001420,2020,NonResidential,CORNISH (Main Campus Center),CORNISH COLLEGE OF THE ARTS,7,DOWNTOWN,NOT_FOUND,1928,1000 LENORA ST,SEATTLE,WA,98121,47.61816,-122.33629,,,College/University,263.1,,,71.7,74.5,9309587,8967604,137.8,140.6,,2.1,,4507560,45076,4460044,1307164,0,,126593,126593,0,1,7,College/University,125000,,,,,,No Issue,Compliant,,,College/University,
32,660001832,2020,NonResidential,HOMEWOOD SUITES -SEATTLE - Hilton,AVIA SEA PIKE LLC,1,EAST,193,1991,1011 PIKE ST,SEATTLE,WA,98101,47.61301,-122.32929,,,Hotel,172.2,95,,49,49,7490082,7490082,105.6,105.6,,1.3,,2769020,27690,4721062,1383664,0,,158676,128375,30301,1,8,Hotel,152708,Parking,42000,Swimming Pool,0,,No Issue,Compliant,,,Hotel,
33,660002680,2020,NonResidential,SPRINGHILL SUITES SEATTLE DOWNTOWN,MOODY NATIONAL YALE-SEATTLE HOLDINGS LLC,7,DOWNTOWN,234,2001,1800 YALE AVE,SEATTLE,WA,98101,47.61784,-122.32966,,,Hotel,185.2,89,,59.4,59,7605834,7650890,125.1,124.1,,1.4,,3024378,30244,4626512,1355953,0,,171866,133585,38281,1,10,Hotel,128909,Parking,38301,,,,No Issue,Compliant,,,Hotel,
34,688000090,2020,SPS-District K-12,MEANY MIDDLE SCHOOL (SPS-DISTRICT),,3,SHARED: CENTRAL &amp; EAST,NOT_FOUND,1955,300 20TH AVE E,SEATTLE,WA,98112,47.62266,-122.30547,,,K-12 School,172.6,73,,36.6,38.4,4582788,4359248,56.5,58.4,,1.4,,3126792,31268,1232456,361212,0,,126351,126351,0,1,1,K-12 School,119254,,,,,,No Issue,Compliant,,,K-12 School,
35,697000170,2020,NonResidential,HOTEL FIVE,DREAM LEGACY PRU SPE LLC,1,DOWNTOWN,120,1978,2200 5TH AVE,SEATTLE,WA,98121,47.61558,-122.34186,,,Hotel,46,94,,47.4,47.4,2476286,2476286,109.8,109.8,,0.9,,686947,6869,1789339,524425,0,,68410,52210,16200,1,5,Hotel,52210,Parking,15400,,,,No Issue,Compliant,,,Hotel,
36,752000170,2020,SPS-District K-12,JANE ADDAMS MIDDLE (SPS-DISTRICT),,1,NORTH,NOT_FOUND,1949,11031 34TH AVE NE,SEATTLE,WA,98125,47.70994,-122.29301,,,K-12 School,241.7,86,,33.4,35.4,5891394,5559460,46.9,49,,1.5,,4438026,44380,1121434,328674,0,,160645,160645,0,1,2,K-12 School,166396,,,,,,No Issue,Compliant,,,K-12 School,
37,809000005,2020,SPS-District K-12,JOHN HAY ELEMENTARY SCHOOL (SPS-DISTRICT),,7,MAGNOLIA / QUEEN ANNE,NOT_FOUND,1989,201 GARFIELD ST,SEATTLE,WA,98109,47.6329,-122.35172,,,K-12 School,6.3,85,,21.7,22.4,1230532,1193924,60.8,62.7,,0.1,,0,0,1193924,349919,0,,51582,51582,0,1,2,K-12 School,54946,,,,,,No Issue,Compliant,,,K-12 School,
38,825049102,2020,NonResidential,GOOD SHEPHERD CENTER,,1,LAKE UNION,NOT_FOUND,1906,4649 SUNNYSIDE AVE N,SEATTLE,WA,98103,47.6641,-122.33118,,,Office,169.1,,,50.9,54,4235196,3986917,73.3,76.6,,1.9,,3094213,30942,892704,261636,0,,87262,87262,0,1,3,Office,43615,K-12 School,23177,Other - Entertainment/Public Assembly,5919,,No Issue,Compliant,,,Office,
40,925049117,2020,NonResidential,SILVER CLOUD INN UNIVERSITY,UNIVERSITY SILVER CLOUD INN,1,NORTHEAST,180,1994,5036 25TH AVE NE,SEATTLE,WA,98105,47.66583,-122.29965,,,Hotel,136.4,90,,58.4,59.2,4848676,4784965,114,114.9,,1.7,,2321006,23210,2463959,722145,0,,81871,81871,0,1,4,Hotel,81871,,,,,,No Issue,Compliant,,,Hotel,
41,925049330,2020,NonResidential,2746 NE 45TH ST - PUBLIC STORAGE,QUALITY FOOD CENTERS INC,1,NORTHEAST,NOT_FOUND,1955,2746 NE 45TH ST,SEATTLE,WA,98105,47.66172,-122.29598,,,Self-Storage Facility,4,,,7.1,7.1,324474,322116,18,18,,0.2,,47300,473,274816,80544,0,,26225,26225,0,1,2,Self-Storage Facility,45574,,,,,,No Issue,Compliant,,,Self-Storage Facility,
43,22000005,2020,Campus,BOEING PLANT 2 ISAL  (BLDG 2-122)-North Boeing Field Campus,KING COUNTY,1,GREATER DUWAMISH,NOT_FOUND,1992,1135 S WEBSTER ST,SEATTLE,WA,98108,47.53493,-122.31788,,,Mixed Use Property,18333.3,,,240,245.1,486754784,476672640,380.8,386.1,,9,,330566900,3305669,146105771,42821152,0,,2026324,2026324,0,1,3,Office,686180,Laboratory,639946,Non-Refrigerated Warehouse,480625,,No Issue,Compliant,,,Mixed Use Property,
50,369000400,2020,SPS-District K-12,LAWTON ELEMENTARY SCHOOL (SPS-DISTRICT),QWEST CORPORATION+CENTURYLINK QC,7,MAGNOLIA / QUEEN ANNE,NOT_FOUND,1990,4017 26TH AVE W,SEATTLE,WA,98199,47.65671,-122.39047,,,K-12 School,38.2,78,,30.9,32.4,1708298,1625697,65.9,68.7,,0.7,,618974,6190,1006723,295054,0,,54986,54986,0,1,2,K-12 School,52669,,,,,,No Issue,Compliant,,,K-12 School,
51,425049022,2020,SPS-District K-12,ECKSTEIN MIDDLE (SPS-DISTRICT),,4,NORTHEAST,NOT_FOUND,1950,3003 NE 75TH ST,SEATTLE,WA,98115,47.68252,-122.29498,,,K-12 School,287.8,94,,35,37.3,6697212,6284415,46.1,48.5,,1.6,,5323224,53232,961191,281709,0,,175565,175565,0,1,2,K-12 School,179513,,,,,,No Issue,Compliant,,,K-12 School,
52,467000429,2020,NonResidential,SALMON BAY CENTER 5305 & 5309,,1,BALLARD,NOT_FOUND,1961,5305 SHILSHOLE AVE NW,SEATTLE,WA,98107,47.66587,-122.38476,,,Office,124.9,16,,115.1,118,5856978,5712796,252.6,255.7,,1.3,,1978305,19783,3734492,1094517,0,,94900,94900,0,1,2,Office,28055,Non-Refrigerated Warehouse,21562,,,,No Issue,Compliant,,,Office,
53,570000340,2020,NonResidential,EL CENTRO DE LA RAZA,EL CNETRO DE LA RAZA,2,GREATER DUWAMISH,NOT_FOUND,1900,2524 16TH AVE S,SEATTLE,WA,98144,47.58034,-122.31132,,,Office,115,76,,49.7,52.1,3064764,2924790,77.2,79.7,,2.2,,2080890,20809,843900,247333,0,,52554,52554,0,1,2,Office,51029,Other - Education,7849,,,,No Issue,Compliant,,,Office,
54,625049002,2020,NonResidential,BLANCHET HIGH SCHOOL,SCHOOL BISHOP BLANCHET HIGH,1,NORTHWEST,NOT_FOUND,1954,8200 WALLINGFORD AVE N,SEATTLE,WA,98103,47.68891,-122.33553,,,K-12 School,255.4,90,,35.1,37.1,7052970,6664367,55.8,58.6,,1.5,,4602005,46020,2062362,604444,0,,175015,175015,0,1,3,K-12 School,190000,Parking,0,,,,No Issue,Compliant,,,K-12 School,
55,653000225,2020,NonResidential,VINE ST MINI STORAGE,RAR 2501 LLC,1,DOWNTOWN,NOT_FOUND,1911,11 VINE ST,SEATTLE,WA,98121,47.61351,-122.35129,,,Self-Storage Facility,41.8,,,25.7,26.3,1856567,1808823,55.1,55.8,,0.6,,673257,6733,1135566,332815,0,,70586,70586,0,1,3,Self-Storage Facility,42298,Vocational School,28197,Office,3859,,No Issue,Compliant,,,Self-Storage Facility,
56,7802920020,2020,NonResidential,HILTON SEATTLE,1301 6TH AVENUE (WA) OWNER LLC,1,DOWNTOWN,NOT_FOUND,1969,1301 6TH AVE,SEATTLE,WA,98101,47.60946,-122.33337,,,Parking,183.1,62,,78.6,79.9,10086603,9917025,182.1,185.9,,1.5,,2728144,27281,7188879,2106940,0,,332210,126240,205970,1,24,Parking,205970,Hotel,126240,,,,Default Data,Not Compliant,,,Other,
57,1975700200,2020,NonResidential,5TH & PINE,FIFTH & PINE LLC,1,DOWNTOWN,NOT_FOUND,1973,1513 5TH AVE,SEATTLE,WA,98101,47.6113,-122.33659,,,Office,36.2,77,,40.1,40.1,6804418,6804418,112.4,112.4,,0.4,,0,0,6804419,1994261,0,,88717,88717,0,1,5,Office,103362,Retail Store,65676,Data Center,493,,No Issue,Compliant,,,Office,
58,1975700365,2020,NonResidential,CENTURY SQUARE RETAIL,ARRENDELL AMY+ARRENDELL REVOCABLE LIVING TRUST AMY +ET AL,1,DOWNTOWN,NOT_FOUND,1920,1525 4TH AVE,SEATTLE,WA,98101,47.61076,-122.33765,,,Other - Mall,16.5,,,16.3,16.3,938320,938320,38.4,38.4,,0.3,,240718,2407,697601,204455,0,,57428,57428,0,1,2,Other - Mall,51747,"Personal Services (Health/Beauty, Dry Cleaning, etc)",5681,,,,No Issue,Compliant,,,Entertainment/Public Assembly,
59,1975700380,2020,NonResidential,GIBRALTAR TOWER,GIBRALTAR TOWER LLC,1,DOWNTOWN,NOT_FOUND,1910,1518 3RD AVE,SEATTLE,WA,98101,47.61048,-122.33794,,,Office,10.1,,,34.6,34.6,1904342,1904342,97,97,,0.2,,0,0,1904342,558131,0,,59400,59400,0,1,8,Office,48366,Retail Store,6619,,,,No Issue,Compliant,,,Office,
60,1975700525,2020,NonResidential,MANN BUILDING/WILD GINGER/TRIPLE DOOR,MILLENIUM TOWER LLC,1,DOWNTOWN,NOT_FOUND,1926,1401 3RD AVE,SEATTLE,WA,98101,47.60886,-122.33744,,,Mixed Use Property,909.1,,,370.3,370.3,19424808,19424808,474.3,474.3,,17.3,,16861175,168612,2563632,751358,0,,52549,52549,0,1,2,Other - Entertainment/Public Assembly,23500,Restaurant,23500,Office,5459,,No Issue,Compliant,,,Mixed Use Property,
61,1975700600,2020,NonResidential,PALIHOTEL,101 PINE STREET LLC,1,DOWNTOWN,96,1900,107 PINE ST,SEATTLE,WA,98101,47.60973,-122.34038,,,Hotel,0,,,,,,,,,,0,,0,0,0,0,0,,50510,50510,0,1,4,Hotel,46409,,,,,,Missing 2020 EUI or Electricity Data,Not Compliant,,,Hotel,
62,1976700010,2020,NonResidential,ROOSEVELT HOTEL (HOTEL THEODORE),ROOSEVELT HOTEL OWNER LLC,1,DOWNTOWN,151,1930,1531 7TH AVE,SEATTLE,WA,98101,47.61233,-122.33432,,,Hotel,130,96,,46.7,47.6,4317498,4236608,103.1,105.6,,1.5,,396956,3970,2701116,791652,1138537,,98634,88591,10043,1,20,Hotel,83591,Parking,10043,Restaurant,7057,,No Issue,Compliant,,,Hotel,
63,1976700095,2020,Campus,SHERATON GRAND SEATTLE - (Parent Building),,1,DOWNTOWN,1258,1982,1400 6TH AVE,SEATTLE,WA,98101,47.61087,-122.33339,,,Hotel,1274.1,95,,50.4,51,50691876,50137040,109.5,110.1,,1.4,,14046472,140465,31763035,9309213,4327530,,1083197,926614,156583,2,34,Hotel,994212,Parking,117668,Swimming Pool,0,,No Issue,Compliant,,,Hotel,
65,1977200050,2020,NonResidential,INN AT THE MARKET,MARKET PLACE CENTER LTD,1,DOWNTOWN,70,1985,86 PINE ST,SEATTLE,WA,98101,47.60997,-122.34138,,,Hotel,50.8,100,,48.9,48.9,2806938,2806938,114,114,,0.9,,749614,7496,2057324,602967,0,,71150,57420,13730,1,7,Hotel,57420,Parking,13730,Retail Store,9604,,No Issue,Compliant,,,Hotel,
66,1977201035,2020,NonResidential,MOORE HOTEL & THEATRE,1915 SECOND AVENUE LLC,1,DOWNTOWN,147,1908,1926 2ND AVE,SEATTLE,WA,98101,47.61155,-122.34114,,,Hotel,150.1,,,28.6,30,3681103,3509984,40.8,42.3,,1.2,,2751122,27511,758861,222410,0,,122810,122810,0,1,7,Hotel,90874,Other - Entertainment/Public Assembly,26450,Restaurant,5486,,No Issue,Compliant,,,Hotel,
68,1991200935,2020,NonResidential,HOLIDAY INN - SEATTLE,RAINIER HOSPITALITY LLC,7,LAKE UNION,198,2000,211 DEXTER AVE N,SEATTLE,WA,98109,47.62001,-122.34274,,,Hotel,134,95,,49.4,49.4,5710698,5710698,105.4,105.4,,1.2,,2167461,21675,3543236,1038463,0,,150453,115718,34735,1,7,Hotel,115718,Parking,34735,,,,No Issue,Compliant,,,Hotel,
69,1991200940,2020,NonResidential,FAIRFIELD INN,SEQUIM LODGING CORPORATION,1,LAKE UNION,195,1997,226 AURORA AVE N,SEATTLE,WA,98109,47.62025,-122.34314,,,Hotel,27.2,100,,22,22,1943357,1943357,54.5,54.5,,0.3,,352899,3529,1590458,466137,0,,116300,88100,28200,1,6,Hotel,88490,,,,,,No Issue,Compliant,,,Hotel,
70,1992200235,2020,NonResidential,HOMEWOOD SUITES HOTEL - SEATTLE,HIT PORTFOLIO II OWNER LLC,1,MAGNOLIA / QUEEN ANNE,161,1998,206 WESTERN AVE W,SEATTLE,WA,98119,47.62023,-122.35951,,,Hotel,134.8,16,,72.2,72.2,8579944,8579944,174.7,174.7,,1.1,,1865290,18653,6714652,1967952,0,,155602,118858,36744,1,6,Hotel,118858,Parking,36744,,,,No Issue,Compliant,,,Hotel,
73,2125049015,2020,NonResidential,SEATTLE HEBREW ACADEMY,,1,EAST,NOT_FOUND,1911,1617 INTERLAKEN DR E,SEATTLE,WA,98112,47.63442,-122.30793,,,K-12 School,144.5,74,,47.4,50.5,3387813,3179927,63.1,66.3,,2.6,,2669953,26700,509974,149465,0,,56072,56072,0,1,3,K-12 School,67064,,,,,,No Issue,Compliant,,,K-12 School,
77,2249000170,2020,NonResidential,FOUR POINTS SHERATON SEATTLE CENTER,PFHC-601 ROY LLC,1,MAGNOLIA / QUEEN ANNE,158,1999,601 ROY ST,SEATTLE,WA,98109,47.62519,-122.34456,,,Hotel,33.9,100,,22.4,22.4,1747924,1747924,51.2,51.2,,0.4,,514021,5140,1233903,361636,0,,122942,78051,44891,1,4,Hotel,78051,Parking,44891,,,,No Issue,Compliant,,,Hotel,
82,2254501944,2020,NonResidential,WA DEPT OF SOCIAL & HEALTH SERVICES,SATO FAMILY LTD PARTNERSHIP,1,CENTRAL,NOT_FOUND,1962,1700 E CHERRY ST,SEATTLE,WA,98122,47.60823,-122.30956,,,Office,58.5,76,,46.7,47.9,2634336,2567317,100.9,102.2,,1.1,,937444,9374,1629873,477688,0,,54984,54984,0,1,2,Office,54984,,,,,,No Issue,Compliant,,,Office,
84,2324039001,2020,NonResidential,PROVIDENCE MT ST VINCENT,,1,SOUTHWEST,NOT_FOUND,1922,4831 35TH AVE SW,SEATTLE,WA,98126,47.55837,-122.37751,,,Unclassified,1760.6,54,,141.3,145.3,43051288,41861036,205.5,209.7,,5.9,,32181850,321818,9679189,2836808,0,,371257,296313,74944,1,5,Senior Living Community,296313,Parking,0,,,,No Issue,Compliant,,,Other,
85,2426039059,2020,NonResidential,FOSS HOME AND VILLAGE,,1,NORTHWEST,NOT_FOUND,1970,13023 GREENWOOD AVE N,SEATTLE,WA,98133,47.72426,-122.35599,,,Unclassified,452.4,1,,141.8,141.8,13239139,13239139,247.1,247.1,,4.8,,7993165,79932,5245974,1537507,0,,93397,93397,0,1,2,Senior Living Community,93397,,,,,,No Issue,Compliant,,,Other,
